 DÉCADA 1970-1979,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,"Instituto Nacional Indigenista, Gobierno del Estado de Guanajuato, Secretaría de Recursos Hidráulicos, Secretaría de salubridad y asistencia pública, Banco Nacional de Crédito Agrícola, CONASUPO, CAPFCE, Instituto Nacional de la Vivienda",,José Luis Salas,"CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-9-18,Petit à petit (Poco a poco),Les fils de la Pléida,,Pierre Braunberger,,,,
MXIM-AV-1-9-19,Queridísimos verdugos,La linterna mágica S.L.,Turner Films S.A.,Adolfo Olitte. Productor ejecutivo: José María González Sinde,,,,
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),Documentary Educational Resources,,,,"Tim Asch (16 de julio de 1932 - 3 de octubre de 1994, Los Angeles, California), fue un destacado antropólogo, fotógrafo y director de cine etnográfico. Es especialmente conocido por su película The Ax Fight. Asch nació en Southampton, Nueva York y asistió a la Putney School antes de ingresar en la Universidad de Columbia, donde recibió su licenciatura en Antropología en 1959. Recibió su maestría en Estudios Africanos de la Universidad de Boston. Asch fue conocido por  su trabajo como cineasta etnográfico sobre los yanomami. De 1968 a 1975 viajó a la selva de América del Sur a vivir con el antropólogo Napoleon Chagnon, para realizar el trabajo y la película de los indios yanomami. Rodar la película en las selvas de Venezuela con los pueblos nativos no fue una tarea fácil. A partir de esta experiencia Asch dirigió y produjo su primera película importante, The Feast. Napoleon A. Chagnon es un americano antropólogo jubilado y profesor emérito en la Universidad de California en Santa Bárbara. Chagnon, nacido en 1938 en Port Austin, Michigan, es mejor conocido por su trabajo de campo etnográfico entre los yanomami. Chagnon fue también un pionero en el campo de la antropología visual. Colaboró con el cineasta etnográfico Tim Asch y produjo una serie de más de veinte películas etnográficas que documentan la vida yanomami.",Donación,2000
MXIM-AV-1-9-21,Viva la República,Instituto Cubano del Arte e Industria Cinematográficas,,,,,,
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),,,,,,,
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),,,,,,,
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),,,,,,,
MXIM-AV-1-9-25,La Soufriére,Werner Herzog Produktions,,,,"Werner Herzog nació en Munich el 5 de septiembre de 1942. Se crió en un remoto pueblo de montaña en Baviera y estudió Historia y Literatura alemana en Múnich y Pittsburgh. Hizo su primera película en 1961 a la edad de 19. Desde entonces ha producido, escrito y dirigido más de sesenta películas y documentales como Aguirre, The Wrath Of God (1972), Nosferatu (1978), Fitzcarraldo (1982), Lessons of Darkness (1992), Little Dieter Needs To Fly (1997),  My Best Fiend (1999), Invincible (2000), Grizzly Man (2005), Encounters At The End of The World (2007), Cave of Forgotten Dreams (2011). Werner Herzog ha publicado más de una docena de libros de prosa, y dirigido otras tantas óperas. Werner Herzog vive en Munich y Los Ángeles. http://www.wernerherzog.com/102.html",Donación,06/03/2013
MXIM-AV-1-9-26,Obitateli,,,,,,,
MXIM-AV-1-9-27,Tarva Yeghanaknère,,,,,"David MacDougall (. B 1939) ha hecho películas etnográficas pioneros de todo el mundo, comenzando con su primer tiro trabajo en África a principios de los años 1970 y hallazgo aclamación especial en la década de 1980 con una serie ya clásica de las películas, hecho junto con su esposa Judith.  (Harvard Film Archive: http://hcl.harvard.edu/hfa/films/2010aprjun/macdougall.html)",Donación por Beate Engelbrecht,1999
MXIM-AV-1-9-28,Nawi,David MacDougall,,,,"David MacDougall (. B 1939) ha hecho películas etnográficas pioneros de todo el mundo, comenzando con su primer tiro trabajo en África a principios de los años 1970 y hallazgo aclamación especial en la década de 1980 con una serie ya clásica de las películas, hecho junto con su esposa Judith.  (Harvard Film Archive: http://hcl.harvard.edu/hfa/films/2010aprjun/macdougall.html)",Donación por Beate Engelbrecht,1999
MXIM-AV-1-9-29,Under the men's tree,David MacDougall,,,,,,
MXIM-AV-1-9-30,El desencanto,,,Elías Querejeta,,"(Elías Querejeta Gárate; Hernani, 1930 - Madrid, 2013) Productor de cine español. Realizó estudios de química y derecho. (Fuente: Bibliografías y vidas: http://www.biografiasyvidas.com/biografia/q/querejeta_elias.htm",,
