 DÉCADA 1970-1979,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
MXIM-AV-1-9-10,L´Ambassade (La embajada),"La película dura veinte minutos y el espectador asume que sucede en una embajada situado en una gran ciudad de América del Sur, después de un golpe de Estado (probablemente Chile después del golpe de Estado del general Augusto Pinochet ). La cámara permanece en la embajada y las películas de la vida diaria de los refugiados, el embajador y su esposa que lo acogen.","Marco, Augusto Pinochet, Tsikos, Carole, Maria, ",Chile,"13 de septiembre de 1973, 29 de junio 1973, ",Película documental,,,"Grabación de campo, voz en off, conducción",,Súper 8,
MXIM-AV-1-9-11,La hora de los cerdos,Noticiero elaborado por Santiago Álvarez sobre las declaraciones realizadas por Fidel Castro con respecto al golpe de estado en Chile y su postura.,"Salvador Allende, Fidel Castro, Augusto Pinochet, Víctor Jara","Chile, Cuba",1973,Película documental,,"Registros fílmicos de archivo, hemerografía, fotografía, gráficos","Grabación de campo, intertítulos, música de época",,35 mm,
MXIM-AV-1-9-12,La Maréchal-ferrant (El herrero),"En esta película Georges Rouquier describe la actividad de herrero en la multiplicidad de sus aspectos. Pero el cineasta no limita su intervención a una descripción técnica pura, no olvida el hombre o su entorno familiar y de la aldea o de la historia, donde se matriculó en algún momento de su vida. El director de películas de Marcel Laforge, herrador instalado en una pequeña aldea en las Charentes, Garratt.

 La película es una reconstrucción; todo fue un montaje de realidades múltiples fragmentos. Este cortometraje se estructura en torno a tres temas se enfrentan a veces, pero a menudo se confunde: el hombre, la historia y el arte.",,,,Película documental,,"Fotografía, Registros fílmicos de archivo","Grabación de campo, voz en off, conducción, animación",,,
MXIM-AV-1-9-13,Le fond de l´air est rouge,"“El fondo del aire es rojo”  (1977) de Chris Marker abarca las décadas de los 60 y 70, desde el punto de vista de los principales movimientos sociales y revoluciones que vio el mundo. Lugares como Vietnam, La primavera de Praga, Chile, Cuba, París y su mayo del 68, México y la Plaza de las Tres Culturas… y tanto protagonistas anónimos como celebridades como Brezhnev, Fidel Castro, Jorge Semprún,  “Che” Guevara, Emil Zapotek, etcétera, aparecen en los fotogramas de “El fondo del aire es rojo”","Salvador Allende, Fidel Castro, Ernesto ""Che"" Guevara, Charles de Gaulle, Giangiacomo Feltrinelli, Qing Jiang, V.I. Lenin, André Malraux, Zedong Mao, Richard Nixon, Augusto Pinochet, Georges Pompidou, Joseph Stalin, Nguyen Giap Vo, Enlai Zhou, Paul Vergès, Simone Signoret, Paul Cèbe, Lenin, Geroges Frischmann, Lescure, Shah de Irán, Shirazi, Faterni, Lofti, Scherberwen, Rudi Dutschke, Regis Debray, Panteras Negras, Mao Zedong, Giscard D'Estaing, Douglas Bravo, Leoni, Mario Monje, Paul Seban, Wallander, Major Shleton, Albina du Boisrouvray, Leon Nicod, Phillippe de Joinet, Alain Peyreffite, Laura Allende, Luis Edson, Charles de Gaulle, rector Capelle, Alain Gesmar, M. Fanton, Cohn-Bendit, Geroges Séguy, M. Wolgensinger","La Paz, Bolivia, Cuba, Sierra Mestra, Vietnam, Canthó, China, Congo, Ca Mao,  México, Suecia, París, Estados Unidos, Moscú, Nueva Delhi, Argel, Indochina, Berlin, San Francisco, Boulevard Saint Michel, Metro Charone,  Rhodia, Montaña Halcón, Venezuela, Caracas, Santiago de Chile, Lovaina,  Sorbona, Varsovia, Bonn, Roma, Argel, Columbia, Rue Gay Lussac, Barrio Latino, Rue Drouet,   Brasil, Chile, Renault-Cleon, Saint Flotrentin, ","Movimientos estudiantiles de la década de los 60's, 1 de mayo de 1967, 2 de junio de 1967, 13 de marzo de 1967, 2 de mayo de 1968, 11 de abril de 1968, 1 de mayo de 1968, 10 de mayo de 1968, marzo de 1968, 14 de mayo de 1968 ",Película documental,,"Registros fílmicos de archivo, testimonios videorales","Grabación de campo, voz en off, narración, conducción, entrevistas",,,
MXIM-AV-1-9-14,Les Vacances du cinéaste (Las vacaciones de un cineasta),"Un pequeño pueblo despoblado del Aude. Una pareja de ancianos confía a la cámara del veraneante los recuerdos de otro tiempo: la guerra, la enfermedad, la muerte. El cineasta construye el film a partir de una serie de imágenes autónomas que, reunidas, componen su universo mental: la felicidad familiar, fragmentos de algunos films anteriores, dos poemas de los poetas holandeses Remco Campert y Lucebert, el retrato del abuelo del cineasta de quien aprendió a fotografiar.","Ben Webster, Campert Remco Lucebert",Aude,1974,Película documental,,"Testimonios orales, testimonios videorales, fotografía, gráficos, registros fílmicos de archivo, documentales, hemerografía","Grabación de campo, voz en off, conducción, entrevista, música de época",,"16 mm, Beta SP, DVD",
MXIM-AV-1-9-15,Los Albañiles,"Un reportaje-documental realizado por el Taller de Cine Octubre, acerca de las precarias condiciones laborales los trabajadores de la construcción, así como los obreros-soldadores organizados de Tula, Hidalgo. Testimonios cargados de ideología pseudo-marxista que intenta hacer un llamado a la sociedad sobre la sobreexplotación del trabajo por parte de la clase capitalista, en un intento de emulación del Tercer Cine latinoamericano desarrollado por los argentinos y cubanos en la década de los años 60's, combativo y denunciante, ya en el contexto mexicano.","ICA, TALLER CHURUBUSCO, COMISION DE CONTRATOS, FEMSA, INDECO, ","Tula, Pachuca, Ciudad de México",1974,Película documental,,"pintura, cartografía, música de época, registros radiofónicos","Entrevista, grabación de campo",,VHS,
MXIM-AV-1-9-16,Le train en marche ( El tren en marcha),"En Le train en marche, Marker retrata a Alexander Ivanovich Medvedkin y su cine-tren de los años treinta. En la película, Marker intercala material de archivo, fotografías y una entrevista con el director ruso. Medvekin diseñó un tren que sirvió de laboratorio fílmico, cuarto de edición y sala de proyección, que viajaba a diferentes pueblos de la Unión Soviética. Interesados en crear un cine propagandístico, él y su equipo filmaban e inmediatamente procesaban el material para proyectarlo en las comunidades. Su idea era ayudar a las personas a construir un nuevo mundo a partir de las películas que habían creado juntos. El cortometraje se realizó originalmente como un prefacio de la película Bonheur (Felicidad) de Medvedkin, pero desde entonces se ha vuelto uno de los trabajos más notables de Marker, presentando a su mentor a una audiencia más amplia. http://ambulante.com.mx/es/mas/documental/le-train-en-marche","Alexander Medvedkin, Lenin",Rusia,1930,Película documental,,"Registros fílmicos de archivo, fotografía, gráficos","Voz en off, conducción, música de época, animación",,,
MXIM-AV-1-9-17,Misión de Chichimecas. Guanajuato,"Un documental realizado por el Instituto Nacional Indigenista, en el que se retrata la vida del indígena contemporáneo en el campo mexicano, la severa pobreza que padece dentro de una sociedad que cada vez le margina más y le niega cualquier oportunidad de desarrollo o progreso. Se publicita la labor del Estado mexicano en favor de los pueblos indígenas para su integración definitiva a la sociedad mexicana, sin que se pasen por alto los elementos de su identidad indígena, pilar de la pluralidad étnica y multiculturalidad del país. (Este documental tiende a ser un discurso político de la época a favor de las instituciones del Estado moderno, sin ser éste reflejo de la realidad ni de la percepción de la mayoría. Bajo el telón de la teoría política en boga, que no concuerdan con la práctica, ni en ese momento ni actualmente, la ""integración"" trata de establecer una imagen ideal del funcionamiento del campo y sus habitantes indígenas: alimento, trabajo, educación, salud, etc. También es posible observarlo desde la perspectiva histórica, el contexto en que fue creado denota la necesidad de reforzar la debilitada imagen del Estado generada después de 1968. CEAL)",,,,Película documental,,,"Grabación de campo, puesta en escena",,VHS,
MXIM-AV-1-9-18,Petit à petit (Poco a poco),"En Ayorou, Damouré dirige, junto con Lam e Illo, una sociedad de importación y exportación llamada ""Poco a Poco"". Decide construir un edificio y se marcha a París para ver cómo se puede vivir en una casa de pisos. En la ciudad descubre las curiosas formas de vivir y pensar de la tribu de los parisinos, que describe en unas cartas que envía con regularidad a sus compañeros hasta que éstos, creyendo que se ha vuelto loco, mandan a Lam en su busca. En París Damouré y Lam se compran un Bugatti y conocen a Safi, Ariane y a Philippe. El grupo decide volver a África para construir la nueva casa, pero las dos mujeres y Philippe no consiguen acostumbrarse a la nueva vida y se marchan. (FILMAFFINITY)",,"Niger, Ayorou, Côto d´Or, París",,Película documental,,"Testimonios videorales, entrevistas, gráficos",Grabación de campo,,,
MXIM-AV-1-9-19,Queridísimos verdugos,"De la mano de los tres verdugos -“ejecutores de sentencias”- existentes en la España de los primeros años setenta, se explora una zona particularmente oscura de la Dictadura. Más allá del alegato contra la pena capital, la película indaga en la historia personal de los tres protagonistas y sus maneras de entender el oficio que desempeñan, de los ajusticiados por ellos en el garrote vil y de sus virtudes, de los crímenes que se castigan, de lo que piensan los expertos. Un retrato atroz de la sociedad en que se desenvuelven. Una reflexión implacable sobre el poder. http://www.basiliomartinpatino.com/film03.htm","Antonio López Sierra, Vicente Copete, Bernardo Sánchez Bascuñana","Alemania: Berlín. España: Badajoz, Andalucía, Granada, Sevilla, Burgos, Salamanca, Villamuriel, Valencia, ","1926, 1924, 1933",Película documental,,"Fotografías, documentos, testimonios orales, testimonios videorales, hemerografía, pintura, dibujo, registros fílmicos de archivo, gráficos","Grabación de campo, voz en off, conducción, música de época, entrevistas",,,
MXIM-AV-1-9-20,The Ax Fight (Pelea de hachas),"Unos reporteros asisten en 1971 a un conflicto en una aldea del Amazonas. La película está estructurada en cuatro partes. La primera consiste en la versión sin editar de lo que grabó el cámara. El caos de esta primera parte se clarifica en la segunda en la que Lchagno, uno de los reporteros, explica las fases de la lucha y las relaciones entre las gentes. La tercera parte explica los linajes de las aldeas implicadas para ilustrar el largo conflicto de años y las alianzas dentro de la aldea. Finalmente, en una versión corregida de la lucha, vemos cómo las manos de los redactores manipulan la realidad para generar una película suave que mantenga la integridad del acontecimiento y funcione como documento informativo. “La lucha del hacha”, hunde al espectador en los problemas del parentesco de Yanomano, de las alianzas, de la división del aldea, de la resolución de la violencia y del conflicto. También nos hace reflexionar sobre cómo los antropólogos y los reporteros traducen su experiencia a palabras y a imágenes coherentes.",,,,Película documental,,Fotografía,,,VHS,
MXIM-AV-1-9-21,Viva la República,"Análisis de la etapa republicana en Cuba, que abarca desde la terminación de la guerra de independencia hasta los inicios de la insurrección contra la dictadura batistiana. 
De la guerra revolucionaria de Cuba, iniciada en 1868 por Carlos Manuel de Céspedes, a la revolución socialista triunfante de 1950, existe una inevitable continuidad que víncula todas las aspiraciones y necesidades reales del cubano y de su nación. ","José Martí, Tomás Estrada Palma, Máximo Gómez, Calixto García, Edward Atkins,  Juanjo Alberto Gómez, William McKinley  (presidente de E.U., 1897-1901), Leonardo Wood (estadounidense gobernador general de Cuba), Theodoro Roosvelt (presidente de EU, 1901-1909), Charles Magoon (gobernador durante la ocupación estadounidense en Cuba), José Miguel Gómez (presidente de Cuba), Vladimir Ilich Lenin (líder de la facción bolchevique de Rusia), Alfredo Zayas (presidente de Cuba, 1921-1925), Adolfo Luque (jugador de béisbol), Eligio Sardiñas ""Kid Chocolate"" (box), José Raúl Capa Blanca (ajedrez), Rubén Martínez Villena (protesta de los 13), Julio Antonio Mella (funda la universidad obrera José Martí), Enoch H. Crowder, Gerardo Machado y Morales (presidente de Cuba, 1925-1933), Julio Antonio Mella (revolucionario cubano, cofundador del partido comunista cubano), Víctor Manuel (pintor cubano), Antonio María Armeu (músico cubano), Amadeo Roldán, Nicolás Guillén (escritos cubano), Antonio Viteras (revolucionario), Benjamín Sumer Welles (diplomático estadounidense), Carlos Manuel de Céspedes (presidente de Cuba, agosto-septiembre, 1933),  Fulgencio Batista (jefe del ejército de La Pentarquía, 1933), Ramón Grau San Martín (miembro de La Pentarquí, presidente interino, ""gobierno de los 100 días""), Carlos Hevia (presidente interino, enero 1934), Carlos Mendieta y Montefur (presidente de Cuba, 1934-1935), Lázaro Cárdenas (presidente de México, 1934-1940), Hitler, Fulgencio Batista (presidente de Cuba, 1940-1944), Ramón Grau San Martín (presidente de Cuba, 1944-1948), Carlos Prio Socarras (presidente de Cuba, 1948-1952), Fidel Castro (estudiante cubano de derecho), Fulgencio Batista (presidente de Cuba, 1952-1954), ","Cuba, Estados Unidos","20 de mayo 1902 (1er presidente de Cuba). 1906 (2a intervención norteamericana). 1868 (lucha por la independencia). 1899 (sigue la lucha por la independencia), 1883, 1912 (operaciones militares de los negros y mulatos cubanos). 6 de abril de 1917 (declaración de guerra de EU contra Alemania).  1915-1922 (inversiones de EU en Cuba). 1920 (cae el precio de la azúcar). 1926 (ciclón azota Cuba). 1927 (fundación partido comunista de Cuba). 1932 (precio más bajo de azúcar).  10 enero de 1929 (asesinato de Julio Mella), 1933 (cae gobierno de Machado), 1935 (asesinato de Antonio Guiteras), 10 octubre de 1940 (constitución cubana), 1952 (Batista borra la constitución), ",Película documental,Histórico,"Cartografía, fotografías, documentos, hemerografía, datos estadísticos, registros fílmicos, publicidad televisiva, programas de televisión","registros fílmicos, voz en off, música en off, animación,  fotografías, incidentales, conducción, dibujos, intertítulos",,35 mm,
MXIM-AV-1-9-22,Les tambours d'avant (Los tambores de antaño),"Un ""plano secuencia"", que muestra el punto culminante de un ritual de posesión, durante el cual los hombres de la aldea Simiri piden a los genios de la selva para proteger los cultivos contra las langostas. Para la ceremonia se utilizan tambores arcaicas: la ""tourou"" y ""bitti"", que sólo está jugando esta ocasión.   El tourou es una gran calabaza estiró piel de oveja, la Bitti, un tambor mucho mayor, la piel adornada con perlas, para llegar directamente a los oídos de los dioses. Estas dos tambores marcan un ritual posesión Simiri en Zermaganda (Níger). Durante tres días, la posesión no está llegando. En el cuarto día, Rouch decidió convertir algunos planes para la música de los tambores. Durante el rodaje, el viejo Sambou toma posesión. ""En la revisión de la película, se me ocurrió que el mismo conjunto de la película provocó y aceleró la posesión"", escrito Rouch, unos años más tarde.",,,,Película documental,,,"Grabación de campo, voz en off, conducción, música de época",,,
MXIM-AV-1-9-23,Stierkampf in Forcalhos (Toros en Forcalhos),"En el tercer domingo de agosto se celebra el festival consagrado al Santísimo Sacramento. El lunes una corrida de toros pública tiene lugar en la plaza del pueblo. Después de su entrada solemne en la arena, los combatientes, uno a uno o en grupos, cebo al toro con grandes triángulos de madera (varillas de 5 m), llamado forcao.",,Potugal,,Documental,Etnográfico,Grabación de campo,,,,
MXIM-AV-1-9-24,Besuchsfest in Munggona (Visita al festival en Munggona),"En Irian Jaya / Papua Occidental, por la noche antes de que lleguen los invitados, los hombres bailan en una formación circular y cantar en el acompañamiento. El primer bailarín rompe el círculo llevando los bailarines juntos en el centro en forma de espiral. Posteriormente, el último bailarín de guía a la línea de baile de nuevo en la formación circular. Varias mujeres bailan al margen de la plaza del pueblo en una formación de fila.",,Nueva Guinea,,Documental,Etnográfico,Grabación de campo,,,,
MXIM-AV-1-9-25,La Soufriére,"Impactante documental del alemán Werner Herzog. En apenas treinta minutos describe la inesperada actividad de un volcán en La Soufrière, en la isla de Guadalupe, en la órbita colonial francesa del Caribe. El cineasta imprime emoción a las imágenes de la nube tóxica que expulsa el volcán, que según los expertos amenaza con la explosión de toda la montaña, lo que ha obligado a la evacuación de las proximidades. Aunque algún lugareño se niega a abandonar la zona. Curiosamente, las cosas no ocurrieron como vaticinaron los vulcanólogos, y gran parte del mérito de Herzog es sobreponerse a lo que podía ser una contrariedad para su documental, y revestirlo de un innegable interés. http://www.avalon.me/distribucion/catalogo/La-Soufri%C3%A8re","Werner Herzog, Edward Lachman, Jörg Schmidt-Reitwein, Dieb Cubaris, ",Antillas francesas: Isla de Guadalupe: Basseterre. La Martinica: Saint Pierre. ,"agosto 1976,  6 de mayo de 1902, 1901, 1956 ",Documental,,"Grabación de campo, fotografías, testimonios videorales","Grabación de campo, voz en off, conducción, música en off,  entrevistas",,,
MXIM-AV-1-9-26,Obitateli,"Pelechian plantea un film de enfrentamientos. El de las manifestaciones de la naturaleza, y de cómo el hombre interactúa en ella; el enfrentamiento entre dos tipos de montaje, y el enfrentamiento sonoro. Lo bello y lo feo. La contemplación (lo bello) y la influencia de Pelechian con respecto a la manipulación del tiempo y el sonido (duración de tomas largas y música armónica), sitúa una mirada, en este momento, en estado de gracia. La interacción del hombre en la naturaleza (lo feo), los planos acortados y los sonidos naturales sincrónicos, nos aleja del hábitat deseado en un principio. Una representación del caos a través de figuras apocalípticas de manadas de animales aterrorizados, pero que en la inercia de la huida encuentran el contrapunto de nubes de pájaros que escapan de la tierra y de los hombres, que la colonizan al ruido de los fusiles. http://www.divxclasico.com/foro/viewtopic.php?t=48100",,,,Película documental,Footage,Registros fílmicos de archivo,Incidentales,,,
MXIM-AV-1-9-27,Tarva Yeghanaknère,"""Tal vez una de las más bellas películas del cineasta, esta es sin duda una a la que ahora se le ofrece el reconocimiento internacional. Les Saisons (Las Estaciones) es un hermoso poema en el que se discute en una amplia parábola, los momentos decisivos de la historia armenia, desde los orígenes volcánicos hasta el período industrial. Pero más allá de esta simbólica donde también se puede leer la historia de la migración del pueblo armenio hay increíbles e inolvidables secuencias: la inercia lenta y aventurada de una trashumancia con carácter de ingravidez, como pasa, infinitamente , sobre la tierra o sobre las olas, despreciando todas las anclas; una visión lúdica, aliviados, cosecha y producción de heno, y este ritmo, especialmente este ritmo que alimenta la emoción sin habla y sin comentarios, y eso hace que todo el testimonio en el juicio de un humanismo saludable y sublime. http://www.artavazd-pelechian.net/filmo/filmo.htm""",,Armenia,,Película documental,,Registros fílmicos de archivo,"Grabación de campo, Incidentales",,,
MXIM-AV-1-9-28,Nawi,"Clásico documental etnográfico, realizado por el renombrado director David and Judith MacDougall, explorando la vida nómada de la tribu Jie en Uganda.
Filmada en un campamento de ganado Jie cerca del límite de Acholi, en el distrito de Karamoja en el noreste de Uganda. El Jie, un pueblo predominantemente pastoril, dejan sus hogares en la estación seca y el rebaño a su ganado a los campos de temporada, o nawi. Documentando los preparativos para el ganado y muestra la vida en el campamento, donde los hombres hablan y hacen los objetos de cuero y los niños juegan. (Fuente: OCLC WorldCat: http://www.worldcat.org/title/nawi/oclc/317009926)",,Uganda,,Película documental,Antropología visual,,"Intertítulos, grabación de campo",Idioma Jie con subtítulos en inglés,,
MXIM-AV-1-9-29,Under the men's tree,"Secuencia de 16 minutos rodada en un campamento de verano de la etnia Jie del Noreste de Uganda, refleja una mirada participativa del evento que registra. Así, asistimos como uno más a una discusión sobre la velocidad de los coches en un momento de descanso de los hombres que cuidan del ganado. La cámara registra primero planos y se mueve atendiendo la conversación. El efecto de representación es de proximidad y complicada del espectador, que aunque desconozca las estructuras de cultura de esta etnia y el documental no le aporte información conceptual sobre la misma, es capaz de compartir conjuntamente esta experiencia.",,Uganda,1968,Película documental,Antropología visual,,"Intertítulos, grabación de campo",Idioma Jie con subtítulos en inglés,,
MXIM-AV-1-9-30,El desencanto,"El poeta Leopoldo Panero murió en 1962 en Astorga, su ciudad natal. Catorce años más tarde Felicidad Blanc, su viuda, y sus tres hijos evocan aquel caluroso día de agosto. Y a partir de ese recuerdo surgen otros que se van encadenando. Y a través de la palabra y del recorrido por habitaciones, objetos, calles y lugares perdidos, se desvela la historia de unos años y de unas personas unidas por vínculos familiares que en ningún momento huyen de la expresión de sus diferencias y de sus identidades. (Fuente: FILMAFFINITY http://www.filmaffinity.com/es/film493008.html)","Felicidad Blanc, Leopoldo María Panero, Michi Panero, Juan Luis Panero, Marino Amaya, Azorín, Baroja, Luis Rosales, ",Astorga y Madrid,27 de agosto de 1972,Película documental,,"Fotografías, documentos, testimonios videorales","Grabación de campo, entrevistas",,,
