 DÉCADA 1990-1999,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
MXIM-AV-1-11-10,Ariles y más ariles… Testimonios del son jarocho,"Reportaje que nos adentra al mundo del son jarocho y la gran tradición que representa para muchos veracruzanos y que va de generación en generación, quienes no sólo se vuelven diestros ejecutantes de la jarana, sino de la verborea que le da todo un sentido a este subgénero de la musica popular mexicana, y que hace, por un momento, olvidar los problemas de desempleo y pobreza en la región.",,"San Andrés, Tlacotalpan, Veracruz",,Película documental,,"Testimonios videorales, testimonios orales, fotografías, entrevista, musica de época","Narración off, conducción, animación, gráficos",,VHS,
MXIM-AV-1-11-11,Artavazd Pelechían: obra documental (1967-1994),"Compilado documental del cineasta armenio Artavazd Peleshian. Incluye: O Início (The Beginning/Skizbe-1967), Nós (We/Meng-1969), Os Habitantes (The Inhabitants/Obitately - 1970), As Estações (Four Seasons/The Seasons/Vremena Goda-1975), Nosso Século(Our Century/Mer Dare-1983), Fim (End/Verj-1994) e Vida (Life/Kyang-1993)",,,,Película documental,,"Testimonios videorales, testimonios orales, fotografías, entrevista, musica de época","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-12,Baraka,"Aclamado documental sobre la naturaleza del planeta Tierra. Rodada en 24 países diferentes, trata de captar la esencia de la naturaleza y la cultura de la humanidad y sus costumbres, al tiempo que señala las formas en las que el ser humano se relaciona con su medio ambiente. La aparente fragilidad de la vida humana es contrastada con la grandeza de sus obras, subrayándose la desigual relación entre hombre y naturaleza. Baraka no tiene argumento lineal, ni personajes ni diálogos, pero, en medio de estos enormes contrastes, la espiritualidad de la humanidad surge como el elemento más importante que la distingue de otras especies. Un mundo más allá de las palabras. (FILMAFFINITY)",,"India: Rajasthan, Calcuta, Tamil Nadu, Río Ganges, Ghats, Maharashtra, Delhi, Varanasi, Uttar Pradesh. Nepal: Bhaktapur, Bodnath, Durbar Square, Himalayas, Kathmandu, Pasupati, Swayambhu. Estados Unidos: Arizona, New York, Utah, California, Colorado. Kuwait: Ahmadi, Burgan field, Jahra Road-Mitla Ridge. Cambodia: Angkor Thom, Angkor Wat, Siem Reap, Phnom Penh, Presh Khan, Ta Proum, Tonle Omm Gate. Polonia: Oswiecim, Malopolskie, Buyom, Slaskie. Australia:  Bathurst Island, Cooinda, Jim Jim Falls. Thailandia: Provincia de Auytthaya, Bang Pa-In, Bangkok, Patpong, Soi Cowboy . Indonesia: Bali, Borobudur, Magelang, Central Java, Candi Nandi, Jadarta-Istigial Mosque, Java, Jogjakarta-Prambanan, Kediri, Mancan Padi, Tampak Siring, Tegal Allang, Uluwatu . Ecuador: Barrio Mapasingue, Guayas, Islas Galápagos, General de Guayaquil. China: Beijing, Hong kong, Río Li, Qin Shi Huang, Quilin, Shaanxi. Brasil: Pará, Río de Janeiro, Rondonia, Minas gerais, Sao Paulo. Egipto: Cairo, Ciudad de los muertos, Luxor, Ramasseum, Giza. Francia: Reims, Marne, Eure-et-loir. Israel: Jerusalem. Irán: Emam Mosque, Isfahan, , Persépolis, Shiraz. Turquía: Estambul. Japón: Tokyo, Kanawa, Kyoto, Shibuya, Nagano, Nara, Nittaku. Hawai: Maui, Konai. Argentina: Misiones. Tanzania: Lago Natron. Kenya: Lago Mayadi, Mara Kichwan Tembo, Manyatta, Mara Riata Mantatta, Massai Mara. Arabia Saudita: Meca. Vaticano.",,Película documental,,"Testimonios videorales, testimonios orales, fotografías, entrevista, musica de época","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-13,Batalhas pelo Patrimonio Batalhas pela História,"  El autor de este documental realizó su investigación en Paranoá, antiguo campamento, ahora una de las ciudades del Distrito Federal, con el objetivo de ampliar la noción del patrimonio histórico-cultural de Brasilia. Para ello, concibe la Historia en cuanto una (re)construcción vinculada al acto de narrar, articulando la memoria y la experiencia. Como resultado de esa perspectiva, emergen esos lugares, espacios, edificaciones con su propia historia, comentada personajes (mujeres y hombres comunes y corrientes) como su principal patrimonio.   ","Gilene Maria Rels Pereira,  Nelito Vieira Maia, Valdemar Paulino da Silva, Calixto Gomes dos Santos,  Vanda Andrade de Souza, Isabel Alexandre de Souza, María Lucía Alves, Geni Paiva Rodrigues, Maria de Lourdes P. Santos, Maria da Guia de Souza, Edvaldo Bento da Cruz, Elena Madalena de Andrade e Souza, Joao do Violao, Geraldo José Lopes, José Rosalvo de Souza, Gersion de Castro e Silva",Brasil: Brasilia: Distrito Federal: Paranoá,"1989, 1991",Película documental,,"Testimonios videorales, registros fílmicos, fotografías, hemerografía, programas de TV, documentos, grabación de campo, entrevistas, pinturas, dibujos","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-14,Batallón Olimpia. Documento abierto,"Análisis de las evidencias fílmicas sobre la participación del Batallón Olimpia, dadas a conocer casi treinta años después de acontecida la manifestación de estudiantes en la plaza de Tlatelolco, el 2 de octubre de 1968. La revelación de este material permite desmentir la versión oficial que perduró casi los tres decenios. Se incluyen testimonios del periodista Franciso Ortiz Pinchetti y de los entonces estudiantes Raúl Alvarez Garín y Eduardo Cervantes.",,,,Película documental,,"Registros fílmicos, fotografías, pinturas,  cartografía, entrevistas, grabación de campo","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-15,Belovy; The Belovs,"Las dos veces viuda Anna Feodorovna Belova vive con su hermano Michail. Dos de sus otros hermanos, Vasily y Sergei, vienen ocasionalmente a visitarlos, caminando por el polvoriento camino. Beben grandes cantidades de te y discuten importantes temas filosóficos. Aunque los Belov podrían haber salido directamente de las páginas de Tolstoy, Turgenev o Chejov, no son héroes ni heroínas de la literatura sino personas que viven la vida día a día y cuyos comentarios sobre la vida diaria son una delicia. http://www.docsbarcelona.com/es/film.php?id=98","Anna Fyodorovna Belova, Mikhail Fyodorovich Belov, Vasili Fyodorovich Belov, Sergei Fyodorovich Belov, Boris Yeltsin",Rusia,,Película documental,,"Testimonios videorales, fotografías, entrevistas, música de época, grabación de campo","Narración off, conducción, animación, gráficos",,35 mm,
MXIM-AV-1-11-16,Blob Ubik-Il Bel Paese,,,,,Película documental,,"Fotografías,  testimonios orales, testimonios videorales, programas de TV, videoclips","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-17,Buenavista Social Club," Es un buen testimonio fílmico de este grupo que reúne a algunas de las mayores figuras de la música cubana de todos los tiempos. Testimonio a la vez de sus entrega, de su modestia, de su vitalidad y de su gran sensiblidad, manifestadas no sólo mediante la música sino a través de las entrevistas.   ","Compay Segundo,  Eliades Ochoa Bustamante, Ry Cooder, Orlando ""Cachaíto"" López, Amadito Valdés, Manuel ""Guajiro"" Mirabal,  Barbarito Torres, Pío Leyva, Manuel ""Puntillita"" Licea, Juan de Marcos González, Ibrahim Ferrer, Rubén González",Cuba: Habana. Estados Unidos: Nueva York.,"1998, 1946, 1958",Película documental,,"Grabación de campo, testimonios videorales, entrevistas, música de época","Narración off, conducción, animación, gráficos",,,"Videoclip ""Cienfiegos tiene su guaguanco"", ""Cadela"" en LeCarré, Encuentro con Alberto Korda, Fotogalería, Entrevista con Juan de Marcos González, Biografías, Otros titulos."
MXIM-AV-1-11-18,Cadê Brasília que construimos? (¿Dónde está la Brasilia que construimos?),"                         Este documental es uno de los resultados del Curso Imágen e Investigación Histórica, a través del cual se desarrolló una investigación de una duración de dos años, dedicada a una práctica metodológica que articula la historia, la memoria, la historia oral, la cultura, la imagen y la ciudadanía. El documental aborda la experiencia de los habitantes de la Villa Planalto,  durante el proceso de construcción de Brasilia. Se  reconstruyen la memoria de esos tiempos y espacios, en conforntación con el presente","Gabriel B. Nogueira, Antonio F. Pacheco, António A. Filho, Luzia A. P. Santos, Miguel G. Dos Santos, C. A. Baraga,  Geraldo R. Carvalho, Albino F. Dias, Martiniano, Francisco P.L. da Silva, Maria V. de Cássia, Iraci F. de Brito, Iran de Andrade, Suzana C. Mendouca, Damián da Silva, Maria Aparecida B. de Jesus, Cecília R. de Almeida, Antonio Douzete da Silva, Carlos Humberto da Silva, Efigénia F. Dias, Elisa L. do Lago",Brasil: Brasilia,"1955, 1956, 1957, 1958, 1960, 1988. ",Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,HI8,
MXIM-AV-1-11-19,"Candlemas in Patamban. Purhépecha, Michoacán, México ","La fiesta de la Candelaria es celebrada el 2 de febrero. En esta ocasión los Cargueros de las diferentes estatuas de la Virgen María reciben a los visitantes. Aunada a la danza y a la música, es emplazada una bandera cerca de la ranchería, donde se quedará hasta el comienzo de la festividad. Las portadoras de las velas, las Cargueras de de la Inmaculada Concepción, otorgan cinco velas nuevas a la iglesia. Éstas son bendecidas en la oración matutina. En días previos a la Candelaria, aparecen los Chereques: un grupo de hombres que bailan por toda la aldea cubiertos por ""feas"" máscaras. Ellos organizan una banda que los acompaña hasta la culminación de la Candelaria. En la plaza se lleva a cabo la danza final. La fiesta termina con la quema de juegos pirotécnicos con forma de toro.",,,,Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-20,Chiapas. Diálogo bajo amenaza,"En este, su vigésimo octavo documental, Canal 6 de julio presenta una crónica de los principales sucesos nacionales a partir de las órdenes de aprehensión en contra de dirigentes del EZLN, el 9 de febrero de 1995, hasta la Consulta Nacional por la Paz y la Democracia (27 de agosto). Imágenes inéditas de los encuentros en San Adnrés Larráizar; la presencia de las fuerzas armandas en Chiapas; el conflicto sindical de Ruta 100; las movilizaciones del Barzón y los asesinatos de Aguas Blancas, Guerrero, complementan la visión de un agitado momento de la vida política nacional.","Ernesto Zedillo, Subcomandante Marcos, Comandante Tacho, Samuel Ruiz, Rosario Ibarra, Marco A. Bernal,  Andrés Manuel López Obrador, Roberto Madrazo, Abraham Polo Usanga, Emilio Chuayffet Gloria Benavides, Javier  Elorriaga, Julio César Ruiz Ferro, Rubén Figueroa, Paulina Fernández, Profirio Muñoz Ledo, ","México: Chiapas: San Andrés Larráiza, San Cristóbal, La Realidad, Nuevo Matzam, Cuxulja, Los Bambues. Ciudad de México. Guerreo: Atoyac, Coyuca (Aguas Blancas).",1995,Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-21,Chiapas. La historia continúa,"Segundo cap´ítulo del relato narrado en ""Chiapas: Historia inconclusa"", es un recuento visual de los acontecimientos sucedidos de septiembre de 1995 a septiembre de 1997 y que desde enero de 1994 escriben la historia de nuetsro país. Es la permanencia de la voz que nace del sureste mexicano, hace eco en todo el mundo y salpica la historia reciente con 1,111 rostros anónimos que marchan a la Ciudad de méxico para traer el grito que se reisste  al olvido, que no se rinde a la desesperanza; el grito que nos llama a ser protagonistas del presente. ","Esteban Moctezuma, Emilio Chuayffet, subcomandante Marcos, Comandante David, Eduardo Robledo Rincón, Amado Avendaño, Comandante Tacho, Heberto Castillo, Obispo Samuel Ruíz, Paulina Fernández, Cuauhtémoc Cárdenas, Javier Elorriaga, Gilberto López y Rivas, Antonio García de León, Alfonso Ramírez Cuéllar, Enrique Flota, Sebastián Entzin, Abelardo Torres, Comandante Ramona. Isaac. Luis Villoro, Claribel,  Joaquín Coldwell","México: Chiapas: San Miguel, San Andrés Larráinzar, San Cristóbal de las Casas, Aguascalientes, Tuxtla Gutiérrez, Selva Lacandona, La Realidad. Ciudad de México: Reforma, Ángel de la Independencia, Monumento a la Revolución, CU, Tlatelolco. Puebla: Acatlán.","10 de abril de 1995,  22 de abril de 1995,  12 de mayo, 7-11 de junio,  29 de junio,  4 de julio, 6 de julio, 24 de julio,  5 de septiembre, 1 de enero de 1994, 10 de octubre de 1994, 6 de diciembre de 1994,  8 de diciembre de 1994, 5 de enero de 1995, 10,11,15,18, 28 de febrero de 1995, 4, 8, 10, 22,27 de marzo de 1995, 3 de enero de 1996, 7 de abril de 1996, Mayo de 1996, 3 agosto de 1997, 11 octubre 1996, 14 de marzo 1997,  6 julio 1997, 11, 12, 16, 17 septiembre 97.",Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-22,"Chiapas, la otra guerra","Chiapas, la otra guerra, ofrece una visión completa del conflicto armado en Chiapas desde su inicio -la madrugada del 1 de enero de 1994- hasta la culminación de los diálogos de paz en San Cristóbal de las Casas, y la posterior consulta entre las comunidades del EZLN. Chiapas, la otra guerra -vigésimo primera producción de Canal 6 de julio- consigue reunir imágenes de extraordinario valor documental de los diversos sucesos que rodearon este hecho histórico: la presencia del EZLN en San Cristóbal, los dís de guerra; el acoso a las comunidades zapatistas, la liberación del general Absalón Castellanos; y una entrevista exclusiva con la dirigencia de esa fuerza insurgente. ","Carlos Salinas de Gortari, Jacobo Zabludovsky, Bill Clinton, Juan Pablo II, Manuel Camacho, Luis Donaldo Colosio, Samuel Ruiz, Javier López, Absalón Castellanos, Subcomandante Marcos, Cuauhtémoc Cárdenas, Diego Fernández de Cevallos ","México: Chiapas: Guadalupe Tepeyac, Altamirano, Morelia, San Cristóbal","1 de enero de 1994, 17, 20  de febrero 94. 2, 23  de marzo 94. ",Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-23,"Chiapas, Historia inconclusa",Un itinerario visual de la historia reciente que principia con el levantamiento armado del primero de enero de 1994 y se extiende hasta los convulsionados primeros meses del año de 1995. Un grito de emergencia que hace eco en el país entero y se manifiesta lleno de júbilo y esperanza en las altas de la ciudad de méxico. Los rostros anónimos que están construyendo la historia. ,"Carlos Salinas de Gortari, Manuel Camacho Solís, Samuel Ruíz, Absalón Castellanos, Comandante Ramona,  Subcomandante Marcos, Colosio, Ernesto Zedillo, Amado Avendaño, Jorge Madrazo, Comandante Tacho, Antonio Hernández, Eduardo Robledo Rincón, Rosario ibarra, Constantino Kanter, Armando Bartra, Cuauhtémoc Cárdenas, Comandante Javier, Comandante David, Esteban Moctezuma, Emilio Chuayffet","México: Chiapas: San Cristóbal de las Cass, Comitán, Ocosingo, Guadalupe Tepeyac, Altamirano, Aguascalientes, Selva Lacandona, Tuxtla Gutiérrez, Liquidambar, Venustiano Carranza. DF: Reforma, Madero, Zócalo, Eje Central.","1 de enero 1994, 15, 18 febrero 1994, 21, 22 Agosto de 1994, 8, 10, 12, 14 octubre 94, 1 noviembre 94, 6, 8, 14 diciembre 94, 1, 3, 5, 6, 7, 12, enero 95, 10, 11, 12, 15, 18, 28 febrero 95, 4, 8, 10, 21, 24, 22, 27, 29 marzo 95, 22 abril, 12 mayo, 7-11 junio, 29 de junio, 4, 6, 24 julio, 5 de septiembre de 1995",Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-24,Chile la memoria obstinada,"Basado en un análisis hecho sobre el documental de Patricio Guzmán ""La Batalla de Chile"", este filme muestra la memoria gráfica de los testigos y sobrevivientes al golpe de Estado dado al gobierno democrático de Salvador Allende en 1973 por parte del general Augusto Pinochet, basados en archivos fílmicos y fotográficos. Con este fin se persiguió reavivar la conciencia de la juventud chilena conociendo dichos testimonios y activando de nuevo el debate sobre el régimen democrático de Chile y su desarrollo.",,,,Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,VHS,
MXIM-AV-1-11-25,Chute Libre,"La historia se remonta a los años previos al tristemente conocido como “Holocausto húngaro” (más de medio millón de judíos asesinados entre la primavera de 1944 y el final de la guerra) a través de las películas domésticas de György Petö, músico, fotógrafo y hombre de negocios que realizó películas en 8mm desde 1938. Caída libre da cuenta de cómo la familia Petö “trataba de suprimir los temibles signos de amenaza y futura masacre; las ilusiones de una familia judía húngara que se desmorona poco a poco; los momentos felices y banales enmarcados por las Leyes Judías en Hungría”, que el gobierno húngaro fue implementando de manera progresiva, introduciendo en cada nueva actualización nuevas y humillantes restricciones para la comunidad judía que sentaron las bases para la deportación y el exterminio a partir de 1944.",,,,Película documental,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,VHS,
MXIM-AV-1-11-26,Ciclo testimonios,"Ciclo testimonios,es un conjunto de videos reunidos por el Gobierno de la Ciudad de Buenos Aires. Contiene los siguientes videos: Parque Patricios, La Boca y El abasto.",,,,,,"Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración off, conducción, animación, gráficos",,,
MXIM-AV-1-11-27,Cinéma Perdu,"Una compilación de filmes hecha por Peter Delpeut, en un esfuerzo por rescatar del olvido grandes creaciones cinemtográficas mudas de principios del siglo XX de distintos temas y realizadores holandeses. Contiene nueve cortometrajes que ilustran la forma de hacer cine durante los años 20's en distintos géneros abarcados, como son la acción, la comedia y el drama.",,,,Película documental,,"Registros fílmicos, registros fonográficos","Narración off, conducción, animación, gráficos",,VHS,
MXIM-AV-1-11-28,Close up (Nema-ye Nazdik),"El iraní Abbas Kiarostami mezcla documental y drama a través de una historia en el que un fanático del cine finge ser el reputado director Mohsen Makmalbaf. El director crrea una fascinante mezcla de documental y ficción en primer plano,todos los actores de la película juegan ellos mismos, y todas las escenas son recreaciones de hechos reales, a excepción de unos pocos que se desarrollan ""en vivo"". Es difícil distinguir entre lo que es real de lo que está escrito. La línea entre el cine y la vida se borra, y no sólo para el público sino para los personajes / personas en la película también.",,,,,,"Registros fílmicos, registros fonográficos","Narración off, conducción, animación, gráficos",,,
