 DÉCADA 1980-1989,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
MXIM-AV-1-10-10,El papel de San Pablito,En la comunidad de San Pablito Pahuatlán se elabora el papel amate a partir de la corteza del árbol que lleva el mismo nombre. Se presenta cómo fue sustitutido el valor de uso por el valor de cambio de las hojas de papel amate y las consecuencias que esto trajo para la comunidad. Las cuales se empleaban para curaciones y ceremonias sagradas como representaciones del bien y del mal.,"Martín de la Cruz, Otomíes de la comunidad de San Pablito, Penhuatan, Puebla.","San Pablito, Penhuatán, Puebla.",1980,Película documental,,,"Entrevista, grabación de campo, puesta en escena",,VHS,
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,"La lucha de El Salvador y su historia revolucionaria, desde los tiempos de la conquista y colonización españolas, hasta la insurgencia de los años 80, abordadas por un cineasta puertorriqueño inmerso en el conflicto. (FILMAFFINITY)","Romero, Pedro de Alvarado, Pedro Pablo Castillo, Francisco Morazán, Anastasio Mártir Aquino, Gerardo Barrios, Farabundo Martí, Feliciano Ama, Maximiliano Hernández Martínez, Carlos Humberto Romero, Salvador Cayetano, Luis Díaz, Joé Leoncio Pichinte, Enrique Álvarez Córdova, Ignacio Ellacuria, Oscar Arnulfo Romero (Monseñor Romero), José Guillermo García, Rey Prendes, Roberto O´Abuisson, Manuel Franco, Juan Chacon, Guillermo Manuel Ungo","El Salvador: San Salvador, Chalatenango, Las Vueltas, El Zapotal, Coyolar","mayo de 1980, 1821, 1524, 1944, mayo 1979, 1 abril 1970,  diciembre de 1979, abril de 1980",Película documental,,"Testimonios orales, testimonios videorales, cartografía, noticieros fílmicos, dibujos, pinturas, fotografías, hemerografía, registros fílmicos de archivo","Grabación de campo, voz en off, conducción, intertítulos, entrevistas, música de época, incidentales",,,
MXIM-AV-1-10-12,El oficio de tejer,"La mística de los telares de la Sierra Norte de Puebla envuelve el ambiente de este documental realizado en Cuetzalan, donde a partir de escenas de la vida comunitaria alrededor del tejido de las gasas nahuas, se muestran aspectos económicos de sus pobladores y la forma en que producen sus textiles. También se nos comparte el mundo interior, la vida cotidiana y los problemas económicos de los nahuas",,"Cuetzalan, Puebla.",,Película documental,,,,,VHS,
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,"Un reportaje acerca del Encuentro Nacional de Jóvenes indígenas provenientes de distintas regiones del país, que se celebra en Tzintzuntzan, Michoacán. Dentro de él, se discuten cuestiones relacionadas con la organización de sus comunidades, el valor cultural de sus tradiciones, así como de los conflictos que implica la discriminación y la marginación por parte de otros sectores de la sociedad.",,"Tzintzuntzan, Michoacán",2 - 7 de septiembre de 1985,Película documental,,"Testimonios orales, fotografías.","Entrevista, grabación de campo",,VHS,
MXIM-AV-1-10-14,Entre la presencia y el olvido,"Una interesante edición sobre imágenes del pueblo de Real de Catorce, San Luis Potosí, en donde confluyen la magia del mito de un pueblo dueño de los encantos de los alucinógenos y la extrema pobreza en que viven los habitantes que, lejos de estar imbuidos de la ""maravilla"" del mítico lugar, se enfrentan a la dura vida cotidiana que los tiene, paradójicamente, en un olvido y quietud absolutos que se rompen al iniciarse la festividad. ",,"Real de Catorce, San Luis Potosi",,Película documental,,,Grabación de campo,,VHS,
MXIM-AV-1-10-15,Faits divers,"Depardon realizó un documental, Faits divers, sobre la vida cotidiana de la policía parisina, que le serviría para acercarse al mundo de la delincuencia cotidiana, que abordará de otro modo en Delitos flagrantes.",,"París, Francia.",década de los 80's ,Película documental,,,"Grabación de campo, música de época",,,
MXIM-AV-1-10-16,From the pole to the equator,"Utilizando pietaje de los archivos de Luca Comerio (1874-1940), pionero del documentalismo italiano, Gianikian y Ricci Lucchi, cineastas avant-garde, han llevado a cabo una extraordinaria labor con el acervo fílmico grabado por el documentalista literalmente desde el polo al ecuador, y hacen de este documental un auténtico rescate cinematográfico de material que data de 1910. Comerio grabó en locaciones exóticas europeas durante más de veinte años y fue el reportero oficial que acompañó al ejército italiano durante la Gran Guerra. Los realizadores recolorearon y reeditaron el trabajo de Comerio sobre gente y lugares exóticos -balleneros del Ártico, escuelas de misioneros, monjes tibetanos y jinetes cosacos. Un viaje fascinante al pensamiento colonial y la dominación vista en pantalla grande.",,,,Película documental,,"Documental, registros fílmicos, registros fonográficos",,,VHS,
MXIM-AV-1-10-17,Jornaleros del tiempo," Se realizó en San Quintín, Baja California. Presenta la migración de los mixtecos del estado de Oaxaca a los valles de San Quintín, donde se contratan como jornaleros en los cultivos de jitomate. Se muestra la marginación y explotación, así como las condiciones de vida de esos migrantes. En 1987 recibió un reconocimiento en el II Festival Latinoamericano de Cine de Pueblos Indígenas de Río de Janeiro, Brasil. (http://www.cdi.gob.mx/print.php?id_seccion=250)","Elvia, Luis Rodríguez, Luis Ochoa, Rubén Peralta, Everardo Garduño","Valle de San Quintín, Baja California, Mixteca Alta, Oaxaca, Colonia L. Cárdenas, Campamento Las Llamas, Sinaloa, Campamento Las Pulgas",1960-1987,Película documental,,,"Entrevista, grabación de campo, testimonios orales",,VHS,
MXIM-AV-1-10-18,Koyaanisqatsi,"Koyaanisqatsi, también conocida como Koyaanisqatsi: Life Out of Balance, es una película del año 1982 dirigida por Godfrey Reggio. Se trata de un documental en el que se muestran imágenes de gran impacto visual y emocional sobre el efecto destructivo del mundo moderno en el medio ambiente. Las imágenes van acompañadas por música compuesta por el minimalista Philip Glass. El nombre de la película significa «Vida fuera de equilibrio» en el dialecto de los hopi, antigua tribu americana que habitaba en la meseta central de EEUU.

La película hace un uso extenso de la cámara lenta y el time-lapse y no contiene ni diálogo ni narración. Compuesta principalmente por imágenes de ciudades y paisajes naturales a lo largo de los Estados Unidos crea un poema visual cuyo tono es establecido mediante la yuxtaposición de imágenes y música. Reggio se refiere a la falta de diálogo diciendo que «no se trata de falta de amor por el lenguaje por lo que estas películas no tienen palabras. Es por que, desde mi punto de vista, nuestro lenguaje está en un estado de gran humillación. Ya no describe el mundo en el que vivimos.

Koyaanisqatsi es la primera película de la trilogía Qatsi, seguida por Powaqqatsi (1988) y Naqoyqatsi (2002). La trilogía trata diferentes aspectos de la relación entre seres humanos, naturaleza y tecnología. Koyaanisqatsi es la más conocida de la trilogía y es considerada una película de culto.",,,,Película documental,,,"Grabación de campo, música de época",,,
MXIM-AV-1-10-19,La cultura del caracol púrpura como patrimonio nacional,"La importancia milenaria que ha tenido para la industria textil la preservación del caracol púrpura por su gran utilidad en la pigmentación al natural de la producción en ese ramo de gran parte de las comunidades indígenas del país. Se presenta la opinión de algunos expertos y de un breve documental que ilustra más sobre el uso y aprovechamiento de ésta especie endémica de la costa del Pacífico mexicano, así como los factores para su conservación y explotación.",,,,Programa televisión,,,"Entrevista, grabación de campo",,VHS,
MXIM-AV-1-10-20,La decisión de vencer,"La retaguardia creada por el Frente Farabundo Martí para la Liberación Nacional [FMLN] y el avance político-militar ocurrido desde 1980. Fue filmada en la zona liberada de Morazán, El Salvador, entre julio y agosto de 1981. http://www.cinelatinoamericano.cult.cu/ficha.aspx?cod=941",,El Salvador: Morazán,junio-agosto 1981,Película documental,,"Testimonios videorales, testimonios orales, registros radiofónicos","Grabación de campo, entrevistas",,16 mm,
MXIM-AV-1-10-21,La neta no hay futuro,"Un interesante documental sobre la ""comunidad punk"" que habita en los suburbios de la Ciudad de México, sobre todo en Ciudad Nezahualcóyotl, una de las zonas más marginadas en donde la juventud que no haya mejores oportunidades de desarrollo ha edificado su propia identidad para afrontar el rechazo social del que son objeto haciendo una mezcolanza de rasgos de otras subculturas extranjeras, integrándolas a su realidad y a su propio desencanto por la vida y por su futuro.",,,,Película documental,,"Música de época, registros radiofónicos","Entrevista, grabación de campo",,VHS,
MXIM-AV-1-10-22,La república perdida II,"La revisión de la historia Argentina durante el régimen militar, entre 1976 y 1982. De Isabel Perón a Alfonsín. Años que no debemos olvidar. Gracias al milagro del cine y el video recogemos la continuación de un documento imprescindible para los argentinos. ","Juan Domingo Perón (presidente de Argentina, 1973-1974), María Estela ""Isabelita"" Martínez de Perón (presidenta de Argentina, 1974-1976), José López Rega, (ministro de Bienestar Social), Jorge Rafael Videla (presidente de facto de Argentina, 1976-1981), Coronel Juan Alberto Pita (interventos SGT), General César Ángel Cardoso (jefe de policía federal Argentina), Ana María González (presunta asesina del jefe de policía) General Omar Actis (interventor de YPF), Augusto Pinochet (presidente de Facto de Chile, 1973-1990), Bernardo Alberte (teniente coronel peronista), Zelmar Michelini (político y periodista uruguayo), Héctor Gutiérrez Ruiz (expresidente de la cámara de diputados), Juan José Torres (ex-presidente de Bolivia), Monseñor Enrique Angelelli (Obispo de La Rioja), Carlos de Dios Murias (sacerdote), Gabriel Longueville (sacerdote), Mario Vela Amaya (legislador), Hipólito Solar (legislador), Jacobo Timerman (periodista), Ramón Cams (jefe de policía de Buenos Aires), Almirante César Guzet (canciller), Oscar Smidth (secretario de Luz y fuerza), Edgardo Sajón (periodista), Héctor Hidalgo Solar (embajador de Argentina en Venezuela), Jimmy Carter (presidente de Estados Unidos, 1977-1981), Patricia Devian (Subsecretaria de derechos humanos, EU), Henry Kissinger (ex-secretario de Estado, EU), José Alfredo Martínez de Hoz (ministro de Economía en la dictadura militar), Alberto Lamborgihini(comandante en jefe), Carlos Andrés Pérez (presidente de Venezuela), Cardenal Antonio Samoré (representante papal en la mediación del conflicto del Beagle, 1978), Elena Holmer(secretaria de la embajada argentina en París), Omar Graffini (comandante en jefe de la fuerza aérea),  Raúl Alfonsín (presidente de  Argentina, 1983-1989), Guillermo Walter secretario de programación  de Economía), Juan Alva (secretario de Hacienda), Francisco Soldati 8ex-presidetee de la ITALO),  Luciano Benjamín Menéndez, Leopoldo Fortunato (comandante en jefe del ejército), Brigadier Callatore (intendente de la Ciudad de Buenos AIres), Ronald Reagan (presidente de Estados Unidos, 1981-1989),  Adolfio Pérez Esquivel (premio Nobel de la Paz), Héctor J. Cámpora (presidente de Argentina, 1973), Roberto Eduaro Viola (presidente de Argentina, 1981), Leopoldo Galtieri (presidente de Argentina, 1981-1982), Margaret Tatcher (ministra del Reino Unido, 1978-1990), Fidel Castro (presidente de Cuba), Papa Juan Pablo II, Ernesto Facundo Urien (teniente primero),  Reynaldo Bignone (presidentede facto  de Argentina, 1982-1983), Ítalo Lúder (candidato presidencial, 1983)","Argentina: Buenos Aires, Tucumán",1974-1982,Película documental,,"Hemerografía, registros fílmicos, registros radiofónicos, testimonio orales, fotografías, publicidad televisiva, testimonios videorales, cartografía, dibujos","Voz en off, conducción, música en off, registros fílmicos, fotografías, dibujo, hemerografía, incidentales,  animación, entrevistas",,,
MXIM-AV-1-10-23,Laguna de dos tiempos,"Esta producción elaborada por Cine Testimonio nos presenta un detallado video-reportaje sobre la transformación de la vida social y económica de los pobladores de la zona veracruzana de Pajapan, llamada la ""Laguna del Ostión"", y desde ahora como la Laguna de dos Tiempos. La llegada de la industria petrolera a la región supuso un síntoma de avance y progreso; sin embargo, ésta misma hizo que las condiciones de vida y de desarrollo se alteraran drásticamente en casi todos los sentidos: el económico, social y hasta el cultural. Es por ello que el mote de Dos Tiempos sirve muy bien para reflejar las grandes diferencias entre el antes y el ahora de ésta zona, tradicional y eminentemente pesquera y agrícola, y que es una muestra más del choque entre los elementos de la tradición y los de la modernidad.",,,,Película documental,,Pintura,"Entrevista, grabación de campo",,VHS,
MXIM-AV-1-10-24,"Laguna de Ostión. Acayucan , Ver.","Documental que muestra los estragos sociales a los que condujo la introducción de la industria petrolera en la región de Veracruz, ahora de las más importantes de todo el país. Los resultados negativos de este proceso lo pagan, como puede verse perfectamente en este video, los habitantes de los distintos poblados circunvecinos de los yacimientos petrolíferos, no sólo porque representa éste un atentado en contra de su economía, sino también en contra de sus costumbres y su vida en común.",,,,Película documental,,"Pintura, cartografía",,,VHS,
MXIM-AV-1-10-25,Lenguaje audiovisual,"El análisis técnico que relaciona al ojo humano con la imagen produciendo el movimiento se describe con ejemplos, al igual que las técnicas de registro empleadas en cine y televisión para la producción de diferentes efectos.",,,,,,"Documental, registros fílmicos, fotografía, grabados, testimonios orales, programas de TV, publicidad, multimedia",,,VHS,
MXIM-AV-1-10-26,Malcolm Lowry en México,"Malcolm Lowry (Wallasey, 1909 - Ripe, 1957), autor inglés reconocido principalmente por su novela Bajo el volcán, cuya redacción comenzara durante a mediados de la década de 1930. El manuscrito pasó por diversos contratiempos y la novela apareció finalmente en 1947. El escritor británico definió a Bajo el volcán, cuya acción tiene lugar en Cuernavaca, como la representación de una máquina infernal construida para destruir la vida. Lowry, quien anticipara los estilos y temas de su escritura madura en la novela Ultramarina (1933), no volvió a escribir una obra perdurable y moriría alcoholizado, pero han sido publicados en forma póstuma sus obras narrativas Escúchanos Señor, desde el cielo, tu morada (1961), Lunar cáustico (1963) y Oscuro como la tumba donde yace mi amigo (1968).. El presente mediometraje documental, grabado en video y realizado por Oscar Menéndez, es una evocación de la estancia y la presencia de Malcolm Lowry en México, no sólo escenario donde transcurre la narración de Bajo el volcán, sino también contexto donde el autor creó su famosa novela.","Malcolm Lowry, Marshall Donald","España, EU, México, Canadá, Haiti, Inglaterra","1933, 1947",Película documental,,"Documental, fotografía, pintura, gráfica, hemerografía, cartografía, documentos escritos, testimonios orales, música de época","Entrevista, grabación decampo, fotografía, pintura, dibujo, cartografía, testimonios orales, voz en off, conducción","Suplementos y características especiales: 1) Opción de acceder directamente a un pasaje del documental centrado en el mezcal (2 minutos y medio) y 2-3) Pantallas de texto con opiniones de Manuel Aguilar de la Torre, Patricia Vega, Alberto Híjar y Florence Toussaint, aparecidas original y respectivamente en las publicaciones Excélsior, La Jornada, El Día y Proceso, sobre el mediometraje y lista de premios otorgados al documental",DVD,
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,"Documental que narra las actividades de Don Agustín Montoya de la Cruz, Tepu (Mara'acame huichol), quien socialmente es reconocido como curandero, cantador e intérprete de sueños. Este hombre es norma y directriz de su sociedad, ya que es considerado el sabio que puede guiarlos, protegerlos y mantenerlos sanos. Se describen las ceremonias de curación que practica y los rituales de wimacuarra y tatei neirra",,,,Película documental,,,"Entrevista, grabación de campo",,VHS,
MXIM-AV-1-10-28,Mi hijo el Ché,"Este film remonta la corriente del tiempo y quiere oponerse a la ignorancia y al olvido, trazando el perfil del hombre ""Ché"" Guevara a través de una larga entrevista con el padre del Ché, don Ernesto Guevara Lynch. El film es un doble retrato ya que el retrato del hijo nace del retrato del padre. Un relato contemplado desde su testimonio, un copioso álbum familiar, inédito y una película de la familia Guevara, guardada en un baúl durante 50 años. Un doble retrato de dos hombres que han creído firmemente en sus ideales en un momento histórico de cambio y de esperanza para el mundo: un testamento existencial para futuras generaciones.",,,,Película documental,,"Registros fílmicos, fotografía, pintura, cartografía, testimonios, videorales, noticieros fílmicos, programas de TV, publicidad, videoclips ","Entrevista, grabación de campo",,VHS,
MXIM-AV-1-10-29,Milano ´83,"Una película que retrata la ciudad apoyándose en imágenes, ruidos, salpicado en los rituales colectivos y las festividades anuales. Un viaje simbólico a través de una metrópoli ocupada, en movimiento, describiendo el Milan de los sitios de trabajo nocturno y de la construcción, las madres  en los trenes que llevan a sus hijos a la guardería. La película, presentada con bombos y platillos en 1983 y que fue parte de un proyecto más amplio al lado de otros grandes cineastas: ""Los capitales culturales de Europa"", con el de Lisboa de Manoel de Oliveira, Atenas de Theo Angelopoulos y Varsovia Kryzstof Zanussi.",,"Italia, Milán",1983,Película documental,,,"Grabación de campo, música de época",,,
MXIM-AV-1-10-30,Une histoire de vent ,"Entre el documental, la ficción, la mitología, la filosofía y la pura fantasía, Loridan e Ivens crearon con su epitafio una de las mejores películas ""libres"" jamás filmada, en un adecuado tributo a uno de los creadores más originales de la historia del cine, Joris Ivens. (FILMAFFINITY) http://www.filmaffinity.com/es/film849640.html",Joris Ivens,China,,Película documental,,"Testimonio videoral, registros fílmicos de archivo","Grabación de campo, entrevistas, ficción, puesta en escena, animación, incidentales",,,
MXIM-AV-1-10-31,Nadie es inocente,"El gran trabajo de Sarah Minter que marcaría una nueva forma de ver el ""movimiento punk"" de los años ochenta en nuestro país, siendo adoptada ésta principalmente por la población joven más pobre y marginada de la sociedad mexicana. Dicho movimiento tiene sus sitios de mayor influencia en las zonas suburbanas de mayor pobreza, como lo es Ciudad Neza, y sirve también como escenario para que un grupo de jóvenes, los ""Mierdas Punk"", se retraten a sí mismos, reafirmen su identidad con el fin de ser mejor conocidos por la sociedad mexicana, y puedan adentrarse a su realidad, de completos desánimo y pesimismo ante la gran falta de mejores oportunidades de desarrollo.",,,,Película documental,,Registros radiofónicos,"Entrevista, grabación de campo, puesta en escena",,VHS,
MXIM-AV-1-10-32,"New York, N.Y.","Durante dos meses, Raymond Depardon estuvo rodando diariamente cuatro minutos de película en Nueva York. El resultado es una película de impecable fotografía y enigmática belleza donde el realizador, en voz off, subraya su imposibilidad de filmar la realidad de un lugar desconocido.",,Estados Unidos: New York,,Película documental,,,"Grabación  de campo, voz en off",,,
MXIM-AV-1-10-33,Sans Soleil,"Tres niños en una carretera en Islandia, una tripulación somnolienta a bordo de un ferry, un emú en Île de France, un bello rostro de las islas Bijagos, un cementerio de gatos a las afuera de Tokio, vagabundos en Namidabashi, los habitantes de la Isla de Fogo, Cabo Verde, un carnaval en Bissau... Así inicia el relato una mujer desconocida que lee las cartas remitidas por un operador de cámara, Sandor Krasna, que a través del registro de las imágenes de sus viajes se interroga sobre la memoria y la función del recuerdo, ""que no es lo contrario del olvido, sino su opuesto"", para conformar, como Sei Shônagon, su particular lista de ""cosas que hacen latir el corazón"". (FILMAFFINITY)",,,,,,Fotografía,,,,
MXIM-AV-1-10-34,Portraits d'Alain Cavalier (1a serie),"Alain Cavalier describe su amada París a través de retratos de varias mujeres. Estos retratos son encuentros para evitar el olvido, aunque sólo sea por los pocos minutos que están delante de ti. Se trata de mujeres que trabajan, tienen hijos y, al mismo tiempo, mantienen un espíritu de independencia.
El objetivo y deseo del autor era archivar la mano de obra femenina. Su esperanza es que entre el primero y el último retrato, también se refleje la historia de la obra de un cineasta. Eligió este corto período de trece minutos por varias razones para no molestar, escapar de cualquier corte, hacen que la película circule rápidamente, y en un arranque sin muchas tachaduras.
""Yo no soy un director de documentales. Yo soy más de un amante de la cara, las manos y los objetos: Me encanta la generosidad de estas mujeres que aceptan esa película. Reflejar la realidad no me atrae. La realidad es sólo una palabra, al igual que su hermana gemela, ficción, practica de un placer diferente."" Alain Cavalier.",,,,Película documental,,,,,,Jeannine aux fers
MXIM-AV-1-10-35,Powaqqatsi,"Enfoque global de nativos del Tercer Mundo - las culturas emergentes, terrestres de Asia, India, África, Oriente Medio y América del Sur - y la forma en que se expresan a través del trabajo y de sus tradiciones. Lo que tiene que decir acerca de estas culturas es una imagen ya vista y algo más, para permitir variadas interpretaciones. Refiere al desequilibrio entre la naturaleza y la sociedad moderna, Powaqqatsi es una celebración de la escala humana que se esfuerza en la artesanía, el culto espiritual, el trabajo y la creatividad que define una cultura particular. Es también una celebración de la rareza - la delicada belleza a los ojos de un niño indio, la riqueza de un tapiz tejido en Katmandú - y sin embargo, una observación de cómo estas sociedades se mueven a un ritmo particular. POWAQQATSI es también de formas de contraste, diferentes formas de vida, y en parte de cómo el señuelo de la mecanización y la tecnología y el crecimiento de las megaciudades están teniendo un efecto negativo en estas pequeñas culturas. Podrían ser las mismas caras que vimos en los pueblos más pequeños pero parecen adormecidos; sus ojos reflejan cautela, incertidumbre. Reggio, afirmaba que no era una película sobre lo que debe o no debe ser. ""Es una impresión, un examen de cómo la vida está cambiando"", explica. ""Eso es todo lo que es. No es buena y no es malo. Lo que hemos tratado de capturar es nuestra unanimidad como una cultura global. La mayoría de nosotros tendemos a olvidarnos de esto, ya que estamos en nuestras trayectorias separadas. Fue fascinante mezclar estos diferentes formas de existencias juntas en una película.",,"Perú: Cuzco, Hunchao, Iquitos, Lima, Puno, Taquile Island, Trujillo. Brasil: Belem, Brasilia, Carajas, Cubatao, Río de Janeiro, Santos, Sao Paulo, Serra Pelada. Kenya: Lamu, Mombasa, Nairobi, Pate Island. Egipto: Cairo, Luxor, Sinai, Ismailia. Israel: Jerusalem. Nepal: Bhaktapur, Dulekheil, Kathmandu, Patan. Hong Kong: Kowloon, New Territories, Hong Kong Island. India: Bombay, Calcutta, Jaipur, Jaiselmer, Madras, Pushkar, Varanash, Kanchipuram, Grand, Trunk Road. Alemania: Berlín. Francia: Chartres",,Película documental,,"Publicidad, programas de TV, noticieros fílmicos","Grabación de campo, incidentales, música de época, intertítulos",,,
