 DÉCADA 1980-1989,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
MXIM-AV-1-10-10,El papel de San Pablito,Instituto Nacional Indigenista (INI),,"Miguel Camacho, Coca Gaxiola, Juan Carlos Colín","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-10-11,El Salvador: el pueblo vencerá,Instituto Cinematográfico de El Salvador Revolucionario,,"Carlos Álvarez, Productor ejecutivo: Oscar Castillo",,,,
MXIM-AV-1-10-12,El oficio de tejer,"Archivo Etnográfico Audiovisual del INI, FONAPAS", ,Carlos Camacho,,,,
MXIM-AV-1-10-13,Encuentro nacional de Jóvenes Indígenas,"SEP, Dirección General de Culturas Populares, Unidad Regional de Culturas Populares Michoacán, ",,,,,,
MXIM-AV-1-10-14,Entre la presencia y el olvido,Centro de Capacitación Cinematográfica (CCC),,"Ricardo Braojos, Alejandro Caballero","CCC: El Centro de Capacitación Cinematográfica tiene como objetivo primordial el de formar cineastas de alto nivel profesional en las áreas técnicas y artísticas de cinefotografía, producción, sonido, edición, guión y realización, en el marco de una concepción integral del quehacer y del lenguaje cinematográficos. El CCC se erige como una escuela de cine en el amplio sentido de la palabra, como un centro de actividad académica y de difusión cultural que vincula el cine y —en general— la imagen en movimiento, con las demás manifestaciones y expresiones artísticas. Desde su fundación en el año de 1975, el CCC ha buscado obtener en el ejercicio cinematográfico una mirada propia, una propuesta estética profunda que derive en un estilo de cine divorciado de modelos rígidos de pensamiento y expresión. Hoy en día el CCC cuenta con más de veinte años de experiencia en la capacitación de jóvenes cineastas a través del Curso General de Estudios Cinematográficos, mismo que el Centro ofrece bajo un programa de cuatro años de formación continua. Cuenta con un nivel similar al de las mejores escuelas de cine del mundo; su prestigio y presencia en el medio cinematográfico se manifiestan en la cantidad de muestras y festivales nacionales e internacionales a los que sus producciones son invitadas a participar. La calidad de la formación que imparte el Centro ha logrado, además, garantizar que sus egresados se incorporen, como profesionales de alto nivel, a la industria cinematográfica y de producción audiovisual mexicana e internacional. El Centro de Capacitación Cinematográfica, A.C. es una institución coordinada por el Instituto Mexicano de Cinematografía; forma parte del Consejo Nacional para la Cultura y las Artes y es una de las escuelas que conforman el Centro Nacional de las Artes. Fue fundado en el año de 1975 por Carlos Velo y tuvo como presidente honorario, en sus inicios, al cineasta Luis Buñuel.(http://ccc.cnart.mx/presentacion/f_pre01.htm) ",,,
MXIM-AV-1-10-15,Faits divers (Hechos Diversos),"Antenne 2, Unité de programmes Pascale Breugnot, Copyright Films",,Olivier Froux,,,,
MXIM-AV-1-10-16,From the Pole to the Equator,Gianikian-Ricci Lucci /Zweites Deutsches Fernsehen (ZDF) , ,"Yervant Gianikian, Angela Ricci Lucchi",,,Donación,2004
MXIM-AV-1-10-17,Jornaleros del tiempo,Archivo Etnográfico Audiovisual del INI,,,"El Instituto Nacional Indigenista después de 54 años de trabajo con los pueblos indígenas, se transforma a partir del 5 de julio de 2003 en la Comisión Nacional para el Desarrollo de los Pueblos Indígenas (http://www.cdi.gob.mx) CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-10-18,Koyaanisqatsi: life out of the balance (Koyaanisqatsi: Vida fuera de equilibrio),,,"Godfrey Reggio, Productor ejecutivo: Francis Ford Coppola",,,,
MXIM-AV-1-10-19,La cultura del caracol púrpura como patrimonio nacional,IMEVISIÓN/SEP-Cultura,,,,,,
MXIM-AV-1-10-20,La decisión de vencer (Los primeros frutos),Cero a la izquierda,Zafra S. A.,Cero a la izquierda,,,,
MXIM-AV-1-10-21,La neta no hay futuro,Centro de Capacitación Cinematográfica (CCC)- Instituto Mexicano de cinematografía y Estudios Churubusco Azteca,,,"CCC: El Centro de Capacitación Cinematográfica tiene como objetivo primordial el de formar cineastas de alto nivel profesional en las áreas técnicas y artísticas de cinefotografía, producción, sonido, edición, guión y realización, en el marco de una concepción integral del quehacer y del lenguaje cinematográficos. El CCC se erige como una escuela de cine en el amplio sentido de la palabra, como un centro de actividad académica y de difusión cultural que vincula el cine y —en general— la imagen en movimiento, con las demás manifestaciones y expresiones artísticas. Desde su fundación en el año de 1975, el CCC ha buscado obtener en el ejercicio cinematográfico una mirada propia, una propuesta estética profunda que derive en un estilo de cine divorciado de modelos rígidos de pensamiento y expresión. Hoy en día el CCC cuenta con más de veinte años de experiencia en la capacitación de jóvenes cineastas a través del Curso General de Estudios Cinematográficos, mismo que el Centro ofrece bajo un programa de cuatro años de formación continua. Cuenta con un nivel similar al de las mejores escuelas de cine del mundo; su prestigio y presencia en el medio cinematográfico se manifiestan en la cantidad de muestras y festivales nacionales e internacionales a los que sus producciones son invitadas a participar. La calidad de la formación que imparte el Centro ha logrado, además, garantizar que sus egresados se incorporen, como profesionales de alto nivel, a la industria cinematográfica y de producción audiovisual mexicana e internacional. El Centro de Capacitación Cinematográfica, A.C. es una institución coordinada por el Instituto Mexicano de Cinematografía; forma parte del Consejo Nacional para la Cultura y las Artes y es una de las escuelas que conforman el Centro Nacional de las Artes. Fue fundado en el año de 1975 por Carlos Velo y tuvo como presidente honorario, en sus inicios, al cineasta Luis Buñuel.(http://ccc.cnart.mx/presentacion/f_pre01.htm) IMCINE: El Instituto Mexicano de Cinematografía fue creado por decreto presidencial, el 25 de marzo de 1983, como un organismo público descentralizado con personalidad jurídica y patrimonio propio. Su misión es fomentar la producción y promoción del cine mexicano , como una de nuestras manifestaciones culturales de mayor presencia en los medios de comunicación, así como impulsar la industria cinematográfica de nuestro país. Bajo el Consejo Nacional para la Cultura y las Artes, coordina las actividades de la Cineteca Nacional, Estudios Churubusco Azteca, S. A. (ECHASA) y el Centro de Capacitación Cinematográfica (C.C.C.). Para el cumplimiento de sus funciones, el Instituto cuenta con el Programa de Fomento a la Creación Cinematográfica, produce cortometrajes y apoya a la Producción de largometrajes. (http://www.imcine.gob.mx/html/imcine/imcine.html)",,,
MXIM-AV-1-10-22,La república perdida II,,Norán srl.,"Enrique Vanoli, Jorge Poleri",,,,
MXIM-AV-1-10-23,Laguna de dos tiempos,"Instituto Nacional Indigenista, Cine Testimonio S.A. de C.V.",,Juan Carlos Colin F.,"El Instituto Nacional Indigenista después de 54 años de trabajo con los pueblos indígenas, se transforma a partir del 5 de julio de 2003 en la Comisión Nacional para el Desarrollo de los Pueblos Indígenas (http://www.cdi.gob.mx) CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-10-24,"Laguna del Ostión. Acayucan , Ver.","SEP - Dirección General de Culturas Populares, Comunicación Educativa Latinoamericana",,,"DGCPI: Desde 1989, Culturas Populares e Indígenas ha impulsado el programa de apoyo a las culturas Municipales y Comunitarias -PACMYC- con el cual se han podido financiar más de 7 mil proyectos en todo el país. Como una alternativa para contribuir en la valoración y el reconocimiento de la expresión artística y artesanal; así como en el desarrollo sociocultural de los pueblos la DGCPI creó el Programa de Arte Popular y el Programa de Escuelas Itinerantes de Diseño Artesanal, las cuales ya operan en Tlaxcala y Oaxaca. En el ámbito indígena y como respuesta a las demandas culturales de los grupos asentados en ciudades, zonas conurbadas, campos agrícolas, centros turísticos e industriales del país y el extranjero, la DGCPI cuenta ya con un Programa de apoyo a las Culturas Indígenas Migrantes. Dentro de su trabajo en beneficio de la cultura popular, la DGCPI colabora en la difusión de un sin número de actividades que con este fin realizan instituciones públicas y privadas del DF y de los distintos estados de la República Mexicana. También promueve y organiza, por medio de sus Unidades Regionales: programas de capacitación a Promotores culturales, reuniones, encuentros y Festivales de cultura popular e indígena. (http://www.culturaspopulareseindigenas.gob.mx/programas.html)",,,
MXIM-AV-1-10-25,Lenguaje audiovisual,UNED - Centro de Diseño y Producción de Medios Audiovisuales, ,"Javier Suárez,  Juan C. García, Gregorio Guzmán",,,Donación,1994
MXIM-AV-1-10-26,Malcolm Lowry en México,"Editorial Rana del sur, Video y cine independiente",Ediciones Pentagrama S.A de C.V,Carlos Salgado,La Editorial La Rana del Sur es una empresa morelense enfocada fundamentalmente a la producción y distribución de documentales independientes en el formato DVD.,"Oscar Menéndez, director, productor, escritor y editor",Compra,2008
MXIM-AV-1-10-27,Mara'acame. Cantador y curandero,Instituto Nacional Indigenista - Fondo Nacional para Actividades Sociales/Archivo Etnográfico Audiovisual,,"Raúl Álvarez, Juan Carlos Colín F., Coca Gaxiola","El Instituto Nacional Indigenista después de 54 años de trabajo con los pueblos indígenas, se transforma a partir del 5 de julio de 2003 en la Comisión Nacional para el Desarrollo de los Pueblos Indígenas (http://www.cdi.gob.mx) CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-10-28,Mi hijo el Ché,"Laboratoria de Poeticas Cinematograficas de Fernando Birri, S.A., TV Española S.A.,Instituto Cubano del Arte e Industria Cinematográficos",,"Settinio Presutto, Lourdes de los Santos",,,,
MXIM-AV-1-10-29,Milano ´83,"Televisión Española, Trans World Film",RICORDI,Marcello Siena. Productor ejecutivo: Tony Amendola,,,,
MXIM-AV-1-10-30,Une histoire de vent (Una historia de viento),"Air France, Capi Films, Channel Four Films, La Sept Cinéma, Nederlandse Omroepstichting (NOS), Norddeutscher Rundfunk (NDR), Stichting Nederlands, Studio documentaire de Chine, TF1 Films Production, Westdeutscher Rundfunk (WDR)",MK2 Diffusion,Marceline Loridan,,,,
MXIM-AV-1-10-31,Nadie es inocente,,,Sarah Minter,,,,
MXIM-AV-1-10-32,"New York, N.Y.",,,,,,,
MXIM-AV-1-10-33,Sans Soleil,ARGOS Films,,Anatole Dauman,,"Chris Marker (nacido Christian François Bouche-Villeneuve, Neuilly-sur-Seine, Francia, 29 de julio de 1921) es un escritor, fotógrafo y director de cine francés, a quien se atribuye la invención del ensayo fílmico. Comenzó su trabajo como parte del grupo de la rive gauche francesa, paralelo pero distinto de la nouvelle vague, con la que compartirían temas y trabajos más tarde. En 1982, Sans Soleil supera los límites de lo que se puede llamar ""documental"". Se trata de un ensayo, de un montaje que une partes de documentales y de ficción con comentarios filosóficos, con, lo que genera una atmósfera onírica y de ciencia-ficción. (Extraido de file:///C:/Documents%20and%20Settings/chernandez/Escritorio/adriana%20h/Chris_Marker.htm)",Donación,1999
MXIM-AV-1-10-34,Portraits d'Alain Cavalier  (Retratos de Alain Cavalier),,,,,,,
MXIM-AV-1-10-35,Powaqqatsi,,Metro Goldwyn Mayer,"Mel Lawrence, Godfrey Reggio, Lawrence Taub, Producción ejecutuva: Menahem Golan, Yoram Globus",,,,
