 DÉCADA 1960-1969,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
MXIM-AV-1-8-13,Hasta la victoria siempre,"Documental que recoge algunas imágenes en film y en fotografía sobre la acción del guerrillero Ernesto Guevara tanto en la Revolución cubana, como su intervención en Angola, Bolivia, etc. También se encuentran los registros video-orales de sus discursos, en la que deja muy claramente marcada su ideología socialista y revolucionaria, en contraposición del mundo capitalista al que combatió en defensa de sus principios. Un magnífico documento audiovisual que representa un testimonio directo de esta parte de la historia mundial contemporánea, preparada por el gobierno de Cuna de los años 60.",Ernesto Ché Guevara ,"Camiri, Bolivia, Santo Domingo, Argentina, Guatemala. Haití, Nicaragua, Panamá, Habana, Ecuador, Angola, Vietnam, Hanoi, ",,Película documental,,"Registros fílmicos, hemerografía, cartografía, testimonios orales, testimonios video orales, documentos",,,VHS,
MXIM-AV-1-8-14,Jaguar,"Jaguar es una de las obras más emblemáticas y que demuestra el interesante enfoque que propone Rouch a la cultura africana: una bizarra mezcla entre documental y ficción en que Rouch improvisó con tres africanos la historia de tres amigos que parten de su humilde pueblo para hacer fortuna en la gran ciudad. Lo interesante no es solo la idea sino cómo está hecha: en el momento de grabar las imágenes Rouch no podía capturar sonido, así que después de acabar la filmación y montar la película el director reunió a los tres protagonistas en un estudio y les hizo comentar el film mientras lo veían. El resultado final es una combinación muy curiosa: vemos las imágenes grabadas en cámara en mano mientras los protagonistas van comentando lo que sucede y lo que piensan. El resultado es apabullantemente moderno y fresco para la época (el film empezó a rodarse en 1954 y se finalizó en 1967).","Damouré Zika, Lam Ibrahima Dia, Illo Gaould, Douma Besso, Adamou Koffo","Ghana: Accra, Kumasi. Togo, Benin, Níger",1967,Película documental,,"Testimonios orales, testimonios video orales, grabación de campo, música de época","Narración en off, conducción, intertítulos",,35 mm,
MXIM-AV-1-8-15,La Chasse au lion a l'arc (La caza del león con arco),"Un reportaje sobre una costumbre ancestral de caza en un pueblo situado en la frontera de Malí y Níger. Los autóctonos llevan el ganado a un monte donde, curiosamente, los leones y las vacas se llevan bien, devorando estos de vez en cuando a alguna que está enferma, lo que la tribu considera una bendición. Pero a veces los leones rompen el ""pacto"", atacando a la manada. Es entonces cuando la caza del león está decidida. (FILMAFFINITY)",,"Niger, Mali","1958, 1965",Película documental,,"Grabación de campo, música de época","Narración en off, conducción",,,
MXIM-AV-1-8-16,La Direction d acteur por Jean Renoir,"En 1968 Renoir y la actriz Gisèle Braunberger decidieron rodar un ensayo, para mostrar cómo Renoir dirigía a sus actores. Se trata de un texto traducido y adaptado por él, de ""Breakfast with Nikolaides"", una novela de Rumer Godden, la autora de ""El río"". La grabación parece improvisada; el director y la actriz, relajados, dialogan sobre el personaje y tratan de capturarlo. (FILMAFFINITY)","Jean Rnoir, Gosele Braunberguer",,,,,Grabación de campo,,,16 mm,
MXIM-AV-1-8-17,La hora de los hornos,"La Hora de los hornos, es un documental sobre los efectos del imperialismo y el colonialismo en Sudamérica. Documental histórico de adoctrinamiento político. Está dividido en tres partes: ""Neocolonialismo y violencia"", ""Acto para la liberación"" (dividido a su vez en dos grandes momentos:""Crónica del peronismo (1945-1955)"" y ""Crónica de la resistencia (1955-1966)"") y ""Violencia y liberación"". Muestra la dependencia económica, social y cultural de la Argentina y ofrece pautas sobre cómo superarla.","Fidel Castro, Camilo Torres",,,,,"Registros fílmicos de archivo, fotografía, hemerografía, gráfica, testimonios videorales,  entrevistas","Narración en off, intertítulos",,,
MXIM-AV-1-8-18,La jetée,"En el muelle del aeropuerto, Orly de París, un niño queda impactado con la imagen del rostro de una mujer en el momento en que ésta ve a un hombre cayendo muerto. Años después, luego de la Tercera Guerra Mundial que ha destruido París, los sobrevivientes se han refugiado en cavernas que han quedado bajo las ruinas. Un grupo de científicos trastornados los usan para extraños experimentos. El tiempo es la única clave para sobrevivir en este mundo: sólo el futuro y el pasado podrán rescatar este presente.",,"París, Francia",,,,"Ficción, registros fílmicos, testimonios orales",,,,
MXIM-AV-1-8-19,Heracles,"Primer trabajo del director alemán Werner Herzog, que rodó con sólo veinte años. Rodado en blanco y negro, y sólo con música y unos pocos rotulos, este corto traza un paralelismo entre Heracles, el más grande de los héroes mitológicos griegos, y los musculosos asiduos al gimnasio de la época actual, cuyos modernos 'enemigos' y 'trabajos' consisten en caravanas de automóviles, accidentes y aviones cazas, de los que busca su equivalente en la mitología clásica. Se trata más que nada de una curiosidad, que revela el talento de Herzog, que sabe casar bien las imágenes de ejercicio muscular, con primerísimos planos del cuerpo, con las de la calle, todas acompañadas de un banda sonora de jazz. http://www.avalon.me/distribucion/catalogo/Heracles",,,,Película documental,,Grabación de campo,Narración en off,,,
MXIM-AV-1-8-20,La punition (El castigo),"La película abre con un episodio narrado ingeniosamente, (entre las cámaras y la grabadora de sonido que lleva en una bolsa de hombro) en su camino a clase Nadine de diecisiete años de edad, entra al Liceo, pero la cámara espera fuera, su mirada a la deriva en el paisaje urbano de árboles desnudos y paredes. El micrófono, sin embargo, acompaña a Nadine en una clase de filosofía, donde es expulsada por no poner atención, así que esta será es una tarde libre en la que ella vagará por París y conoce y conversa con tres hombres. Estos encuentros mayormente sin guión se presentan generosamente, incluyendo el tiempo muerto, los silencios incómodos y balbuceos generalmente cortados de documentales y películas narrativas. A veces la falta de química entre los personajes hace que las conversaciones se vean forzadas, en agudo contraste con las voces en off ingeniosas y  relajadas de etno-ficciones africanas  realizadas por  Rouch. Su guión mucho más fuerte, sin embargo, deja espacio para el diálogo improvisado, y sus dos secuencias consisten en su mayor parte de las conversaciones entre Nadine Bellot y dos hombres diferentes, el primero de su marido y el segundo un extraño. Las secuencias reflejan entre sí lo suficientemente rigurosa para entrar en el género de lo fantástico, con coincidencias extrañas y aspectos de fantasía que recuerdan los cuentos escritos en la época de Julio Cortázar y otros","Nadine Landry, Jean Claude Daund, Jean Marc","París, Francia",1962,Película documental,,"Testimonios videorales, entrevista, grabación de campo, música de época","Narración en off, conducción, puesta en escena",,,
MXIM-AV-1-8-21,Law and order (Ley y orden),"Frederick Wiseman es sin duda el cineasta documentalista estadounidense más importante de las últimas tres décadas. Un profesor de derecho reconvertido en cineasta en 1967, Wiseman, en sus docudramas de gran alcance, intenta reflejar la conmovedora crónica del ejercicio del poder en la sociedad estadounidense, centrándose en las tribulaciones cotidianas de los ciudadanos estadounidenses menos afortunados, atrapados en las redes enmarañadas de las instituciones sociales que operan en la comunidad. Un tema subyacente en muchos de estos documentales es el intento del individuo para preservar su humanidad y dignidad, mientras luchan contra las leyes deshumanizadoras de los sistemas burocráticos. La estética de Wiseman entra de lleno en el ""cine directo"" tradición de cine documental, que hace hincapié continuó filmando, tan discretamente como sea posible, de la conversación humana y las rutinas de la vida cotidiana, sin música, sin entrevistas, sin voz en off, y tampoco manifiesta ningún intento de interpretar o explicar los acontecimientos que ante la cámara suceden. Wiseman llama a sus películas ""la realidad-ficción"", que refleja su estrecha estructuración temática de las imágenes en bruto en el proceso de edición. Evitando a los ""protagonistas"", Wiseman hábilmente entrelaza varias historias pequeñas para proporcionar contraste y complejidad temática. Ley y Orden (1969) fue filmado en Kansas City, Missouri. Aquí, Wiseman echó su mirada en la rutina diaria de trabajo de la policía en el departamento de policía de Kansas City. La mayoría de las secuencias fueron filmadas en el barrio negro de la ciudad. Los ejemplos de la brutalidad policial y falta de sensibilidad se yuxtapone mostrando otros ejemplos de los oficiales de patrulla en unos simpáticos intentos de ayudar a los ciudadanos de distinta índole y menos relevantes, Wiseman provoca humor a veces en las situaciones cotidianas. En general, sin embargo, el comportamiento de la policía era representado como un síntoma de la profunda crisis social, incluidos el racismo, la pobreza y la violencia resultante omnipresente en el centro de la ciudad. http://www.rebeldemule.org/foro/documental/tema9586.html",,Estados Unidos: Kansas,1919,Película documental,,"Testimonios video orales, entrevistas, fotografías, grabación de campo",,,,
MXIM-AV-1-8-22,Les années folles," A partir de archivos e imágenes recuperadas de los años 20´s y 30´s se hace un resumen de lo que paso en diferentes niveles de la vida en Francia: acontecimientos políticos, económicos, sociales, culturales y artísticos.","Raymond Rabille, Grecia Española, Marcel Proust , Emilé Zolá, Marcel Prevost, Georges Clemenceau, George Lloyd, Woodrow Wilson, Antonio Gramsci, Alexander Kerensky, John Reed, Partido Bolchevique, Stalin, Mijail Frunze, Kliment Voroshílov, Piotr Wrangel, Lavr Kornílov, Nikolái Yudénich, Loïe Fuller, Isadora Duncan, Pierre Loti, Reginal Farrer, Pierre Benoit, Henry Bordeaux, Anatole France, Henri Barbusse, René Clerc, André Breton, Jean Cocteau, Fiodor Chaliapin, Anna Pávlova, Sergei Diagilev, Francis de Croisset, Luigi Pirandello, Stanislavski, André Antoine, Mary Pickford, Charlot, Fernand Léger, Federico Marconi, Charles Godefroy,Henri Farman, Citröen, Ford,  ","Francia, Alsacia, Lorena, París, Versalles, Petrogrado, Perspectiva Nevski, Brest-Litovsk, Luna Park, Egipto, Tumba de Tutankamon, Antinea, Constantinopla, Persia, India, Río Sena, Torre Eiffel, ","11 de noviembre de 1918, 14 de julio 1919, 7 de octubre de 1917, 3 de marzo de 1918",,,,,,,
MXIM-AV-1-8-23,"Un lion nommé ""l'américain"" ","El Gow decide restaurar su honor debido a un león, ""el americano"", que escapó en 1965. Se encuentra el rastro,gracias al más astuto que los cazadores. La radio anuncia el levantamiento estudiantil mayo 1968: Rouch regresa a París. Algunas semanas más tarde, el león fue deshonrosamente asesinado a tiros. http://www.doclisboa.org/2011/en/edicao/programadetalhe/929",,"África, Niger",,Película documental,,Grabación de campo,,,,
MXIM-AV-1-8-24,México bárbaro,"Basado en: México bárbaro, de John Kenneth Turner. Nacido en Portland, estado de Oregon, en 1878, el periodista norteamericano John Kenneth Turner entrevistó en 1908 en Los Ángeles a Ricardo Flores Magón y otros dirigentes del Partido Liberal Mexicano y ese mismo año realizó un viaje por México, del que surgieron una serie de artículos publicados en el American Magazine, de Nueva York, y su libro clásico México bárbaro (Barbarous México, 1910), que causaron un gran revuelo. La descripción de Turner sobre la situación política y socioeconómica del país fue una influencia notoria para que la opinión pública norteamericana se inclinara a respaldar a quienes luchaban contra el gobierno dictatorial de Porfirio Díaz. Turner continuó su relación con los grupos floresmagonistas; estuvo en México durante la Decena Trágica y condenó la intervención del embajador norteamericano Henry Lane Wilson en los sucesos nacionales; atacó la política bélica del presidente estadounidense Woodrow Wilson y publicó en 1920 su trabajo Hands off Mexico [Manos fuera de México]. El periodista norteamericano falleció en 1948 en Salinas, California y sería hasta un año después de su muerte que México bárbaro apareció por vez primera en territorio mexicano, traducido al español. Este documental de 78 minutos de duración, dirigido por el cineasta mexicano Óscar Menéndez, plasma las impresiones de Turner acerca de la explotación laboral, muy próxima a la esclavitud, de los indígenas yaquis y mayas en Valle Nacional, Oaxaca y en Yucatán; comprende una dramatización de un texto de Turner sobre el derrocamiento del régimen de Francisco I. Madero e integra el testimonio de la viuda del periodista, Ethel Duffy","John Kenneth Turner, Ricardo Flores Magón, Porfirio Díaz, Henry Lane Wilson, Francisco I. Madero, Ethel Duffi, Maximiliano de Habsburgo, Lázaro Gutiérrez de Lara, Luis Terrazas, Olegario Molina, Enrique Cámara Zavala, Yaquis, Taft, ","México: Quintana Roo, Cuernavaca, EU, Sonora, Yucatán, Tabasco,  Chihuahua, ","1908, enero 1909, 1910- 1948, 1967",Película documental,,Documental,,,,
MXIM-AV-1-8-25,Morir en Madrid,"España en 1931, país con 22 millones de habitantes: 12 millones de analfabetos, 6 millones de pobres, 20 000 personas poseen la riqueza del país. En este marco se proclama la República. Cinco años más tarde vence el Frente Popular, pero la derecha se subleva con el General Franco a la cabeza. Comienza la más terrible guerra civil del siglo XX, sangrienta, sin piedad, con sus atroces horrores, preludio de la Segunda Guerra Mundial. Morir en Madrid, reúne varios documentos sobre la Guerra Civil Española y los integra capturando diferentes puntos de vista, destinados a representar la continuidad del sufrimiento de los españoles durante el régimen de Franco. La muerte de Federico García Lorca, Guernica, la defensa de Madrid, las brigadas internacionales, son algunas de las referencias que componen este film magistral. ""Entre 1936 y 1939 explotaron en España mil años de historia. Fue la última guerra de hombres, la primera totalitaria. En esos años un mundo murió y nació otro, el nuestro. Ese momento es nuestra película, la historia de un giro, de esa noche del universo marcado por el signo de Guernica y de la 5ª columna, por la muerte sistemática y el choque de ideologías"" (Frédéric Rossif). http://naranjasdehiroshima.blogspot.com/2007/04/morir-en-madrid-frdric-rossif-1962.html","Rey Alfonso XIII, Francisco Franco, Manuel Azaña, Federico García Lorca, Carlos V, Queipo de Llano , Radio Sevilla, General Mola, Arcipreste de Burgos, Dolores Ibarruri, CNT, FAI, UGT, POUM, Durruti, Yague, Bowers, Móscardo, Largo Caballero, André Malraux, Benito Mussolini, Pavlov, Leon Blum, José Stalin, Franklin Delano Roosevelt, Neville Chamberlain, General Roatta, Coronel Duque de Sevilla, Geroges Bernanos, Miguel de Unamuno, Millan Astray, Aguirre, Mariscal Goering, Adolf Galland, Cardenal Goma y Tomas, Francois Maruac, General Varela, Negrin, Reina Isabel II, Lister, Serrano Suñer","Madrid, Sevilla, Algeciras, Córdoba, Granada, Andalucía, Navarra, Oviedo, Zaragoza, el País Vasco, Málaga, Barcelona, Extremadura, Somosierra, Aragón, Badajoz, Gerona, Biarritz, Toledo, Móscardo, Alcazar, Asturias, Marruecos, Salamanca, Valle de Jarama, Valencia, Guadalajara, Alemania, Inglaterra, Cataluña, Euskadi,  Vizcaya, Guernica, Bilbao, Santander, Guijón, Brunete, Belchite, Zaragoza, Teruel, Vinaroz, Ebro ","12 de abril de 1931, 18 de julio, 17 de julio de 1936, 7 de noviembre, 2 de marzo de 1937, 20 de marzo de 1937, 10 de enero de 1938, 15 de abril de 1938, 23 de diciembre de 1938",Película documental,,"Documental, registros fílmicos, cartografía, testimonios orales",,,VHS,
MXIM-AV-1-8-26,"¡Muerte al invasor!, Reportaje especial sobre la agresión imperialista al pueblo de Cuba","""¡Muerte al invasor! Reportaje especial sobre la agresión imperialista al pueblo de Cuba"" es un programa documental creado por el ICAIC para su ""Noticiero ICAIC Latinoamericano"". Se registran los hechos acontecidos en la invasión de Bahía de Cochinos (también conocida como Batalla de Girón), operación militar en donde tropas de cubanos exiliados, entrenados, financiados y dirigidos por la CIA, intentaron invadir Cuba en abril de 1961. (FILMAFFINITY) http://www.filmaffinity.com/es/film863499.html",Fidel Castro,"Cuba: Santiago, San Antonio de los Baños, Playa Girón, Guatemala, Puerto Rico",15 y 17 de abril de 1961,,Noticiero Fílmico,"Cartografía, hemerografía, grabación de campo,  música de época"," Narración en off, conducción",,35 mm,
MXIM-AV-1-8-27,Now! (Ahora),"Una excelente secuencia de registros fílmicos y fotografías con música negra de los años 50's y 60's en la que, de forma un tanto irónica, se expone la realidad de la libertad y paz social en los Estados Unidos y la gran represión en contra de la gente de color con lo que la canción ""Now"" propone sobre la acción social norteamericana. Documental que recoge algunas imágenes en film y en fotografía sobre la acción del guerrillero Ernesto Guevara tanto en la revolución cubana, como su intervención en Angola, Bolivia, etc. También están registrados los registros video-orales de sus discursos, en la que deja muy claramente marcada su ideología socialista y revolucionaria, en contraposición del mundo capitalista al que combatió en defensa de sus principios. Un magnífico documento audiovisual que representa un testimonio directo de esta parte de la historia mundial contemporánea, preparada por el gobierno de Cuna de los años 60's.           ",,,,Película documental,,"Documental, registros fílmicos, publicidad, videoclips, registros fonográficos, música de época",,,VHS,
MXIM-AV-1-8-28,Letzte Worte  (Últimas palabras),"Corto fílmico del alemán Werner Herzog, reservado sólo para los incondicionales que deseen conocer su filmografía completa. El cineasta rueda un breve documental en la isla de Creta en blanco y negro, recogiendo las pretendidas últimas palabras de varios lugareños, que se repiten y nunca terminan, quedando reducidas a incoherencias, farfulladas no se sabe muy bien por qué, y a algunas alusiones a una isla antigua leprosería. Entre medias, una música algo irritante con una especie de balalaika. http://www.avalon.me/distribucion/catalogo/ultimaspalabras",,Isla de Creta: Spinalonga,,Película documental,,"Grabación de campo, testimonios videorales, grabación de campo, entrevistas","Narración en off, intertítulos",,,
MXIM-AV-1-8-29,"Volkstänze in Desa, Rumänien  (Bailes folklóricos en Desa, Rumania)","La película muestra los bailes Baluta y Craitele en el pueblo distrito Desa, Dolj. Los bailarines, alternativamente hombres y mujeres, entrelazan sus manos y forman una línea recta en el Baluta y un círculo en el Craitele. La danza sigue el ritmo rápido de la melodía que se toca por la banda de música local de los agricultores liderado por Stefan Curucu.",,Rumania,,Documental,Etnográfico,Grabación de campo,,,,
MXIM-AV-1-8-30,Reportaje especial sobre la II Declaración de La Habana aprobada por el pueblo en Asamblea General,"El corto producido por Santiago Álvarez, de 16 minutos de duración, cuatro años más tarde evoca la respuesta masiva a la expulsión de la República de Cuba de la Organización de los Estados Americanos. Como es sabido, la Declaración fue aprobada por aclamación en Asamblea General del pueblo reunido en la Plaza de la Revolución José Martí. Las imágenes del pueblo movilizado marchando hacia la Plaza de la Revolución anteceden el pronunciamiento del célebre discurso de Fidel Castro ante el millar de revolucionarios que repudiaban las resoluciones de la Octava Reunión de Consulta de Ministros de Relaciones Exteriores de la OEA celebrada a fines de enero en Punta del Este, Uruguay. Por unos breves segundos la banda de imagen que acude a la voz off individualiza a los actores de la Revolución. Un plano corto señala a un bebé en un carrito, un plano medio a un anciano y un primerísimo primer plano a un campesino y su curioso sombrero de paja que flamea a lado izquierdo un banderín con la silueta de una paloma de la paz.  Así, los tres personajes que se dirigen al mitin político confluyen en el plano general de la multitud ya instalada en la plaza. A medida que reaparece la banda sonora la cámara va haciendo zoom en las imágenes de la multitud para destacar a un grupo que traslada un ataúd con la pintada: “Cuba sí yankis no”. Pese a la tensión de los acontecimientos históricos el noticiero muestra a un Castro relajado y sonriente conversando con sus compañeros al pie del monumento de José Martí momentos antes de subir al palco oficial. Arriba del palco la sonrisa de éste, Dorticós, el Che Guevara, Raúl Castro y demás miembros del buró político se generaliza. A estas alturas la representación del pueblo en la Plaza de la Revolución colmada es una imagen compacta que se presenta indiferenciada. El documental asume este riesgo al priorizar un registro de planos generales y panorámicos. Luego, los planos medios y cortos se suceden para volver al tiempo anterior de la convocatoria, un tiempo inscripto en el pasado reciente. Esta vez las columnas de manifestantes muestran a campesinos y campesinas que marchan asistidos por compañeros de la ciudad que les acercan agua para beber. La cámara retoma el escenario de la concentración político en la Plaza de la Revolución. Las imágenes de la multitud desbordante  son la antesala del discurso de Fidel Castro con la mediación de la voz off que lo interrumpe.","Hitler, Fidel Castro, Kennedy, Lázaro Cárdenas, ","Cuba: playa Girón, Guantánamo. México: Paseo de la Reforma. Estados Unidos","1 de septiembre de 1939, 30 de octubre de 1962",,,"Registros fílmicos de archivo, fotografía,  aérea, hemerografía, testimonios orales, testimonios videorales, gráficos, grabación de campo, música de época","Narración en off, conducción",,35 mm,
MXIM-AV-1-8-31,Steam in Mexico (Vapor en México),"Secuencias de tomas realizadas sobre la ruta del sistema Ferrocarriles Nacionales en México que sobrevivían en 1963. Viñetas de ingenieros, bomberos, guardafreno, conductores, todo en la acción. La rara Mastadon (4-8-0) se cubre en profundidad. Tres o cuatro cabinas eléctricas y de fondo el paisaje con volcanes.","Benjamin Hill, ","Sonora, Baja California, Nogales, Mexicali, Ciudad de México, Guadalajara, San Lázaro, Cuautla, Los Reyes, Amecameca, Popocatepetl, Ozumba, Iztaccihuatl, San Rafael, Ex-Florida, Tula, Huhuetoca, Querétaro, Teocalco, Córdoba, Veracruz, Mérida, Campeche, Progreso,  Chihuahua, Río Fuerte, Topolobampo, California, ",,,,,,,,
