DÉCADA 1980-1989,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
MXIM-AV-1-10-54,"Andy Warhol: The texan, Portrait of Robert Rauschenberg (Andy Warhol: El tejano. Retrato de Robert Rauschenberg)",Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-55,Stefan Lochner: The Madonna of the rose bower (Stefan Lochner: La virgen del rosal) ,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-56,Wolf Vostell: Miss América (Wolf Vostell: Señorita América),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-57,Ernst Ludwig Kirchner: Five women in the street (Ernst Ludwig Kirchner: Cinco mujeres en la calle),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-58,Hugo Van Der Goes: Adoration of the Magi (Hugo van Der Goes: Adoración de los magos),Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-59,Yves Tanguy: A las 4 de la tarde en verano Esperanza,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-60,Sonia Delaunay: Electric Prisms,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-61,Karl Friedrich Schinkel: Medieval city on the banks of a river,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-62,Stanley Spencer: The Resurrection Cookham,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-63,Louis or Antoine Le Nain: Peasant Family,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-64, John Everett Millais: Ophelia,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-65,Andrea Mantegna: Crucifixion of Christ,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,,Copia,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-10-66,"Divine horsemen, The living Gods of Haiti (Jinetes Divinos: Los Dioses Vivientes de Haití)",Usos reservados para consulta in situ,,Inglés,,,DVD,,Copia,Blanco y negro,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-67,La matelassière (La colchonera),Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-68,La fileuse (La hilandera),Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-69,La trempeuse (La florista),Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-70,L'orangère,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-71,La brodeuse,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-72,La dame-lavabo,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-73,La relieuse,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-74,La  bistrote,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-75,La canneuse,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-76,La repasseuse,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-77,La rémouleuse,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-78,La maítre-verrier,Usos reservados para consulta in situ,,Francés,,,DVD,1 dvd,Copia,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-10-79,First Contact. New Guinea's highlanders encounter the outside world. ,Usos reservados para consulta in situ,,"Ingles,Temboka, Melanesio",,,DVD,2 dvd,Copia,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-10-80,Después de…,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-10-81,Después de... No se os puede dejar solos,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-10-82,Después de... Atado y bien atado,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-10-83,La isla de las flores,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,"Color, blanco y negro",,,,Reproductor DVD y monitor
MXIM-AV-1-10-84,Corresponsales de guerra I y II,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,"Color, blanco y negro",,,,Reproductor DVD  y monitor
MXIM-AV-1-10-8,Corresponsales de guerra III y IV,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,Copia,"Color, blanco y negro",,,,Reproductor DVD  y monitor
MXIM-AV-1-10-86,The Social Life of Small Urban Space (La socialización en los pequeños espacios urbanos),Usos reservados para consulta in situ,,Ingles,,,DVD,1 dvd,Copia,"Color, blanco y negro",,,,Reproductor DVD  y monitor
MXIM-AV-1-10-87,San Clemente,Usos reservados para consulta in situ,,,,,DVD,1 dvd,Copia,,,,,Reproductor DVD  y monitor
