 DÉCADA 2000-2009,,,,,,,,,,,,
,,,DESCRIPTORES,,,ESTRUCTURA INTERNA,,,,,,
MXIM-AV-1-12-10,Blanco encalada. La historia sumergida,"El mar de Caldera, en sus profundidades, se encuentra sepultado uno de los barcos mas importantes de Chile, El Blanco formó parte de las fuerzas congresistas que derrotaron al presidente José Manuel Balmaceda en la guerra civil de 1891.","José Manuel Balmaceda, Sofía Sayago, Alejandro Ross, Carlos Moraga, Víctor Bravo, A. Blaitt, Pedro Araya, Patricio Rojas, Kenneth Mackenzie, Rodrigo Katz, Jorge González, Eduardo Fuentes, Gonzalo Dominguez, Luis Castro, ","Chile: Caldera, Bahía Salado, Copiapo.","Febrero 2003, 1886-1891. 23 abrild de 1891. agosto 2002. 21 de mayo 2003.  Octubre 2002. Enero 2003.  1967. 1958. diciembre 2002.",Documental,Histórico,"Testimonios videorales, fotografías, documentos, grabación de campo, música de época, entrevistas, dibujos","Intertítulos, narración en off, animación",,,
MXIM-AV-1-12-11,Carlos,"Este video nos muestra parte de la vida cotidiana de Carlos, un joven universitario que sufre de una enfermedad crónica y que lucha dia con día para sobresalir y tener una vida que muchos llamarían ""normal"" Los testimonios que aportan sus familiares y amigos más cercanos son fundamentales para destacar el empeño de Carlos por ser parte de una sociedad sacudida de prejuicios y discriminación social.",,,,Documental,,"Testimonios videorales, entrevistas, grabación de campo","Intertítulos, narración en off, animación",,VHS,
MXIM-AV-1-12-12,Cerca del olvido,"En 1976 el antiguo Sahara Español obtiene su independencia de España y se erige la República Árabe Saharaui Democrática, inmediatamente es invadido por el Reino de Marruecos desatando un lamentable conflicto bélico. Miles de saharauis huyeron del horror de la guerra hacia el desierto, para evitar el éxodo el gobierno Marroquí construyó un gran muro de 2500 km de longitud que divide a la RASD de norte a sur. Las personas que lograron huir llegaron hasta un punto del mítico Sahara ubicado en Tindouf, Argelia, conocido como la Hamada que en español es la nada. Es allí en la nada, en la parte más dura, más difícil del gran desierto, donde se realizó la película de largometraje Cerca del olvido. La película aborda el tema de la difícil vida en el refugio desde el punto de vista de los niños. Niños que sueñan con la caída del Muro de la Humillación , que sueñan con regresar a su casa que no conocen, niños que sueñan…  http://www.saharalibre.es/modules.php?name=News&file=article&sid=1457","Jahuarí Ahmed Moulud, Bachir, Mariam, Madja, Chej, Sallamuh",Argelia: Tindouf,1975,Documental,,"Testimonios videorales, dibujos, grabación de campo, música de época","Animación, narración en off",,,
MXIM-AV-1-12-13,"10e Chambre, instants d´audiences","El documental es testigo de los procedimientos que suceden en un juzgadi de París. De 200 casos de la misma jueza, el director ecoge 12, con los que reflexiona sobre el comportamiento humano. ",Michele Bernard-Requin,Francia: París,2004,Documental,,"Testimonios videorales, grabación de campo","Animación, narración en off",,,Le Tournage Raconté par Depardon. Les Choix de montage avec 2 scenes inédites. La sortie du film debat public.
MXIM-AV-1-12-14,"Chiapas: la guerra y la paz, 1994-2004","Uno de los conflictos más agudos de nuestros tiempos, el conflicto chiapaneco, se hace presente en el programa chiapas, la guerra y la paz. Presentación equilibrada de lo que ha pasado, la situación actual en este estado de larga, dolorosa y accidentada historia, y la relación de chiapas con el México que todos queremos tener. La serie ""México Nuevo siglo"" ofrece a su público una visión objetiv de los orígenes y el desarrollo de los problemas que en la actualidad afectan al Estado de chiapas, y que repercuten en la vida nacional. ","Carlos Salinas de Gortari, Fray Bartolomé de las Casas, Samuel Ruiz, Juan Pedro Viqueira, Adolfo Vide Alva, subcomandante Marcos, Absalón Castellanos, Socorro Díaz, Carlos Monsivais, Camacho Solís, Luis Donaldo Colosio, Ernesto Zedillo, Rafael  Sebastián Guillén Vicente, Jacobo Zabludovsky, Vicente Fox, Luis H. Alvarez, Pablo Salazar, comandante Ramona","México: Chiapas: San Cristóbal de las Casas, Selva Lacandona, Ocosingo, Guadalupe Tepeyac, San Andrés Larráinzar, Rancho Nuevo. Ciudad de México: zócalo. Alemania: Berlín. Roma. Colombia: Medellín.","1989, 1545, 1712, 1960, 1950, 1962, 1968, 1970. 1976, 1982, 1972, 1983, 1988, 1989, 1992, 1993, 1, 6, 9, 12, 16 enero, 20 de febrero, 10 de junio, 8 agosto 1994. 1914. 9  de febrero de 1995,  1984, febrero 1996, 22 de diciembre 1997, 2000,  10 enero 2001, 11, 28 marzo 2001",Documental,,"Hemerografía, registros fílmicos, pinturas, fotografías, dibujos, testimonios videorales, noticieros fílmicos, gráficos, documentos, entrevistas","Narración en off, conducción",,VHS,
MXIM-AV-1-12-15,Chido mi banda. chido mi barrio,"“Chido mi banda, chido mi barrio” es un trabajo en video que resulta de la experimentación con una nueva propuesta metodológica surgida de antropología visual: la transferencia de medios. Buena parte de las imágenes que aparecen en esta obra audiovisual fueron registradas por sus mismos protagonistas, que son jóvenes que viven en las calles del barrio de La Soledad, en el Centro de la Ciudad de Mèxico. Al compartir la cámara de video con ellos, obtuvimos un registro bastante íntimo y legítimo de su realidad, casi como si miráramos su mundo desde dentro, a través de sus propios ojos. Pero sobre todo, al ceder los medios audiovisuales a esta población marginal, se vuelve más plausible su libre expresión, explorando sí nuevas formas de escuchar y reproducir su verdadera voz. Esto se traduce también en el establecimiento de nuevos espacios y canales para el diálogo y la comunicación social.",,,,Documental,,"Hemerografía, registros fílmicos, pinturas, fotografías, dibujos, testimonios videorales, noticieros fílmicos, documentos, entrevistas","Animación, narración en off, gráficos",,VHS,
MXIM-AV-1-12-16,Abriendo Brecha,"Documental que analiza la posición de la mujer y su trabajo en la zona de la sierra de Zongolica, Veracruz. Sobre todo cuando un grupo de mujeres cuestionan la exclusión política, económica, social y cultural, en la que han vivido durante años. ","Juana Valencia, Adriana de Jesús, Heriberta Valencia, Monserrat Díaz, Piedad Leandro, Margarita Guillaumín Romero, Silvia Antonio, Catalina Enríquez, Norma Arcadio, Carlina Paredes, Luciano Tlaxcala, Alberta de la Cruz, María López de la Rica, Cuauhtémoc Paz, Javier Pérez Pascuala, Ernestina Ascención","México: Veracruz: Zongolica, San Juan del Río, Xalapa, Soledad Atzompa, ","2008, 15 de octubre de 2008, 2004, 1999-2005, 25 febrero 2007",Documental,,"Hemerografía, registros fílmicos, pinturas, fotografías, dibujos, testimonios videorales, noticieros fílmicos, documentos, entrevistas","Animación, narración en off, gráficos",,,
MXIM-AV-1-12-17,Ciudad olimpia. El año en que fuimos modernos.,"La ciudad Olimpia es la síntesis de dos urbes existentes en la ciudad de México en 1968: la programada para la olimpiada y la construida por los estudiantes en las calles. Se proyectó un simulacro de ciudad para cubrir la existente, un gran escenario que intentó ocultar las diferencias sociales con el fin de satisfacer las demandas internacionales. Fue el Batallón Olimpia quien resolvió las contradicciones, acalló las demandas y exigencias de un grupo social que ponía en evidencia las estructuras que sostenían a la sede olímpica: el autoritarismo estatal y la ciudad de las instituciones sociales.","Gustavo Díaz Ordaz, Adolfo López Mateos, Pedro Ramírez Vázquez, Luis Echeverría",México: Ciudad de México,1968,Documental,,"Registros fílmicos, registros fonográficos, hemerografía, fotografías, noticieros fílmicos, testimonios orales, gráficos, cartografía, programas de TV, ficción","Musicalización, animación, narración en off, conducción",,VHS,
MXIM-AV-1-12-18,"Congos, ritmo e devocao","Ao som de tambores, pandeiros e ,aracás homens dancam e representam de forma dramática louvores a Nossa Senhora do Rosário e a Sao Benedito, santos de devocao negra.","Flávio Mendes da Silva, Fabrício Mendes da Silva, Maria Lucia de Sousa, Ednaldo Vital de Sousa, Dom Juarez Soares da Silva, María das Gracaas Costa, Pe. Joao de Deus Leal, ",Brasil: Pianí: Oeiras: Bairro do Rosário,,Documental,,"Grabación de campo, música de época,  entrevistas, testimonios videorales",,,,
MXIM-AV-1-12-19,Conservación álbumes fotográficos,Documental sobre la forma y usos de los diferentes álbumes fotográficos. Se habla sobre las recomendaciones para la mejora en el uso y metodos de conservación de los álbumes fotográficos. Explica las diferentes caracterísitcas de los álbumes y la forma en que podrías jerarquizarse por su forma o por su contenido.,"Angel Fuentes. Director Centro Internacional de la Fotografía, Madrid. Celia Martínez, Conservadora de Fotografía, Museo de Ciencias Naturales de Madrid, ",,Chile,Documental,,"Testimonios videorales, fotografías, documentos, hemerografía, cartografía, registros videográficos, testimonios orales, grabación de campo, datos estadísticos, registros fonográfico",,,,
MXIM-AV-1-12-20,Corazón de fábrica,"Uno de los documentales más claros de los últimos años, “Corazón de Fábrica” retrata con precisión no sólo la lucha de un grupo de obreros y obreras ceramistas, sino que demuestra la tenacidad de toda una comunidad que hizo frente a la corrupción, la desigualdad, las injusticias e incluso a la muerte. En: http://www.fuseres.org/background/cine/91-corazon-de-fabrica.html","Luis Zanón (empresario), Carlos Menem (presidente de Argentina, 1989-1999), Jorge Sobisch (gobernador de la Provincia de Neuquén),  Pérez Esquivel (premio Nobel de la Paz), Carlos (obrero), Paco (coordinador-producción),  Alejandro (hornero), Alejandro (dirigente ceramista), Raúl (dirigente ceramista, militante del PTS, Partido trotskista), Carlos (coordinador - prensa y difusión), Jorge (ex supervisor), Fernando (abogado de obreros de Zanón), Mabel (esposa de ceramista), Julieta (esposa de ceramista), Domitila (madre de Alejandro dirigente), Mariano Pedreiro (abogado obreros de Zanón), Inés (Madre de Plaza de Mayo, Neuquén), Blanca (activista, ingresa con la gestión obrera), Gastón (sector porcelanato), Oscar Montes (ex-dirigente ceramista, burócrata),  Chiquito Reyes (mecánico de hornos, activista), Néstor San Martín (dirigente), Jorge (protagonista del cordobazo, sector porcelanato). Juan Gelman (poeta exiliado), Ramón (coordinador, 3er fuergo), Ricky (diseñador, 3er fuego), José (atomizadores), Alberto Guerra ""El viejo"" (hornero), Miguel (selección), Gonzalito (línea de Esmalte), Reynaldo (auditor), ""Loco"" Ramírez (sector de matricería), Delia (coordinadora, control de calidad), Vanesa (Laboratorio), Gabriela (trabajadora social), Aida (coordinadora, cocina), ""El Ternero"" (tornero), hugo (sector ventas), Silvina (PTS), Alejandro (ATEN), Jorge (Partido Obrero), Norberto (Patrido Obrero),  Vasco (MST), Chiche (ATEN), Reynaldo y Alfonso (Auditoría obrera), Emiliano (mantenimiento general), Vergara (sector de ventas), Arevalo (sector selección), deregados de SUBTE, Esposa de Mariano (abogado dde obreros de Zanón), CArlos Fuentealba (maestro de Neuquén), Kirchner (presidente de Argentina), ""El campeonazo"" (guardia), Fabio (hornero), Silvia (ATEN), Pepe Alveal (trabajador de Zanón, juventud de desocupados), ","Argentina: provincia de Neuquén, planta Zanón, Ital Park,  ciudad de Cutralco,","1876-1913. 1995-2004.  1994. 1990. 2007. 1972.  12 de septiembre de 1980 (inauguración de fábrica Zanón). 24 de marzo 1976 (golpe militar en Argentina). 1998 (obreros toman la fábrica Zanón). 2001 (obreros ponen a trabajar la fábrica). Mayo 2000 (primera huelga de la comisión interna). Julio 2000 (huerlga por la seguridad). 26 de junio de 2002 (desalojo de fábrica, asesinato de Darío Santillán y Maximiliano Kossteki, militantes piqueteros). 2001 (Néstor San Martín es comprado por la patronal para frenar la lucha). Octubre 2002 (la burocracia ataca la fábrica).  1969 (Cordobazo, levantamiento obrero). Abril 2003 (intento de desalojo de la fábrica). ",Documental,,"Testimonios videorales, fotografías, documentos, hemerografía, cartografía, registros videográficos, testimonios orales, grabación de campo, datos estadísticos, registros fonográficos, entrevistas","Animación, incidentales, narración en off, intertítulos",,Soporte de rodaje: MiniDV progresivo 16:9,
MXIM-AV-1-12-21,Creación audiovisual. Documental comunitario,"Creación audiovisual. Documental Comunitario, es un mosaico de miradas de jóvenes creadores de la Ciudad de México, quienes mediante un lenguaje audiovisual expresan sus identidades e interpretaciones de sus entornos comunitarios, mostrando la riqueza pluricultural de nuestra gran capital. El material que tiene en sus manos, se enmarca en el derecho a la identidad y a la creatividad, sustentado en el derecho que tiene toda persona o comunidad a que se respete su identidad cultural y a ejercer la libertad que le permita, a nivel individual y colectivo, dar mayor sentido a su vida. Son 11 historias, 11 rostros, 11 comunidades... Siete documentales fueron seleccionados a través de una convocatoria, y son producto de trabajo coordinado con realizadores comunitarios; los cuatro restantes, son materiales elaborados por las sedes de producción audiovisual, los cuales dan continuidad al trabajo iniciado con el proyecto De la tinta a la imagen. Memorias y tradiciones de mi ciudad. Creación audiovisual. Docuemntal comunitario. Volumen 2. Identidades y entornos comunitarios, es un material de distribución gratuita, dirigido a la gente que vive en las colonias, barrios, unidades habitacionales, y a espacios como cine clubes, instituciones culturales y educativas, interesadas en difundir la diversidad de visiones que convergen en los entornos comunitarios de la Ciudad de México. ",,,,Documental,,,,,,
MXIM-AV-1-12-22,¡Viva México!,"Los Ángeles, Estados-Unidos. Emigrantes mexicanos son perseguidos por la policía, mientras luchan para sobrevivir sin renunciar a su cultura. Del otro lado de la frontera, en las montañas del sureste mexicano, amanece con neblina. Es 1ero de enero del 2006, miles de indígenas zapatistasdespiden a su vocero, el Subcomandante Marcos. Su misión: recorrer durante 6 meses todo el país para escuchar las palabras de reisstencia de mexicanos y mexicanas que luchan por un méxico mejor. Así arranca el viaje que planea llegar hasta la frontera con Estados Unidos y que apuesta a ""empezar a construir el espejo que somos abajo"". La apuesta no va sin riesgos y lo que empezó como murmullo aislado se hace grande en el grito de cientos de miles. ¡Viva México! ¿Cuál será la respuesta del poder?","Manuel Murillo, Subcomandante Marcos, Jorge Ortiz, Zeferino Torreblanca, Vicente Fox, Ignacio Del Valle, Javier Alatorre,  Enrique Peña Nieto, América Del Valle, ","Estados Unidos: Los Ángeles, San Diego. México: Tijuana, Puebla, Chiapas: Selva Lacandona, Quintana Roo: Cancún, Isla Mujeres. Yucatán: Chichen Itzá.  Oaxaca: Villa de San Blas Atempa. Nayarit: San Blas. Colima: Rancho El Jabalí, La Yerbabuena. Michoacán: Ostula. Guerrero: Municipio de Quechultenango: localidad Ahuacatepec. Ayotzinapa. Estados de México: Texcoco,  San Salvador Atenco. Ciudad de México: Paseo de la Reforma, Zócalo, La Alameda, La Merced, Tlatelolco, Plaza de las Tres Culturas. ","Enero-mayo 2006, 1994, julio 2002.",Documental,,"Testimonios videorales, registros fonográficos, cartografía, hemerografía, noticieros fílmicos, fotografías, registros fílmicos, grabación de campo, entrevistas","Musicalización, narración en off, animación, gráficos",,,
MXIM-AV-1-12-23,De dolor y esperanza. El asilo un pasado presente,"A 30 años de consumados los golpes de Estado y establecidas las dictaduras militares del Cono Sur de América, el testimonio de quienes fueron protagonistas de la práctica del asilo diplomático, así como la recuperación de material fílmico y fotográfico de la época, contribuyen a construir la memoria histórica. De dolor y esperanza ayuda a historiar tanto las rupturas del orden institucional en Argentina, Chile y Uruguay como la política mexicana del asilo. Recupera los avatares de la represión que puso en peligro la libertad y la vida de miles de opositores a los regímenes militares y la encrucijada que debieron sortear los miembros del servicio exterior mexicano asignados a esos países.","GONZALO MARTÍNEZ CORBALÁ, GONZALO VARELA, FERNANDO SERRANO MIGALLÓN, ROQUE GONZÁLEZ SALAZAR, RUBÉN MONTEDÓNICO, JUAN MANUEL ABAL MEDINA, LUIS MAIRA, DELIA C. VDA. DE PUIGGROS, HÉCTOR P. CÁMPORA, ISABEL ALLENDE, KAREN FAIVOVICH (+), GUSTAVO MAZA PADILLA, JUAN MONTANO (+), GONZALO VACA NARVAJA, SAÚL IBARGOYEN, GUILLERMO GRECO, RICARDO CHELÉN, LUCY BALTIANSKY, ANTONIO ELIAS, ANDRÉS KEIMAN, EMILIA ANYUL, JORGE LANDINELLI, ANHELO HERNÁNDEZ, ROGELIO DE LA FUENTE, NIURKA SALA","México, BUENOS AIRES, Argentina, SANTIAGO, Chile, MONTEVIDEO, Uruguay",1973-1976,Documental,,"Fotografías, pinturas, grabados, hemerografía, cartografía, testimonios orales, testimonios videorales, noticieros fílmicos, música de época, registros fonográficos, entrevistas, grabación de campo","Puesta en escena, animación, incidentales, narración en off",,VHS,
MXIM-AV-1-12-24,De Duchamp au Pop Art ,"Tres capítulos documentales sobre la historia y el desarrollo del arte contemporáneo internacional, mostrando las tendencias y corrientes que marcaron pauta en el desarrollo del arte durante la segunda mitad del siglo XX. En este sentido, el Cubismo de Marcel Duchamp, quien como proveniente de una famila vanguardista parisina logró desarrollar el estilo de ""el espiral"", marcando una faceta paradójica, y por ende, bastante emblemática del cubismo. Yves Klein y la introducción de la antropometría de la ""Época azul"" en la que el cuerpo humano combinado con el azul ultramarino se reflejaba como la figura humana en el marco de su esencial y abstracta representación del cosmos, dando origen a una sonada tendencia cuyos performances asombraron al mundo del arte a fines de los años 50's. Por último, tenemos la vivaz propuesta de un joven Andy Warhol con una imagen multiplicada por diez de la actriz Elizabeth Taylor en ""Ten Lizes"", rompiendo con todo parámetro establecido sobre la explotación estética del color y la luz, marcando en total tres grandes hitos en la historia del arte contemporáneo.",,,17 de frebrero de 1913,Documental,,"Documentales, pinturas, grabados, hemerografía, testimonios orales, testimonios videorales, programas de TV, publicidad, videoclips, registros filmicos","Narración en off, conducción ",,VHS,
MXIM-AV-1-12-25,"De la tinta a la imagen, Memorias y tradiciones de mi ciudad",Documentales de memoria histórica comunitaria producidos con apoyo de la Secretaría de Cultura del Gobierno del Distrito Federal,,,,Documental,,,,,,
MXIM-AV-1-12-26,De la tele a la boca… una reflexión sobre desarrollo infantil y salud,"Niños, padres y maestras de un preescolar en Ciudad Nezahualcoyotl, Estado de México, investigan, reflexionan y construyen alternativas para transformar prácticas y hábitos cotidianos que están mermando de forma acelerada la calidad de vida de la  población infantil. Diversos padecimientos se han presentado e incrementado últimamente entre este sector de la población y los motivos están relacionados con factores como la familia y la educación, pero también con la sobreexposición a la televisión comercial que impera en el país. De la tele a la boca... parte del trabajo realizado con esta comunidad entre 2003 y 2007, en el proceso de investigación sobre las relaciones que establecemos con la televisión desde edades tempranas. El documental recupera esta reflexión sobre desarrollo infantil y salud, el más desatendido de los seis campos del programa de nivel preescolar en la mayoría de planteles, para acercar a padres y maestros a una problemática que les atañe de forma directa y cotidiana.","Martha Piña, Martha Yolanda García, Coca Cola, Patita de perro, Chavo del ocho, Rosalinda Serrano, Dula Portilla, ","Ciudad Nezahualcóyotl, Colonia Las Águilas, Jardín de niños Gabriela Mistral, Estado de México",2003-2007,Documental,,"Documentales, publicidad, videoclips, entrevitas, grabación de campo",Interactividad,,,
MXIM-AV-1-12-27,De nadie,Un documental sobre la pesadilla que es para los migrantes centroamericanos atravesar México,"María de Jesús Flores (inmigrante), José Medina (inmigrante), Jaime Valdéz (Transportación Ferroviaria), Ernesto Zedillo, L. Hernández (Casa del Migrante de Orizaba Ver.), Manuel Antonio (inmigrante), Ricardo del Valle (Migración Veracruz), Fabiene Vennete (Sin Fronteras), M. Ángel Castillo (Catedrático COLMEX),  José María Salvador Cruz (inmigrante), Ernesto Rodriguez (Centro de Estudios Migratorios, INM), Santos Funes (inmigrante),  Marco Aguilar (Subprocurador Regional de Veracruz), Elena Ferris de Sandoval (agente del Ministerio Público Federal), Antonio Ponce (esposo de inmigrante). ","México: Veracruz: Orizaba, Acayucan, Coatzacoalcos, Córdoba. Baja California: Tijuana. Oaxaca: Ixtepec.Tamaulipas: Tampico.                                            Centroamérica: Honduras: Valle de Siria, Comayagua, Tegucigalpa. El Salvador: Puloc. Guatemala. Estados Unidos: Colorado: Denver. California: Los Ángeles.","1998 (huracán Mitch),  1980, 1990 ",Documental,,"Testimonios videorales, grabación de campo, fotografías, entrevistas","Musicalización, intertítulos, animación",,,
