DÉCADA 1990-1999,,,,,,,,,,,,,,
,,,,LENGUA,,,CARACTERÍSTICAS FÍSICAS Y REQUISITOS TÉCNICOS,,,,,,,
MXIM-AV-1-11-135,"Semana Santa in Patamban. Purhépecha, Michoacán, Mexiko",Usos reservados para consulta in situ,,"Español, inglés",,Purépecha,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-136,Shan Dany,Usos reservados para consulta in situ,,Zapoteco,,Español,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-137,"Tato Bores, actor comico de la nación",Usos reservados para consulta in situ,,Español,,,DVD,1 vhs / 1 dvd,copia,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-138,The first 100 years,Usos reservados para consulta in situ,,Inglés,,Español,VHS,1 dvd ,copia,"Color, Blanco y negro",Monoaural,NTSC,,
MXIM-AV-1-11-139,The Forbidden Quest,Usos reservados para consulta in situ,,Holandés,Inglés,,,1 vhs / 1 dvd ,copias,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-11-140,The Great Empire Rome,Usos reservados para consulta in situ,,Inglés,,Español,,1 dvd ,copia,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-141,The Lumière Brothers´First Films (Los primeros filmes de los hermanos lumiere),Usos reservados para consulta in situ,,"Muda, inglés, francés",,,DVD,1 dvd ,copia,Blanco y negro,,,,Reproductor DVD y monitor
MXIM-AV-1-11-142,The maya,Usos reservados para consulta in situ,,Inglés,,,VHS,1 vhs / 1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-143,The Nineties. All your kisses are mine ,Usos reservados para consulta in situ,,Inglés,,,,2 vhs / 1 dvd ,copia,,,NTSC,,
MXIM-AV-1-11-144,The other shore,Usos reservados para consulta in situ,,Húngaro,,Francés,VHS,2 vhs ,copias,Blanco y negro,Monoaural,NTSC,,
MXIM-AV-1-11-145,The social life of small urban spaces,Usos reservados para consulta in situ,,Inglés,,,,,,Color,,,,
MXIM-AV-1-11-146,The Time Machine,Usos reservados para consulta in situ,,"Francés, húngaro",,Inglés,"VHS, DVD",2 vhs / 1 dvd,copias,"Color, blanco y negro",,,,"Reproductor VHS, DVD y monitor"
MXIM-AV-1-11-147,Tiempo de zafra,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-148,Todos somos Marcos,Usos reservados para consulta in situ,,Español,,,VHS,1  vhs / 1 dvd,vhs copia de producción / dvd copia ,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-149,Tradición o modernidad: reto de una generación,Usos reservados para consulta in situ,,,,,DVD,2 dvd,copia de producción,"Color, Blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-150,Un beso a esta tierra,Usos reservados para consulta in situ,,"Español, idish, ruso",,Español,VHS,1  vhs / 1 dvd,copias,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-151,Un pueblo en la memoria,Usos reservados para consulta in situ,,Español,,,VHS,2 dvd,copia de producción / copia,"Color, Blanco y negro",,NTSC,Región 4,Reproductor VHS y monitor
MXIM-AV-1-11-152,"Un puente a la esperanza, entrevista con Marcos",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia de producción ,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-153,"UNAM, Memoria del caos. La huelga X",Usos reservados para consulta in situ,,Español,,,VHS,2 vhs /  1 dvd ,vhs copia de producción / dvd copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-154,"Unión Provisa, una aventura para contarse",Usos reservados para consulta in situ,,Español,,,VHS,1  vhs / 1 dvd,copia,Color,,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-155,"Viaje al centro de la selva, memorial zapatista (ene-ago 1944)",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia de producción,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-156,"Los ferro, The railway men",Usos reservados para consulta in situ,,Español,,Inglés,VHS,1 vhs  / 2 dvd,vhs copia de producción / dvd copia,"Color, blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-157,Acariño galaico de Barro,Usos reservados para consulta in situ,,Español,,Español,DVD,1 dvd,copia,"Blanco y negro, negativo",,,,Reproductor DVD y monitor
MXIM-AV-1-11-158,Senhora aparecida,Usos reservados para consulta in situ,,Portugués,,Inglés,DVD,,,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-159,Ignacio Retes. Caminante del teatro,Usos reservados para consulta in situ,,Español,,,DVD,,,Color,,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-11-160,"Un archivo fotográfico, discurso de la imagen",Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia de producción,"Color, Blanco y negro",,,,Reproductor VHS y monitor
MXIM-AV-1-11-161, El verdadero Porfirio Díaz,Usos reservados para consulta in situ,,"Español, inglés",,,DVD,1 dvd ,copia de producción,"Color, Blanco y negro",Digital surround,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-11-162,Villista de hueso colorado,Usos reservados para consulta in situ,,"Español, inglés",,"Inglés, español, portugués",DVD,1 dvd ,copia de producción,"Color, Blanco y negro",Dolby digital,NTSC,región 4,Reproductor DVD y monitor
MXIM-AV-1-11-163,Seki Sano. Vida y teatro,Usos reservados para consulta in situ,,Español,,,DVD,,,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-11-164,Danzón dedicado al teatro mexicano,Usos reservados para consulta in situ,,(musicalizada),,,DVD,,,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor de TV
MXIM-AV-1-11-165,Guerras e imágenes,Usos reservados para consulta in situ,,"Español, inglés",,,DVD,1 dvd,copia de producción,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-166,Gringo: Estados Unidos retrata a su vecino mientras lo invade,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,Blanco y negro,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-167,Greaser: La Revolución Mexicana y la industria de las imágenes,Usos reservados para consulta in situ,,Español,,,DVD,1 dvd,copia de producción,Blanco y negro,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-168,Amigo (los vecinos se convierten en aliados),Usos reservados para consulta in situ,,"Español, inglés",,Español,DVD,1 dvd,copia de producción,Blanco y negro,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-169,Ilegal (la frontera como juego de guerra),Usos reservados para consulta in situ,,"Español, inglés",,Español,DVD,1 dvd,copia de producción,"Color, Blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-170,a.k.a. Don Bonus,Usos reservados para consulta in situ,,"Inglés, Khmer (idioma oficial de Cambodia)",,inglés,DVD,1 dvd,copia de producción,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-171,Kelly loves Tony,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia de producción,Color,,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-172,Mer dare ó Nas vek,Usos reservados para consulta in situ,,Títulos en armenio,,Portugués,DVD,,,Blanco y negro,,,,Reproductor DVD  y monitor
MXIM-AV-1-11-173,Konec,Usos reservados para consulta in situ,,Títulos en armenio,,Portugués,DVD,,,Blanco y negro,,,,Reproductor DVD  y monitor
MXIM-AV-1-11-174,Caravaggio: El tocador del Laud,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-175,Lucas Cranach: Venus and Cupid,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-176,Paul Gauguin: Sweet Dreams,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-177,Bartolome Murillo: The rest on the flight into egypt,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-178,Rembrandt Harmensz Van Rijn: The Return of the Prodigal Son,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-179,Paula Rego: Manifest für eine verlorene sache,Usos reservados para consulta in situ,,Alemán,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-180,Eugene Jansson: Sunrise over the rooftops,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-181,Anders Zorn: Our daily bread,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-182,Pieter Bruegel: The Triumph of death,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-183,Yves Klein: Blue Harmony,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-184,Mikhail Vrubel: Six-Winged Seraph,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-185,Marc Chagal: Promenade,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-186,Liubor Popova: Portrait of philosopher,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-187,Mikhail Nesterov: The taking of the veil,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-188,Diego Velázquez: Las Meninas,Usos reservados para consulta in situ,,Inglés,,Español,DVD / VHS,1 vhs / 1 dvd,copias,Color,,NTSC,,Reproductor DVD/VHS  y monitor
MXIM-AV-1-11-189,Parque Patricios,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-190,La Boca,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-191,El abasto,Usos reservados para consulta in situ,,Español,,,VHS,1 vhs,copia,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-192,La gaveuse,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-193,La romancière,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-194,La roulotteuse,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-195,La fleuriste,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-196,La cordonniére,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-197,La marchande de journaux,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-198,L´opticienne,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-199,La souffleuse de verre,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-200,L´illusionniste,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-201,L´accordeuse de piano,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-202,La corsetière,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-203,L´archetière,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-204,Parier et travailler,Usos reservados para consulta in situ,,Francés,,,DVD ,1 dvd ,copia,Color,,NTSC,,Reproductor DVD  y monitor
MXIM-AV-1-11-205,"Tato Bores, actor comico de la nación",Usos reservados para consulta in situ,,Español,,,DVD,1  vhs / 1 dvd,copia,"Color, blanco y negro",,NTSC,,Reproductor DVD y monitor
MXIM-AV-1-11-206," Tikal Guatemala, C.",Usos reservados para consulta in situ,,,,,VHS,1 vhs,copia de producción,Color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-207,"Ernesto Che Guevara, hombre, compañero, amigo…",Usos reservados para consulta in situ,,,,,VHS,1 vhs,copia de producción,"Color, Blanco y negro",,NTSC,,Reproductor VHS y monitor
MXIM-AV-1-11-208,Metal y melancolía,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-11-209,Un amor natural,Usos reservados para consulta in situ,,Portugués,,,DVD,1 dvd,copia,color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-210,The fall of the Romanov dynasty,Usos reservados para consulta in situ,,Inglés,,,DVD,1 dvd,copia,"Color, sepia",,,,Reproductor DVD y monitor
MXIM-AV-1-11-211,Asaltar los cielos,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-11-212,El poder de las imágenes: Leni Riefenstahl,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-11-213,El poder de las imágenes: Leni Riefenstahl,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-11-214,Del sueño a la poesía,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-215,Una gota en el mar,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor
MXIM-AV-1-11-216,Sistema Radio Venceremos,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,color,,,,Reproductor DVD y monitor
MXIM-AV-1-11-217,Chocalheiro Bemposta,Usos reservados para consulta in situ,,,,,DVD,1 dvd,copia,,,,,Reproductor DVD y monitor
