 DÉCADA 2000-2009,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
MXIM-AV-1-12-11,Carlos,FONDS/Consejo Nacional para la Cultura y las Artes (CONACULTA-FONCA)/Ministerio de Relaciones Exteriores de los Países Bajos/Rain Artists´Initiatives Network (RAIN)/Rijksakademie van Beeldende Kunsten - Amsterdam,,"Linda Bannik, Diego Gutiérrez, Kees Hin","CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En  atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html) FONCA: Fomentar y estimular la creación artística en todas sus manifestaciones son los objetivos principales del Fondo Nacional para la Cultura y las Artes, cuya aparición obedece a una de las respuestas que ofreció el Gobierno Federal a la comunidad artística para construir instancias de apoyo basadas en la colaboración, la claridad de objetivos, el valor de la cultura para la sociedad y el aprecio de la diversidad de propuestas y quehaceres artísticos.Invierte en los proyectos culturales profesionales que surgen en la comunidad artística; ofrece fondos para que los creadores puedan desarrollar su trabajo sin restricciones, afirmando el ejercicio de las libertades de expresión y creación. Por ello, convoca anualmente a los artistas y creadores para que participen en sus 17 programas, mediante la presentación de propuestas que son evaluadas por Comisiones de Dictaminación  y Selección formadas por artistas y creadores de reconocido prestigio.(Extraído de: http://fonca.conaculta.gob.mx/institucional.html)",,,
MXIM-AV-1-12-12,Cerca del olvido,VIA KINEMA,,"Luis Mariano Bouchot, Ma. Guadalupe Mendoza, Raúl Gallardo",,,,
MXIM-AV-1-12-13,"10e Chambre, instants d´audiences","Coproducción: Palmeraie et dèsert, France 2 cinema",,Claudine Nougaret,,,,
MXIM-AV-1-12-14,"Chiapas: la guerra y la paz, 1994-2004",Clío,,"Diana Roldán, Stasia de la Garza",,,Compra,17-jun-03
MXIM-AV-1-12-15,Chido mi banda. chido mi barrio,Homovidens.org,,"Nohemi González, Antonio Zirión, Diego Rivera y Rogelio Sikander", ,,Donación,2002
MXIM-AV-1-12-16,Abriendo Brecha,"CESEM (Centro Heriberto Jara A. C.), Sotavento, Creación interdisciplinaria A.C.",,,,,,
MXIM-AV-1-12-17,Ciudad olimpia. El año en que fuimos modernos.,"Instituto Mora, Laboratorio Audiovisual de Investigación Social (LAIS), CONACYT",,,,,PRODUCCIÓN PROPIA,2007
MXIM-AV-1-12-18,"Congos, ritmo e devocao",EDUCAR,,,,,,
MXIM-AV-1-12-19,Conservación álbumes fotográficos,Patrimonio Fotografico Corporacion Cultural. Chile/Universidad Diego Portales,,,,,,
MXIM-AV-1-12-20,Corazón de fábrica,CLACSO,,"Virna Molina, Ernesto Ardito",,,,
MXIM-AV-1-12-21,Creación audiovisual. Documental comunitario,"Secretaría de Cultura del Gobierno del Distrito Federal, Voces contra el silencio. Video Independiente A. C.",,,,,,
MXIM-AV-1-12-22,¡Viva México!,Terra Nostra Films,,"Producción ejecutiva: Daniela Contreras Calcáneo, Nicolás Défossé",,,,
MXIM-AV-1-12-23,De dolor y esperanza. El asilo un pasado presente,Instituto Mora,,"POSTPRODUCCIÓN: CARLOS HERNÁNDEZ, PARIS GARCÍA, FELIPE MORALES",,,PRODUCCIÓN PROPIA,2002
MXIM-AV-1-12-24,De Duchamp au Pop Art,La Sept ARTE/ Centre Georges Pompidou/Palette Production,"Arte Video, Editions Montparnasse", ,,,Donación,2004
MXIM-AV-1-12-25,"De la tinta a la imagen, Memorias y tradiciones de mi ciudad","Secretaría de Cultura de la Ciudad de México, Voces contra el silencio",,,,,,
MXIM-AV-1-12-26,De la tele a la boca… una reflexión sobre desarrollo infantil y salud,Instituto Mora,,,"El Instituto Mora es una institución pública, centro CONACyT, dedicada a la investigación y docencia en historia y ciencias sociales. Se fundó en 1981, cuenta con una planta permanente de investigadores en diversas disciplinas y líneas de investigación e imparte diversos posgrados. En 1993, en el área de Historia Oral, comienza la producción audiovisual, con el documental Un pueblo en la memoria. Desde entonces el Instituto ha seguido produciendo documental a partir de los resultados de diversas investigaciones. En el 2000 se conforma el Laboratorio Audiovisual de Investigación Social, donde se ha seguido realizando documental, en el marco de su objetivo central: desarrollar investigación social con y sobre imágenes de los siglos XIX a XXI. A la fecha el Instituto ha producido: Un pueblo en la memoria, Tradición o modernidad: reto de una generación, El buen restaurador ama lo antiguo, Cuando la rumba nos conoció, Mi Multi es mi Multi, Km. C-62 Un nómada del riel, El arte de hacer ciudad, De dolor y esperanza, Revelando el rollo. Los usos de lo visual en la investigación social, El triángulo de Tacubaya, Ciudad olimpia. El año en que fuimos modernos y De la tele a la boca. Una reflexión sobre desarrollo infantil y televisión. (LAIS)","Carlos Hernández, Felipe Morales y Lourdes Roca son integrantes del Laboratorio Audiovisual de Investigación Social del Instituto Mora y han participado en la mayoría de documentales producidos por este Instituto. Sus formaciones en comunicación, historia y antropología han permitido construir un proceso de trabajo interdisciplinario que busca transitar de la adaptación de resultados de investigación a documentales hacia la realización de un tipo de documental de investigación que incorpora el análisis de las imágenes y la incorporación de herramientas audiovisuales desde la etapa de investigación. (LAIS).                                                                                                                                                                                                                      Ver página del LAIS:  http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html",Producción propia,2008
MXIM-AV-1-12-27,"De nadie (Retrato de los ""invisibles"")",Producciones TRANVIA,,Tin Dirdamal. Productor ejecutivo: Mons. Raúl Vera,,,,
MXIM-AV-1-12-28,O arquitecto e a cidade velha,"Laranja azul, Jour j. Productions",,"Catarina Mourao, Sylvie Randonneix",,,Donación,2012
MXIM-AV-1-12-29,Deux films d´Agnes Varda,"Services Culture Editions Ressources pour l'education Nationale CNDP-CRDP, Ciné Tamaris",,,,,,
MXIM-AV-1-12-30,The filth and the fury. A sex pistols film,"Jersey Shore, Nitrate Film",,"Anita Camarata, Amanda Temple. Producción ejecutiva: Eric Gardner, Jonathan Weisgal",,,,
MXIM-AV-1-12-31,"Diosa en el silencio azul. Isla Guadalupe, santuario del tiburon blanco.",Recuerdos del Mar,,"Rocío Maceda, Luke Inman, Mario Jaime, Romeo Saldívar",,,,
MXIM-AV-1-12-32,Obras documentais de Alain Resnais,,Costa do Castelo,,,,,
MXIM-AV-1-12-33,Documentales de Teatro mexicano,"CONACULTA, Programa Nacional de Educación Artística, CITRU",,,,,,
MXIM-AV-1-12-34,El alma de los verdugos,Televisión Española,,Fabio Díaz,,,,
MXIM-AV-1-12-35,El arenal,Ojos de agua Films,,Productor: Sebastián Sepúlveda. Productor ejecutivo: Ana Pizarro. Productor asociado: Rosa Acevedo.,,"Sebastiàn Sepúlveda.  Nació en Concepción en 1972. Tras vivir hasta los 18 años entre Europa y Sudamérica por el exilio de su familia, Sebastián Sepúlveda regresó a Chile en 1990 y comenzó a estudiar Historia; a fines de esa década ya había filmado sus primeros cortometrajes, y realizó estudios en dos de las más prestigiosas escuelas audiovisuales del mundo: montaje en San Antonio de los Baños y guión en La Fémis de París. Posteriormente ha trabajado como montajista en distintos largometrajes, como “La León” de Santiago Otheguy (Mejor Director en la Competencia Latinoamericana de SANFIC 3). Actualmente, trabaja en Chile como Director de Contenidos de la empresa Fábula Producciones. El largometraje documental “El Arenal” es su ópera prima. ",,
MXIM-AV-1-12-36,El arte de hacer ciudad,"Instituto Mora, CONACYT",,,,http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html,PRODUCCIÓN PROPIA,2000
MXIM-AV-1-12-37,El cielo gira,"José María Lara PC, Alokatu SL",,José María Lara,,"Mercedes Álvarez dirigió en 1997 el cortometraje ""El viento africano"". A partir de 1998, centrándose en el lenguaje documental, participó en el Master de Documental de Creación en la Universidad Pompeu Fabra. Montadora del largometraje ""En Construcción"", película dirigida por José Luis Guerín que en 2001 obtuvo el Goya al mejor docuemntal y el Premio Internacional del Jurado en el FEstival de San Sebastián, entre otros premios. Como en el caso de ""En Construcción"", el proyecto ""el cielo gira"" surgió también en el ámbito del citado Master de la UPF, con el apoyo de su director Jordi Balló, la colaboración de algunos de sus alumnos y la participación del ICAA, Canal +, Gobierno de Navarra, Gobierno Vasco y la Junta de Castilla y León.",Donación,
MXIM-AV-1-12-38,El ciruelo. La desaparición de un pueblo bajo las aguas,"Foprocine, Prysma Films, Bambú Audiovisual",,"Christiane Burkhard, C. Rossini, E. Altuna",,,,
MXIM-AV-1-12-39,El desafío indígena: la marcha zapatista,"La Maroma, La Jornada, DEMOS Desarrollo de Medios S.A. De C.V.",,Inti Cordera,,,,
MXIM-AV-1-12-40,El memorial del 68,"TV UNAM, Centro Cultural Universitario Tlatelolco",,Productor ejecutivo: Sergio Raúl Arroyo,,,,
MXIM-AV-1-12-41,El món dels pioners 1906-1913,VIDEOTECA CATALANA,VIDEOTECA CATALANA,,,,,
MXIM-AV-1-12-42,El otro muro,"Ciné Sud Promotions (francia) y Arna productions (Jerusalen), con la participación de CNC, TV5 y la fundación del Instituo Documental De Sundance",Mundo en DVD S.A de C.V y Alfhaville Cinema,Thierry Lenouvel,,"Simone Bitton, nacida en Marruecos en 1955, tiene la nacionalidad franco-israelí y espera obtener un día la marroquí. Titulada de la escuela cinematográfica de Francia IDHEC). . En 1976, se mudó a Francia para estudiar cine en el Institute des Hautes Etudes Cinematographiques. Desde ahí cruzó el Mediterráneo, filmando la historia y la cultura de los pueblos del Norte de África y de Medio Oriente. Siempre ha estado comprometida con el proceso de paz entre israelíes y palestinos. Ha filmado más de 20 documentales sobre ambas sociedades, mismos que han sido distribuidos a lo largo de Europa, Israel y el mundo árabe. Bitton también fue la creadora de la famosa serie Historia de una tierra (1990), además de producir retratos cinematográficos acerca de la cantante egipcia Oum Kalsoum, Mohamed Abdelwahab, Farid Al-Atrache y sobre el poeta palestino Mahmoud Darwich. En 1998, realizó L’Attentat (El bombazo) con los padres de israelíes y palestinos víctimas de un ataque suicida en Jerusalén. Filmografía: 1981 Solange Giraud, née Tache, 1990 GREAT VOICES OF ARABIC MUSIC, 1992 Palestine: Story of a Land, 1993 Daney/Sanbar, 1998 L’Attentat, 1998 Mahmoud Darwich, 1999 Pigu´a, 2001 Citizen Bishara, 2004 El muro / Mur Muro es su primer largometraje producido para el cine.",Compra,2008
MXIM-AV-1-12-43,Viva San Jerónimo. Coatepec: Memoria y Tradición,CONACULTA-Coordinación Nacional de Monumentos Históricos INAH Veracruz,,"Carolina Solís, Carmen Gaitán","CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En  atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html). COORDINACIÓN NACIONAL DE MONUMENTOS HISTÓRICOS:La necesidad de preservar, estudiar y difundir el patrimonio histórico de la nación, expresada por el gobierno federal de Lázaro Cárdenas, originó la creación del Instituto Nacional de Antropología e Historia el 3 de febrero de 1939. Una de las funciones primarias encomendadas al INAH fue la vigilancia, conservación y restauración de los monumentos arqueológicos, históricos y artísticos de la República, así como de los objetos que en ellos se encuentren. Para tal efecto fue creado el Departamento de Monumentos Coloniales que se dividió en dos partes, la Dirección de Monumentos Prehispánicos y la Dirección de Monumentos Coloniales. Hacia 1973 el Departamento de Monumentos Coloniales y de la República, se incorporó a la recien creada Dirección de Monumentos Históricos, y seis años después desapareció del esquema. En 1989, la Dirección de Monumentos Históricos cambió su estructura funcional y se convirtió en la Coordinación Nacional de Monumentos Históricos que tiene como tareas específicas la conservación, restauración, protección, catalogación, investigación y difusión del patrimonio histórico edificado de la nación. Para llevarlas a cabo, cuenta con las siguientes áreas: 
- Dirección de Apoyo Técnico
- Dirección de Licencias
- Inspecciones y Registro
- Subdirección Administrativa
- Subdirección de Catálogo y Zonas
- Subdirección de Investigación
- Subdirección de Proyectos y Obras
- Unidad de Informática. 
(http://www.inah.gob.mx/)",,,
MXIM-AV-1-12-44,El Rey,"FONDS, CONACULTA-FONCA, Ministerio de Relaciones Exteriores de los Países Bajos, Rain Artists´Initiatives Network (RAIN), Rijksakademie van Beeldende Kunsten - Amsterdam",,"Yael Bartana, Diego Gutiérrez","CONACULTA: El Consejo Nacional para la Cultura y las Artes responde a la necesidad de contar con un órgano rector que dé coherencia a una política pública históricamente desarrollada en el país por una gran multiplicidad de organismos y dependencias de muy distintos sectores y de la más diversa naturaleza institucional. Entre ellas, las unidades administrativas de la anterior Subsecretaría de Cultura de la Secretaría de Educación Pública, inmediato antecedente del Consejo; las diferentes instituciones y dependencias de otras secretarías que por sus funciones de carácter cultural han sido transferidas en distintos momentos; y, finalmente, las entidades adscritas al área de Cultura, varias de larga tradición. En  atención a las exigencias y requerimientos de orden cultural de la sociedad mexicana, a partir de la creación del Consejo Nacional para la Cultura y las Artes se da origen a diversos programas y acciones, con el propósito fundamental de enriquecer la identidad cultural de los mexicanos. La misión fundamental del Consejo es integrar y coordinar de manera armoniosa la labor de los organismos, dependencias e instituciones del gobierno que desarrollan la política cultural del Estado Mexicano. (Extraído de: http://www.conaculta.gob.mx/consejo_quienes.html) FONCA: Fomentar y estimular la creación artística en todas sus manifestaciones son los objetivos principales del Fondo Nacional para la Cultura y las Artes, cuya aparición obedece a una de las respuestas que ofreció el Gobierno Federal a la comunidad artística para construir instancias de apoyo basadas en la colaboración, la claridad de objetivos, el valor de la cultura para la sociedad y el aprecio de la diversidad de propuestas y quehaceres artísticos.Invierte en los proyectos culturales profesionales que surgen en la comunidad artística; ofrece fondos para que los creadores puedan desarrollar su trabajo sin restricciones, afirmando el ejercicio de las libertades de expresión y creación. Por ello, convoca anualmente a los artistas y creadores para que participen en sus 17 programas, mediante la presentación de propuestas que son evaluadas por Comisiones de Dictaminación  y Selección formadas por artistas y creadores de reconocido prestigio.(Extraído de: http://fonca.conaculta.gob.mx/institucional.html)",,,
MXIM-AV-1-12-45,Voces de la guerrero,Homovidens.org,,,,"Adrián Arce Nacido en Lima, Perú, 1976 se está viviendo en Mexico. Realizo la  licenciatura en comunicación social en la Universidad Autónoma Metropolitana (Mexico). Más tarde asistió a un diploma de postgrado en el cine y el vídeo de producción en la Universidad de Tecnología, Sydney (Australia). Él asistió a diferentes cursos de producción de documentales y antropología visual impartido por instituciones de México y extranjeras. Últimamente, Adrian Arce ha producido, escrito y dirigido algunos documentales y cortometrajes. También es co-fundador y co-director de la organización Homo videns.org (Laboratorio de Medios Audiovisuales). Diego Rivera. Nacido en la Ciudad de México, 18 de Febrero, 1977. Diego terminado una licenciatura en Producción de Medios Audiovisuales en el Instituto de Tecnología ORT, Buenos Aires, Argentina. El Instituto Nacional del Audiovisual, París, Francia ha certificado sus estudios de licenciatura. Él asistió a diferentes cursos de producción de documentales y antropología visual impartido por instituciones de México y Extranjeras. Él es productor de diferentes cortometrajes y un largometraje, llamado ""Salsipuedes"". Últimamente, Diego Rivera ha producido, escrito y dirigido algunos documentales y cortometrajes. También es co-fundador y co-director de la organización Homo videns.org (Laboratorio de Medios Audiovisuales). Antonio Zirión. Nacido en la Ciudad de México en 1976. Terminó una licenciatura en etnología en la Escuela Nacional de Antropología e Historia. También es co-fundador de la organización Homo videns.org (Laboratorio de Medios Audiovisuales) Cursó una maestría en antropología visual en la Universidad de Manchester (Inglaterra).(Extraido de http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www.pkey.fi/viscult/2005/eng_elokuva_voces_de_la_guerrero.htm&sa=X&oi=translate&resnum=9&ct=result&prev=/search%3Fq%3Dadrian%2Barce%26hl%3Des%26client%3Dfirefox-a%26channel%3Ds%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)",,
MXIM-AV-1-12-46,El triángulo de Tacubaya,Instituto Mora-LAIS-CONACYT,,,,http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html,PRODUCCIÓN PROPIA,2005
MXIM-AV-1-12-47,La historia del racismo,BBC Londres,,,,,,
MXIM-AV-1-12-48,El yalalteco nunca se acaba,"Centro de Investigaciones y Estudios sobre Antropología Social (CIESAS), PUBLICORP, SEP, Consejo Nacional de Ciencia y Tecnología (CONACYT)",,,"CIESAS: La investigación en el CIESAS El Centro de Investigaciones y Estudios Superiores en Antropología Social (CIESAS) es una institución pública federal que forma parte, junto con otros 27 Centros Públicos de Investigación, del Sistema de Centros CONACYT. El CIESAS se dedica al estudio de los problemas nacionales a través de la investigación y la formación de especialistas de alto nivel en los campos de la antropología social, la historia, la etnohistoria, la lingüística y otras ciencias sociales, con presencia nacional y arraigo regional. Actualmente el CIESAS cuenta con sedes y programas de investigación y docencia en siete ciudades del país: Sede Distrito Federal (Ciudad de México), Sede Golfo (Xalapa, Veracruz), Sede Occidente (Guadalajara, Jalisco), Sede Pacífico Sur (Oaxaca, Oaxaca), Sede Sureste (San Cristóbal de Las Casas, Chiapas), Programa Noreste (Monterrey, Nuevo León) y Programa Peninsular (Mérida, Yucatán). De esta forma, el CIESAS ratifica su vocación de ser una institución de carácter tanto regional como nacional que le ha permitido incidir en el desarrollo de las ciencias sociales en diversos estados de la República, realizar investigaciones con enfoque regional, impartir programas de enseñanza especializados y colaborar tanto con instituciones académicas internacionales como nacionales y estatales. A 33 años de su fundación, el CIESAS ha alcanzado un liderazgo en las disciplinas que cultiva; cuenta con un alto reconocimiento externo, producto de la combinación de investigación básica, aplicada y participativa, y con la reciente incursión exitosa en la crítica y evaluación de políticas públicas.(http://www.ciesas.edu.mx/) CONACYT: El Consejo Nacional de Ciencia y Tecnología fue creado por disposición del H. Congreso de la Unión el 29 de diciembre de 1970, como un organismo público descentralizado de la Administración Pública Federal, integrante del Sector Educativo, con personalidad jurídica y patrimonio propio. También es responsable de elaborar las políticas de ciencia y tecnología en México. Desde su creación hasta 1999 se presentaron dos reformas y una ley para coordinar y promover el desarrollo científico y tecnológico y el 5 de junio del 2002 se promulgó una nueva Ley de Ciencia y Tecnología. (http://www.conacyt.mx/Acerca/Acerca_Introduccion.html)",,,
MXIM-AV-1-12-49,Voladora,"Centro de artes indígenas ""Xtaxkgakget Makgkaxtlawana"" El esplendor de los artistas",Productor ejecutivo: Salomón Bazbaz Lapidus,,,,,
MXIM-AV-1-12-50,En el hoyo,"La Media Luna Producciones, Co-producción: Fondo para la Producción Cinematográfica de Calidad (FOPROCINE), Instituto Mexicano de Cinematografía (IMCINE),  ",,Producción: Juan Rulfo. Producción ejecutiva: Eugenia Montiel Pagés,,,,
MXIM-AV-1-12-51,En torno al caso de Rosalie Evans,"Instituto de Ciencias Sociales y humanidades, Universidad Autónoma de Puebla",,Ariel Arnal,,,,
MXIM-AV-1-12-52,"Entre memoria e identidad, Testimonios de descendientes de inmigrantes franceses en México","Instituto de Ciencias Sociales y Humanidades ""Alfonso Vélez Pliego"", El Colegio de San Luis",,Javier Pérez Siller,,,,
MXIM-AV-1-12-53,Estadio Nacional,"ALERCE La otra música, Gobierno de Chile FONDART, CORFO, Fundación Ford, ",,"Carmen Luz Parot, Soledad Silva",,,,
MXIM-AV-1-12-54,Estudio histórico demográfico de la migración judía a México 1900-1950,"IMAC, e-motion",,,,,,
MXIM-AV-1-12-55,"Ethnologie, Antología de cortos de la Enciclopedia Cinematográfica del Institut für den Wissenschaftlichen Film Göttingen",,,,,,,
MXIM-AV-1-12-55-3,Ausritt des Sultans von Korbo,,,,,,,
MXIM-AV-1-12-56,Etre et avoir,,,,,,Donación,2004
MXIM-AV-1-12-57,"Exotic Europe, Journeys into early cinema",Comunidad Europea, ,"Fachhaschule für Tecknik und Wirtschaff Berlin, Bundesarchiv-Filmarchiv, Koblenz, Netherlands Filmmuseum, Cinema Musseum of London", ,,Donación,2004
MXIM-AV-1-12-58,Fahrenheit 9/11,"Lions Gate Films, Quality Films, IFC Films, The yellow shipadventure group, Dog Eat Dog Films",Quality Films,Michael Moore,,"Michael Moore (Flint, Míchigan, 23 de abril de 1954), cineasta documentalista, periodista y escritor estadounidense conocido por su postura progresista y su visión crítica hacia la globalización, las grandes corporaciones, la violencia armada, la invasión a Iraq y a otros países y las políticas del gobierno de George W. Bush y sus antecesores. Hijo de una familia irlandesa, demócrata y  católica. Fue educado en la religión católica romana y asistió a la escuela primaria St. John's Elementary School. A los 14 años estuvo en un seminario diocesano.  Abandonó sus estudios en  la Universidad de Michigan, para trabajar como editor y redactor en “The Flint Voice”, convertida después en “The Michigan Voice”, donde inició a su aguda capacidad como comentarista político. Con su película Roger & Me (1989), documental en clave de comedia que satirizaba el proceder de la General Motors tras cerrar varias de sus fábricas y despedir a miles de trabajadores en Flint, Michael Moore consiguió la relevancia en su país, logrando unánimes críticas favorables a su primer y punzante trabajo. Sus trabajos han generado gran polémica. Recientemente se publicó un libro criticando a Moore titulado Michael Moore is a Big Fat Stupid White Man ('Michael Moore es un gordo blanco y estúpido') y en una película aún no estrenada llamada Michael Moore Hates America ('Michael Moore odia a América'). Asimismo, sus obras han sido objeto de análisis, acusándosele de que numerosas informaciones de sus documentales son falsas o están distorsionadas. Para  contestar dichas acusaciones, Moore ha publicado en su sitio web un análisis detallado de los datos presentados en Fahrenheit 9/11, incluyendo respaldo documental y periodístico de sus afirmaciones.",Compra,2008
MXIM-AV-1-12-59,Farmingville,"Moxie Films, Camino Bluff Productions",Zafra Video,,,,,
MXIM-AV-1-12-60,"Food, inc.","Participant Media, River Road Entertainment",Magnolia Pictures,"Robert Kenner, Elise Pearlstein. Productores ejecutivos: William Pohlad, Robert Shorr, Jeff Skoll, Diane Weyermann ",,,,
MXIM-AV-1-12-61,Fraude México 2006,Contra el viento films,Zafra video S.A de C.V,Federico Arreola,,"Luis Mandoki nació en la Ciudad de México en 1954. Estudió en San Francisco Art Institute y en London International Film School. En 1976, obtuvo reconocimiento internacional con su galardonado cortometraje Silent Music, que ganó el premio más importante en su categoría en el Festival de Cannes. En su debut cinematográfico, Gaby: Una Historia Verdadera (1987), Luis Mandoki fue aclamado por el guión, la dirección y la producción. Basada en una historia real que Mandoki descubrió en el periódico, la película trata acerca de la relación de una mujer de mediana edad con parálisis cerebral y su joven cuidador. Mandoki continúa demostrando su versatilidad mediante su reciente trabajo, con el romance Angel Eyes (2001), estelarizada por Jennifer Lopez y Jim Caviezel, y con el thriller Trapped (2002), con Charlize Theron y Kevin Bacon. Luis Mandoki trabaja actualmente en la pre-producción de su próxima película en español, Amapola (Poppies), una exposición acerca del tráfico de drogas con Daniel Giménez Cacho (Voces Inocentes) y Diego Luna (Y Tu Mamá También).",Compra,2008
MXIM-AV-1-12-62,Cavallo entre rejas,"Genocidio nunca más, Cacerola Films, Tornasol Films, Entre imágenes",,,,,Compra,28/01/2013
MXIM-AV-1-12-63,Artes y oficios mexicanos,"CIESAS, Universidad de Colima (CEUVIDITE),  SEP, CONACYT",,,,,,
