 DÉCADA 1990-1999,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
MXIM-AV-1-11-27,Cinéma Perdu,Nederlands Filmmuseum/Vpro,,Frank Roumen,,"Peter Delpeut nació en Vianen, Alemania, 1956. Estudió filosofía y teoría del cine, entonces matriculados en el holandés de Cine y TV Academia entre 1980 e 1984, período durante el cual escribió comentarios del cine y la televisión. A partir de 1988-1995 organizó programas para el Museo de Cine de los Países Bajos, donde también es director. Emma Zunz (1984), su primer cortometraje, recibió la mención especial del jurado en el Kurzfilmfestival en Berlín y, en el mismo año, ganó un premio especial en Amsterdan. En 1992 Forbidden Quest ganando premios como el Festival de Cine de Mannheim y el Festival de Cine de Oporto. En 1998, su película  Felice Felice abrió el 27 Festival de Rotterdam. También ha publicado dos colecciones de ensayos y una novela en los últimos tres años. (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www2.uol.com.br/mostra/23/english/filmes/148.htm&sa=X&oi=translate&resnum=3&ct=result&prev=/search%3Fq%3DPeter%2BDelpeut%2B%26hl%3Des%26client%3Dfirefox-a%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)",Donación,2004
MXIM-AV-1-11-28,Close up (Nema-ye Nazdik),,,,,,,
MXIM-AV-1-11-29,Consulta nacional,"Brigada ""Producciónes Marca Diablo""",,,,,,
MXIM-AV-1-11-30,Copperwork in Santa Clara del Cobre. Artisans facing change,Institut für den Wissenschaftlichen Film/Deutsche Forschungsgemeinschaft,,,Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm),,,
MXIM-AV-1-11-31,Cuando la rumba nos conoció,Instituto Mora,,Humberto Galarza,,http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html,Producción Propia,1998
MXIM-AV-1-11-32,Cuando yo nací como persona,"Enlace, Comunicación y Capacitación A.C., Centro de Encuentros y Diálogos A.C.",,,,,,
MXIM-AV-1-11-33,"Cuatro rayas, un pueblo organizado",Instituto Nacional Indigenista (INI) - Archivo Etnográfico Audiovisual,,Alfonso Muñoz Jimenez,"CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas.Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video.A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-11-34,Cuentos para una soledad desvelada,Colectivo Perfil Urbano A.C.,,,,,,
MXIM-AV-1-11-35,"Weavers in Auiran. Michoacán, Mexico",Institut für den Wissenschaftlichen Film,,Beate Engelbrech,Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm),,,
MXIM-AV-1-11-36,De wereld rond met pathé 1910-1915,Nederlands Filmmuseum,,Filmmuseum,,"Peter Delpeut nació en Vianen, Alemania, 1956. Estudió filosofía y teoría del cine, entonces matriculados en el holandés de Cine y TV Academia entre 1980 e 1984, período durante el cual escribió comentarios del cine y la televisión. A partir de 1988-1995 organizó programas para el Museo de Cine de los Países Bajos, donde también es director. Emma Zunz (1984), su primer cortometraje, recibió la mención especial del jurado en el Kurzfilmfestival en Berlín y, en el mismo año, ganó un premio especial en Amsterdan. En 1992 Forbidden Quest ganando premios como el Festival de Cine de Mannheim y el Festival de Cine de Oporto. En 1998, su película  Felice Felice abrió el 27 Festival de Rotterdam. También ha publicado dos colecciones de ensayos y una novela en los últimos tres años. (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://www2.uol.com.br/mostra/23/english/filmes/148.htm&sa=X&oi=translate&resnum=3&ct=result&prev=/search%3Fq%3DPeter%2BDelpeut%2B%26hl%3Des%26client%3Dfirefox-a%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)",Donación,2004
MXIM-AV-1-11-37,Del olvido al no me acuerdo,"Instituto Mexicano de Cinematografía (IMCINE), La Media Luna Producciones, S. A. de C. V., Producciones Por Marca, Secretaría de Turismo y Secretaría de Cultura del Estado de Colima, con el apoyo del Fondo Nacional para la Cultura y las Artes, la Fundación Rockefeller, la Fundación MacArthur y la Fundación Cultural Juan Rulfo",Zafra video S.A de C.V,Roberto Rochin,,"Juan Nepomuceno Carlos Pérez Rulfo Aparicio, (Cd. De México, 1964) es hijo del escritor mexicano Juan Rulfo y de Clara Aparicio de Rulfo, estudió Ciencias de la Comunicación en el UAM. En 1988, ingresa a la carrera de Dirección Cinematográfica en el Centro de Capacitación Cinematográfica (CCC) de la ciudad de México. Heredero de la tradición de su padre, Juan Carlos ha sabido traducir a la narrativa cinematográfica las atmósferas rurales mexicanas que su padre consagró en su literatura y al mismo tiempo forjar por sí mismo una carrera que lo ha desmarcado de la sombra paterna. Su ópera prima fue el cortometraje El Abuelo Cheno y otras historias (1995) realizado con el apoyo del CCC donde narra la vida de su abuelo. En 1999 se proyecta su primer largometraje: Del olvido al no me acuerdo documental filmado en la región de Llano Grande en Jalisco, lugar donde nació su padre, para realizar entrevistas a los habitantes preguntando si conocieron a Juan Rulfo. El resultado es un documental donde la figura de su padre pasa a segundo plano y lo más importante son las historias y vidas de los entrevistados, entre ellos su propia madre. Con este filme, Juan Carlos ganó cuatro Arieles posicionándose como uno de los directores mexicanos contemporáneos más importantes. En 2006 se proyecta su segundo largometraje: En el hoyo, un documental realizado en la ciudad de México sobre la construcción de la ampliación de la avenida Periférico Sur en dicha ciudad. ",Compra,2005
MXIM-AV-1-11-38,Destination Samoa. New Zealand-Samoans between two cultures,Institut für den Wissenschaftlichen Film,,Rolf Husmann,Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm),,,
MXIM-AV-1-11-39,Días de albergue,Instituto Nacional Indigenista (INI) - Archivo Etnográfico Audiovisual,,Alfonso Muñoz Jiménez,"CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas.Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video.A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-11-40,Die mauer,,ICESTORM,Stephan Röder,,,,
MXIM-AV-1-11-41,Diva Dolorosa,"Cineteca del comune di Bologna, Filmmuseum Distributie, Vrijzinning Protestantse Radio Omroep (VPRO)",,Frank Roumen,,,,
MXIM-AV-1-11-42,Ecología y grupos étnicos,TIEMPO VISUAL A. C./ INI,,,"CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas.Una vez constituido el aea, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video.A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-11-43,Efemérides latinoamericanas,Instituto Latinoamericano de la Comunicación Educativa,,Gilberto Morales,,,Donación,2001
MXIM-AV-1-11-44,El buen restaurador ama lo antiguo. Testimonio del arquitecto Ricardo de Robina,Instituto Mora-CONACyT,,"Postproducción: Humberto Galarza, Carlos Hernández",,http://www.mora.edu.mx/Investigacion/Principal/laboratorio.html,Producción Propia,1998
MXIM-AV-1-11-45,"Adolfo Ruiz Cortines, el apogeo del sistema",Clío,,"Martina Rangel, Adriana Rosique, Octavio Vázquez Mellado",,,,
MXIM-AV-1-11-46,Nuestra capital hace medio siglo,Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-47,"El Petén, Guatemala",Interamerican Production Inc.,,,,,,
MXIM-AV-1-11-48,"Colonia Roma, vida y arquitectura",Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-49,Emiliano Zapata,,,,,,,
MXIM-AV-1-11-50,Ferrocarril a utopía,Fideicomiso para la Cultura México-EUA,,Gregorio Rocha,,,,
MXIM-AV-1-11-51,Film ist.(1-6),"LOOP-TV, Video-Film",,Sixpack Film,,,,
MXIM-AV-1-11-52,"Miguel Alemán, El presidente empresario",Editorial Clío,,Diana Roldán,,,,
MXIM-AV-1-11-53,"Adria, urlaubsfilme 1958-1964",,,,,,,
MXIM-AV-1-11-53-1,Film/spricth/viele/sprachen,Viennale,,Sixpack Film,,,,
MXIM-AV-1-11-53-2,Film ist als mehr Film,,,,,,,
MXIM-AV-1-11-54,Regreso a terra,Granada Centre for Visual Anthropology University of Manchester,,,,,,
MXIM-AV-1-11-55,Fin de la Guerra,,,Coedición: Gino Rossato. Videomedia SPA,,,,
MXIM-AV-1-11-56,Foutura. A Lobi potter tells her story,"Institut für den Wissenschaftlichen Film, Göttingen","Institut für den Wissenschaftlichen Film, Göttingen", ,Una de las instituciones más importantes en la producción y distribución de cine científico para investigación y enseñanza superior. Su catálogo cuenta con 5000 títulos producidos por el Institut y 1800 títulos de otros productores que cubren todas las áreas de conocimiento. Sus fondos están disponibles en préstamo y en venta. (http://www.ub.es/geocrit/arac-43.htm),"Beate Engelbrecht. Nacido en 1952. Estudio antropología, sociología y economía. Desde 1985 funcionario a cargo de Antropología en IWF - Conocimiento y Medios de Comunicación (Institut für den wissenschaftlichen Film) en Göttingen, Alemania. Editor de 3 libros sobre artesanía y el cine etnográfico. 8 ensayos científicos en relación con la Antropología Visual. Productor ejecutivo de 12 películas para la IWF (7 acerca de Mexico, 3 acerca de Burkina Faso, 1 acerca de la India, y el 1 de retrato etnográfico de un coleccionista de arte). Editor científico de 22 películas de productores externos. Profesor en universidad de Antropología :  en Basilea, de antropología y antropología visual. Desde 1992 imparte cursos de verano de ""Practica del cine etnográfico""  en Göttingen. Miembro activo de organizaciones científicas: Líder de la asociación de Antropología Visual de la Sociedad Alemana de Antropología (DGV) y miembro de la junta ejecutiva de la DGV desde 1992. Miembro de la junta ejecutiva de la Sociedad de Antropología Visual EE.UU. 1997-2000. ( Extraído de http://64.233.179.104/translate_c?hl=es&sl=en&u=http://www.iwf.de/va-origins/biograph/eng_2.htm&prev=/search%3Fq%3DBeate%2BEngelbrecht%26hl%3Des%26client%3Dfirefox-a%26channel%3Ds%26rls%3Dorg.mozilla:es-ES:official%26sa%3DG)",Donación,2000
MXIM-AV-1-11-57,Francisco Villa: el Ángel y el Fierro,Clío,,Diana Roldán,,,,
MXIM-AV-1-11-58,Frank Lloyd Wright. The office for Edgar J. Kaufman,The Victoria and Albert Museum/SANDPAIL Productions, ,Pamela Glintenkamp,,"Pamela Glintenkamp  en sus antecedentes incluye su formación académica en el arte y el diseño de la historia, tiene experiencia práctica en el museo de la educación, y más de 10 años de experiencia en el cine y la televisión en la industria de Hollywood. Glintenkamp también ha actuado como productor para el archivo Lucasfilm Proyecto de Historia.. Este archivo Corporativo Historia de Lucasfilm en todos sus aspectos, implica una profunda investigación y de vídeo de entrevistas con más de 100 personas que han participado con la compañía durante los últimos 25 años. Las entrevistas se utilizaron como uno de los principales recursos de investigación en el desarrollo de material documental para la Star Wars original trilogía de DVD, y han sido ampliamente citado en el 2005 Abrams publicación ""El cine de George Lucas"". La salida de el Proyecto de Historia Lucasfilm es ahora una parte permanente del Archivo Lucasfilm.. Como consultor en medios de comunicación para el Getty Center for Education in the Arts incluido su cesión de su papel como productor ejecutivo de tres anuncios de servicio público, la cual fue presentada por un año a Fox la Red de la Infancia.. Además Glintenkamp ha producido el audio tour para Walt Disney Concert Hall, veintiuno segmentos de video para el acceso al tratamiento antirretroviral sistema de información interactivo en el J. Paul Getty Museum, así como exhibición de videos La Huntington Library, Art Collections y los Jardines Botánicos en temas como la fiebre del oro de California y George Washington (que ha producido también un CD-ROM para esta exposición).. Glintenkamp posee una licenciatura, magna cum laude en Historia del Arte de la Universidad Brown, En 1990 fue becario en la historia del diseño en el Victoria y Albert Museo de Londres. (http://translate.google.com.mx/translate?hl=es&sl=en&u=http://geography.berkeley.edu/projectsresources/CaliforniaThinkers/profiles/glintenkamp.html&sa=X&oi=translate&resnum=1&ct=result&prev=/search%3Fq%3DPAMELA%2BGLINTENKAMP%26hl%3Des%26client%3Dfirefox-a%26channel%3Ds%26rls%3Dorg.mozilla:es-ES:official%26hs%3D4hO%26sa%3DG)",Donación,1994
