"codigo_de_referencia","sinopsis","descriptor_onomastico","descriptor_toponimico","descriptor_cronologico","tipo_de_produccion","genero","fuentes","recursos","versiones","formato_original","material_extra"
"MXIM-AV-1-5-5","Taris, rey de agua (o en la piscina Jean Taris ) es un corto documental francés uno dirigido por Jean Vigo en 1931 en el campeón de natación Jean Taris . La película es notable por las innovaciones técnicas utilizadas por Vigo, incluyendo primeros planos e imágenes de frenado en el cuerpo del nadador.","Jean Taris","Francia","","Película documental","","Grabación de campo, Música de época","Narración en off, Intertítulos","","",""
"MXIM-AV-1-5-6","Cortometraje documental que hace un retrato de Las Hurdes (Cáceres), una de las regiones más pobres y menos desarrolladas de la España de 1932. La insalubridad, la miseria y la falta de oportunidades provocan la emigración de los jóvenes y la soledad de quienes se quedan en esta desolada región extremeña. (FILMAFFINITY).","Carmelitas","España, Las Hurdes, La Alberca, Valle de las Batuecas, Salamanca, Martin Altrate","1932-1933","Película documental","","Grabación de campo, musica de época, cartografía","Puesta en escena, animación","Reportaje","VHS",""
"MXIM-AV-1-5-7","Como recita en la película, el poema que imita el ritmo de las ruedas del tren, ya que el chasquido sobre la pista de las secciones, empezando lentamente, pero una aceleración de manera que por el momento la narración alcanza el penúltimo verso es el narrador que habla en un ritmo sin aliento. A medida que el tren frena su destino hacia el verso final que se adopte en un ritmo más sosegado. La famosa apertura de las líneas del poema son \"Esta es la Noche Correo cruzar la frontera y llevar el cheque postal y el orden\".  Tal es el estado icónico de la película, que fue utilizado como inspiración para un famoso British Rail anuncio de la década de 1980, conocido como el \"Concierto de anuncios\".","Marjorie Lundstrom","Inglaterra: Londres, Escocia, Liverpool, Birmingham, Manchester, Bristol, Coventry, Stoke, Stafford, Holyhead, Hosuton Blasco,Devonshire, Leicester, Glasgow, Campbell","1930-1940","Película documental","","Documentales, grabación de campo, música de época","Narración en off","","VHS",""
"MXIM-AV-1-5-8","Pare Lorentz trató de lograr en el filme un todo, el uso de imágenes iconográficas y de la narración poética, una música especialmente compuesta para enmarcar la discusión intelectual y patriota sobre Estados Unidos como grande y abundante, tierra bendecida con recursos, cuya conservación podrían contribuir a mitigar los problemas ambientales que enfrentara el país durante la Depresión. Esta la película detalla la belleza de las grandes llanuras, el tiro maravilloso del jinete, y la repetición poética de la frase \"los fuertes vientos y el sol\", anunciando la venida del \"Dust Bowl\". También se escucha la música de Thompson, que trabaja tan bien con las imágenes dándoles acompañamiento.  http://stoplorentz.blogspot.mx/2009/10/el-arado-de-lorentz.html","Woodrow Wilson, General Land Office, Western Cattle Syndicate, Great Plains Land Company, General Farms Brokers, United Farm Co, Inc, Great Plains Realty Company ","Texas, Montana, Nuevo México, Oklahoma, Nebraska, Wyoming, Dakota del Norte, Dakota del Sur, Kansas, Colorado, Jonesville, Canadá","1880, 1900-1930, 1932-1939 (Dust Bowl) ","Película documental","","Cartografía, hemerografía, grabación de campo"," Intertítulos, narración en off, gráficos","","",""
"MXIM-AV-1-5-9","El film señala la importancia del río Mississippi en la historia de los Estados Unidos y critica la degradación ambiental generada por unos sistemas de cultivo abusivos y la explotación intensiva de los recursos forestales, que provocaron un fuerte proceso de erosión del suelo, arrastrado por las crecidas hasta el Golfo de México y la ruina de los pequeños granjeros. La parte final destaca la contribución de la “Farm Segurity Administration” y la TVA (Tennessee Valley Authority) en la lucha contra la erosión provocada por las inundaciones del río Mississippi, mediante la difusión de modernas técnicas de cultivo y la construcción de presas para controlar el cauce.","","Estados Unidos: Idaho, Pensilvania, Yellowstone, Milk, Cheyenne, Cannonball, Muselshell,  Río Mississippi, Nueva Orleands, Baton Rouge, Natchez, Vicksburg, Louisville, Cincinnati,  Kentucky, Tenesse, Wichita, Missouri, Ohio, Texas, Minesota, Greenville, Cleveland, Clarksdale, Memphis","1937","Película documental","","Grabación de campo, hemerografía, cartografía, música de época"," Narración en off,  intertítulos","","",""
"MXIM-AV-1-5-10","Fue rodado durante la contienda civil en el pueblo de Fuentedueña del Tajo, cerca de Madrid. Se contemplan en la cinta escenas de la defensa de Madrid, de los combates en la Ciudad Universitaria, el frente del Jarama y el bombardeo de la Plaza del Callao en el centro de la urbe, así como un breve discurso parlamentario de Manuel Azaña de condena de la rebelión y de aliento a la defensa de la capital.\
Tierra de España es ya un clásico del género documental y ocupa un lugar destacado en la filmografía sobre la guerra civil española. Sin embargo se trata de una película cuya difusión en el momento de su estreno quedó restringida a los circuitos de cine documental y a las proyecciones organizadas por asociaciones, partidos y sindicatos comprometidos con la causa de la República española. El film debía cumplir una triple acción, en palabras del realizador: “directa, política e ideológica, una acción inmediata y material para la compra de ambulancias y una acción histórica de testimonio para el futuro”. Sin duda alguna esas expectativas quedaron satisfechas, dada la trascendencia histórica que ha alcanzado The Spanish Earth y la efectividad inmediata que logró tras el primer pase privado en Hollywood, al que acudieron algunas personalidades del cine gracias a las que se recaudaron 16.000 dólares destinados a ayudar al gobierno de la República. Pero de todas formas el film de Ivens siguió quedando restringido a un circuito de élite. http://www.hispashare.com/?view=title&id=8105","Enrique Lister, Jesús Martínez de Aragón, Vittorio Vidali \"Carlos Contreras\", José Díaz, Gustav Regler, Dolores Ibarrouri \"La Pasionaria\", José Neiva, Indalecio Prieto ","España: Madrid, Fontedueña, Valencia, El Tajo, Alcalá, Aranjuez, Jarama, Arganda, Ciudad Universitaria de Madrid, Hospital de Clínicas, Casa de Campo, Galicia, Palacio Duque de Valdez","1936","Pelicula documental","","Registros fílmicos, cartografía, pinturas, testimonios videorales, música de época, registros videográficos, ficción","Puesta en escena, gráficos, animación, narración en off, intertítulos","","VHS",""
"MXIM-AV-1-5-11","Tomando como base tres canciones folklóricas de Asia Central sobre el líder bolchevique y reuniendo los pocos minutos de material de archivo que existían filmados con él, Vertov llevó al extremo sus propias teorías sobre el montaje, en contrapunto rítmico con la música. Como escribe el historiador Jay Leyda, “El depender de las canciones determinó el tono emocional de la película, un nuevo tono no tanto para Vertov como para la forma cinematográfica documental de todo el mundo” http://espina-roja.blogspot.mx/2009/06/tres-cantos-lenin-pelicula-sovietica-de.html","Vladimir Ylich Lénin, Stalin, M. Gorki, ","Asia: Club de Mujeres de Turkic, Mi Sovjos (Granja Agraria Estatal), Instituto de Agricultura y Pedagogia Glazov,Irkutsk, Mi Koljos (granja cooperativa), Razliv, Plaza Roja (Moscú), Central Hidroléctrica del Dnieper, Magnitogorsk, Canal Moscú-Volga","1924 (muerte de Lenin), 1917","Película documental","","Grabación de campo, fotografías, registros fílmicos, música de época, hemerografía, testimonios videorales, registros fonográficos","Intertítulos, puesta en escena, gráficos","","",""
"MXIM-AV-1-5-12","La historia del engrane y su papel dentro del desarrollo de la historia moderna de la humanidad visto desde un punto progresista.  ","","Inglaterra","1935-1940","Película documental","","Documentales, registros fílmicos, grabación de campo","Gráficos, narración en off, animación","","",""
"MXIM-AV-1-5-13","Se ocupa de la obra y las técnicas de Roberto Omegna: Las maniobras navales Italianas (Le manovre navali italiane, 1908), La neruopatología (La neuropatologia), Caza al Leopardo (Caccia al Leopardo), La vida de las Mariposas (La vita delle farfalle), Los últimos día de Pompeya (gli ultimi giorni di Pompei), Champaña Caprige (Champagne Caprige),  La vida del reino de la Araña (La vita deEpeira), Pompas de Jabón (bole di Sapone), Ámbar y espuma (Ambra e Schiuma), Ratón en la trampa (Topi un trappola), Del huevo a la gallina (Dall'ouvo all gallina), documentalista italiano y el camarógrafo, considerado el padre del cine científico italiano.","Roberto Omegna, Cavalier Camillo Negro, Rosavenda, Louis Lumière, Arturo Ambrosio, Sociedad Anónima Ambrosio, Gaspard-Félix Tournachon \"Nadar\", Guido Gozzano, Guiseppe Levi","Italia: Calabria, Messina, Torino, Museo de Nazionale del Cinema, Academia de Medicina, América del Sur, India y China, Abisinia y África negra, Laboratorio de Investigación Marina, Nápoles, Mar Báltico, Instituto de Anatomía, Univerdidad de Torino","1904, 18 de febrero de 1908, 28 de diciembre de 1908 (terrremoto de Calabria), 1911 (Exposición de Torino, Día de la Unificación Nacional 29 de abril), 1914, 1920, 1926, 1929, 1930 (Exposición Universal de París), 1933","Película documental","","Fotografías, pinturas, registros fílmicos, documentos, hemerografía, grabación de campo, testimonios videorales","Animación, incidentales, narración en off, gráficos, intertítulos","","",""
"MXIM-AV-1-5-14","Se reúnen aquí, presentadas en tres segmentos, imágenes documentales que se creían perdidas de Val del Omar, y que corresponden a la Semana Santa de Lorca, la Semana Santa de Murcia y Cartagena, y la Fiesta de la Primavera de Murcia. (FILMAFFINITY)                                                                  ","","España: Región de Murcia: municipio de Lorca, municipio de Cartagena","1934","Documental","","Documentales, registros fílmicos, grabación de campo","","","",""
"MXIM-AV-1-5-16","Es la Danza más popular y famosa de Bali desde el punto de vista turístico. Se trata de nuevo de una sencilla batalla entre el bueno’’ el Barong’’, y el malo ‘’el Rangda’’ (La bruja). El Barong es una extraña criatura, mitad perro de lanas, mitad león, impulsada por dos hombres como si fuese una atracción de circo. El Barong y Rangda luchan, utilizando sus poderes mágicos, pero cuando las cosas van mal para el Barong, sus seguidores empuñan sus krises y se lanzan al ataque de Rangda. Haciendo uso de sus poderes mágicos, esta les sume en un estado de trance y los hombres intentan suicidarse con sus kris. Finalmente, un sacerdote (un Pemangku) hace las ceremonias, para poner fin al trance de los bailarines, y debe sacrificarse un pollo para propiciar a los espíritus del mal. (Elaborada Lais)","","Indonesia: Bali.","1938","Documental","Etnográfico","Grabación de campo","","","",""
"MXIM-AV-1-6-1","A través del diario de un bebe nacido en septiembre de 1944, este valiente documental muestra el estado de Gran Bretaña a finales de la Segunda Guerra Mundial. El argumento explica a Timothy, el pequeño, lo que sucede con su familia, vecinos y conciudadanos al tiempo en que la guerra va llegando a su fin. La cinta, convertida en un clásico, reflexiona en torno a los problemas que una nueva generación de postguerra debe enfrentar tras el término del conflicto\". (Cineteca Nacional)","","Haymarket Theatre, St. Jame´s, National Gallery, Trafalgar Square, St. Paul´s Cathedral, Ludgate Hill","1944-1945","Película documental","","Grabación de campo, Música de época, Documentos, Registros fonográficos, Registros videográficos","Puesta en escena, Narración en off, Conducción, Gráficos","","35 mm",""
"MXIM-AV-1-6-2","Farrebique analiza una familia de campesinos del Macizo Central que vivían aún en régimen de autarquía en vísperas del gran cambio que iba a producirse en el mundo rural, acelerado tras la guerra. Farrebique es una evocación de las cuatro edades de la vida, desarrollada al hilo de las cuatro estaciones y tejida con los pequeños acontecimientos de la vida cotidiana, sus penas y sus alegrías.","Familia de campesinos (El abuelo, la abuela, Roch, Berthe, Maria, Simone, Raymond, Ivette, Henri, María), Fabre (vecino) Fabrette (hija del vecino)","Francias: Rouergue antigua provincia de Occtania, finca Ferrebique, Goutrens, Bosque Buene, La Bruel, La Fumade, Pomayret, Cassagnes, Avignon, Ste- Radegonde, Rodez, Montpellier, Tolouse, Combrivat, Villefranche","1942","Película documental","","Ficción, Registros fílmicos, Fotografías, Cartografía, Testimonios videorales, Música de época, Documentos","Puesta en escena, Animación, Incidentales, Narración en off, Intertítulos, Gráficos","Version francesa sin subtítulos, versión francesa con subtitulos en inglés y versión francesa con subtítulos en español","","Suplementos: Biografía, Filmografía"
"MXIM-AV-1-6-3","Noticiero fílmico del Sindicato de Trabajadores de la Industria Cinematográfica (S.T.I.C.) que muestra la presentación ante la sociedad mexicana del por entonces novedoso complejo urbano \"Miguel Alemán\", como parte del gran proyecto modernizador del país impulsado por el gobierno mexicano de los años 50's y 60's, lo que suponía un avance, no sólo en términos de la arquitectura moderna, sino también un paso adelante en la solución de los problemas de vivienda para los habitantes de la capital.","Esteban García de Alba, Ingenieros Civiles Asociados (ICA)","D. F, Centro Urbano Miguel Alemán ","1947-1949","Película documental","","Ficción, registros fílmicos, música de época, noticieros fílmicos, grabación de campo","Puesta en escena, narración en off","","VHS",""
"MXIM-AV-1-6-4","La película, muestra el proceso de elaboración de distintos objetos de metal, a través de la vida de un artesano calderero. Tanto el personaje, inscrito dentro de su propio contexto vital, como los gestos propios de su trabajo, fueron elegidos y magnificados por el cineasta con absoluta seguridad, fruto de una paciente familiaridad con su protagonista, y un gran dominio de la técnica cinematográfica.","","Francia","","Película documental","","Grabación de campo, Fotografías, Pinturas","Animación, Narración en off, Conducción","","",""
"MXIM-AV-1-6-5","\"Al llegar la revolución del \"hablado\", Rouquier se familiarizó con el sonido, sin por ello abandonar su profesión de linotipista. Tras un largo aprendizaje, llegó Le tonnelier , la obra que realmente puede considerarse la primera de este cineasta que nunca llegaría a hacer una verdadera carrera. La película, realizada tras su regreso a Lunel, mostraba la fabricación de un tonel de un artesano tonelero. Tanto el personaje, inscrito dentro de su propio contexto vital, como los gestos propios de su trabajo, fueron elegidos y magnificados por el cineasta con absoluta seguridad, fruto de una paciente familiaridad con su protagonista, y un gran dominio de la técnica cinematográfica.\"","","Francia","","Película documental","","Grabación de campo, Fotografías, Pinturas, Documentos","Animación, Narración en off, Conducción","","",""
"MXIM-AV-1-6-6","Le Sang des bêtes (\"La Sangre de las bestias\") es un documental corto francés de 1949, escrito y dirigido por Georges Franju. Fue el primer filme de Franju y está narrado por Georges Hubert y Nicole Ladmiral. El documental de Franju contrasta las pacíficas escenas de los suburbios parisinos con escenas de un matadero. El filme documenta la matanza de un caballo, ovejas y terneros. Una vez el caballo es aturdido por una pistola de bala cautiva, es sangrado y descuartizado. El filme es narrado sin lenguaje emotivo. (FILMAFFINITY)","Ari Folman","Francia: Aeropuerto de París, rastro municipal de París","1880, 1940","Película documental","","Grabación de campo, Ficción, Fotografías, Pinturas, Testimonios videorales, Música de época","Puesta en escena, Animación, Incidentales, Narración en off, Conducción","","",""
"MXIM-AV-1-6-7","Listen to Britain alcanza una cima de rara belleza mostrando instantes de vida cotidiana bajo los bombardeos nazis. No hay diálogos; sólo sonidos de ambiente: imágenes de las calles, bailes, conciertos, exposiciones, etc. Estructurada como un enorme video clip, combinando imágenes con música, consigue emocionar con su montaje sensible a la par que inteligente. La cultura se muestra por todas partes como un elemento de la sociedad británica que se opone a la barbarie destructora de los nazis. Y entonces, la poesía de muchas de las imágenes -con insólitos encuadres y sensacional fotografía en blanco y negro- se convierte en épica, la verdadera épica colectiva de un pueblo unido en la resistencia común contra el fascismo.","Chesney Allen , Leonard Brockington, Bud Flanogan, Myra Hess","Reino Unido","1942","Película documental","","Grabación de campo, Registros fílmicos, Cartografía, Música de época, Registros fonográficos, Registros videográficos","Incidentales, Narración en off, Conducción","","35 mm",""
"MXIM-AV-1-6-8","El documental se abre con los tiros de las calles de Londres a finales de la tarde, como la gente comienza su viaje a casa. El narrador recuerda a la audiencia que estas personas son parte del mayor ejército civil que el mundo haya conocido, y van a unirse a su respectivo servicio antes de que llegue \"visitante nocturno\" de Londres. La fuerza aérea nazi llega y comienza su trabajo nocturno, bombardeando iglesias, lugares de negocios y hogares, el trabajo de cinco siglos destruidos en cinco segundos. Pero tan pronto como lo es mañana, los británicos van a trabajar de forma en que normalmente lo hacen. Joseph Goebbels es citado diciendo que los atentados están teniendo un gran efecto sobre la moral británica. Tiene razón, dice el narrador, la moral de los británicos es mayor que nunca.","","Reino Unido: Londres (East End)","7 de septiembre de 1940 y el 16 de mayo de 1941","Película documental","","Grabación de campo","Narración en off, Conducción","","35 mm",""
"MXIM-AV-1-6-9","Presenta una descripción social de México en el siglo XIX, un México independiente caracterizado por las diferentes modas de acuerdo a las clases sociales","José María Velasco, Juventino Rosas","México: Castillo de Chapultepec, zócalo. Mérida, Veracruz, Morelia","1800-1899","Película documental","","Ficción, Registros fílmicos, Pinturas","Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-6-10","\"Esta película intenta reconstruir, únicamente a través de sus obras, la vida y la aventura espiritual de uno de los mayores pintores modernos. El genio y la importancia de Vincent Van Gogh son, hoy en día, universalmente reconocidos. Sin embargo, Van Gogh tuvo que luchar y trabajar desesperadamente en la miseria y en medio de una indiferencia casi total para intentar alcanzar mediante su pintura el absoluto que entreveía\" ","Théodore Van Gogh, Seurat, Lautrec, Gaugin","Nuenen, Montmantre, París, Provenza, Hospicio de St Remi y Auvers sur Oise","1948","Película documental","Bibliográfico","Pinturas, música de época","Narración en off, conducción, gráficos","","",""
"MXIM-AV-1-6-11","Humphrey Jennings firmó en 1941 este documental que sirve como grito de guerra del pueblo británico ante los ataques del ejército nazi. Las imágenes de los bombardeos sobre Londres van acompañadas de discursos de Abraham Licoln o Winston Churchill y poemas de John Milton, William Blake o Rudyard Kipling, a los que pone voz Laurence Oliver. (FILMAFFINITY)","Adolfo Hitler","Reino Unido","1941","Película documental","Propagandístico","Grabación de campo, Registros fílmicos, Fotografías, Cartografía, Documentos","Narración en off, Conducción","","35 mm",""
"MXIM-AV-1-6-12","Cine Mundial: Revista Fílmica compuesta por un corto cómico Por una Nariz, crónica del viaje del presidente de Dwight D. Eisenhower, crónica de la segunda reseña cinematográfica en México, una historia romántica y el rescate de las obras de Diego Rivera por Dolores Olmedo","Dwight D. Eisenhower, Richard Nixon, Jean Pierre Leaud y Jean Marais, Emilio el Indio Fernández, Conde Cuchicute, Diego Rivera, Dolores Olmedo","Roma, Turquía, Grecia","1948-1949","Película documental","","Ficción, Registros fílmicos, Pinturas","Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-6-13","México hacia el Futuro presenta una serie de tomas sobre los avances nacionales durante los años de 1948-1949 y la modernización de México en todos los sectores económicos, sociales y culturales.","Miguel Aleman Valdés, Diego Rivera, José Clemente Orozco","Escuela de Chapingo, Calzadas de la Villa y la Piedad, Av. Reforma, Obras hidráulicas en el Papaloapan, Entubamiento Río Piedad, Monumento a la madre.","1948-1949","Película documental","","Ficción, Registros fílmicos, Pinturas","Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-7-1","En veintiún minutos Resnais analiza la Biblioteca Nacional Francesa. “Como tienen la memoria corta, los hombres acumulan numerosos recordatorios”. En este cortometraje, Resnais propone una visita guiada a la Biblioteca Nacional de París y, de su cúpula a sus sótanos, de su sala de catálogos a su sala de lectura, nos revela los bastidores –vedados al público– de está institución del saber. La exploración de los sombríos laberintos de esta inmensa biblioteca es también una manera sutil de evocar los meandros más que sinuosos de la arquitectura mnemónica de los simples mortales que somos, con una cámara hiperactiva va describiendo el espacio con gran destreza.","Dominique Raoul-Duval, Phil Davis, Chester Gould, Marie-Claire Pasquier, Denise York, Robert Rendigal, Benigno Caceres, Francois-Regis Bastide, Agnès Varda, Monique Le Porrier, Juliette Caputo, Paulette Barker, André Heinrich, Joseph Rovan, Arthur Rimbaud, Harry Dickson, Blaise Pascal, Émile Zola, Honnecourt, Victor Hugo, Cabot, Enrique II, Carlomagno, Durero, Redon","Francia: París Biblioteca Nacional","1956","Película documental","","Grabación de campo, Hemerografía, Cartografía, Documentos","Narración en off, Conducción","","35 mm",""
"MXIM-AV-1-7-2","Every Day Except Crhistmas “Todos los días excepto Navidad” es un documental de 37 minutos filmado en 1957 en el Covent Garden sobre la fruta, verdura y el de las flores. Anderson establece los rituales de la rutina diaria; la carga de los camiones , la unidad de post-media noche por las calles desiertas, los trabajadores del mercado que comienzan lentamente el trabajo de noche, trabajo que realizan 364 días al año. Las verduras y las flores comienzan a llegar y los comerciantes empiezan a colocarlas en sus puestos gradualmente; el ritmo general de la edición recoge como la actividad aumenta y el ritmo de la noche se establece. En un montaje de camiones de carga en la salida del mercado, las actividades han llegado al punto de partida: el día del mercado termina donde comenzó, y la película llega a su fin con una revisión de los rostros de los trabajadores del mercado al que se destina la película.","Covent Garden","Londres","1957","Película documental","","Grabación de campo, Registros fílmicos, Música de época","Narración en off, Conducción","","",""
"MXIM-AV-1-7-3","Situado en Italia Central se encuentra el pueblo de Rofrano, pobre, desnutrido y alejado de la modernidad.  Este documental muestra los esfuerzos del Instituto Nacional de la Nutrición para llevar a Rofrano educación acerca de cuestiones de alimentación basándose en una investigación del Dr. Sabato Visco director del mismo instituto. A la par de esta problemática podemos presenciar la vida de un pueblo de Italia en los años cincuenta, sus tradiciones, su relación con la agricultura, el trabajo y la economía del país.","","Rofrano","","Película documental","","Documentales, registros fílmicos, cartografía, testimonios orales, testimonios videorales, publicidad","Narración en off","","VHS",""
"MXIM-AV-1-7-4","En entrevista con Etienne Lalou, Rosselini narra su experiencia en tierras hindúes a medida que se intercalan imágenes que nos hablan de lo que él considera la vida cotidiana de aquel país, cómo se sobrevive y cómo se enfrenta el desarrollo. ","","Bombay","","Película documental","","Registros fílmicos, testimonios orales, testimonios videorales","","","VHS",""
