"codigo_de_referencia","condiciones_de_acceso","existencia_y_localizacion_de_originales","idioma_original","doblajes_disponibles","subtitulajes","soporte","numero_copias","descripcion_fisica","color","audio","sistema_de_grabacion","region_dvd","requisitos_tecnicos"
"MXIM-AV-1-5-8","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-9","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-10","Usos reservados para consulta in situ","","Inglés","","Español","VHS"," 1 dvd, 1 vhs","1 vhs copia de producción, 1 vhs y 1 dvd copia","Blanco y negro","Estéreo","NTSC","","reproductor VHS, DVD y monitor"
"MXIM-AV-1-5-11","Usos reservados para consulta in situ","","Ruso","","Inglés","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-12","Usos reservados para consulta in situ","","Inglés","","","","2 dvd ","Copia","Blanco y negro","","NTSC","",""
"MXIM-AV-1-5-13","Usos reservados para consulta in situ","","Italiano","","","DVD","1 dvd, 1 vhs","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-14","Usos reservados para consulta in situ","","","","","DVD","1 dvd","Copia","Blanco y negro","Muda","","","Reproductor DVD y monitor"
"MXIM-AV-1-5-16","Usos reservados para consulta in situ","","","","","VHS / DVD","1 dvd, 1 vhs","Copia","Bblanco y negro","Sin sonido","NTSC","","Reproductor VHS, DVD y monitor"
"MXIM-AV-1-6-1","Usos reservados para consulta in situ","","Inglés","","","DVD","","","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-2","Usos reservados para consulta in situ","","Francés","","Francés, inglés, español","DVD","2 dvd","Copias","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-3","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd, 1 vhs","Copia","Color","","NTSC","","Reproductor DVD, VHS y monitor"
"MXIM-AV-1-6-4","Usos reservados para consulta in situ","","Francés","","","DVD","","","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-5","Usos reservados para consulta in situ","","Francés","","","DVD","","","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-6","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-7","Usos reservados para consulta in situ","","Inglés","","","DVD","2 dvd","Copia","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-8","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-9","Usos reservados para consulta in situ","","Español","","","","1 dvd, 1 vhs","Copia","Blanco y negro","Monoaural","","","Reproductor DVD, VHS y monitor"
"MXIM-AV-1-6-10","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-11","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-6-12","Usos reservados para consulta in situ","","Español","","","","1 dvd, 1 vhs","Copia","Blanco y negro","Monoaural","","","Reproductor DVD, VHS y monitor"
"MXIM-AV-1-6-13","Usos reservados para consulta in situ","","Español","","","","1 dvd, 1 vhs","Copia","Blanco y negro","Monoaural","","","Reproductor DVD, VHS y monitor"
"MXIM-AV-1-7-1","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-7-2","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-7-3","Usos reservados para consulta in situ","","Italiano","","","","1 dvd ","Copia","Blanco y negro","","NTSC","",""
"MXIM-AV-1-7-4","Usos reservados para consulta in situ","","Francés","","","","1 vhs, 1 dvd","Copia","Blanco y negro","Monoaural","NTSC","",""
"MXIM-AV-1-7-5","Usos reservados para consulta in situ","","Francés","","Portugués","DVD","","","Color","","","",""
"MXIM-AV-1-7-6","Usos reservados para consulta in situ","","Francés","","","DVD","","","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-7-7","Usos reservados para consulta in situ","","Francés","","","DVD","2 dvd","Copia","Blanco y negro","Monoaural","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-7-8","Usos reservados para consulta in situ","","Francés","","Inglés, Español","DVD","2 dvd","Copia","Color, Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-7-9","Usos reservados para consulta in situ","","Inglés","","","DVD","1 vhs, 3 dvd","Copias","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-7-10","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-7-11","Usos reservados para consulta in situ","","Francés","","Portugués","DVD","","","Blanco y negro","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-7-12","Usos reservados para consulta in situ","","Francés","","Portugués","DVD","","","Blanco y negro","","NTSC","","Reproductor DVD y monitor de TV"
"MXIM-AV-1-8-1","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-2","Usos reservados para consulta in situ","","Español","","","","1 vhs / 1 dvd","Copia","Blanco y negro","Monoaural","NTSC","",""
"MXIM-AV-1-8-3","Usos reservados para consulta in situ","","Francés, Español","","","DVD","","","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-4","Usos reservados para consulta in situ","","Armenio","","Portugués","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-6","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-7","Usos reservados para consulta in situ","","Francés","","Inglés, español","DVD","2 dvd/1 vhs","Copias","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-8","Usos reservados para consulta in situ","","Italiano","","Español","DVD","1 dvd ","Copia","Color","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-9","Usos reservados para consulta in situ","","Inglés","Español (España)","Español","DVD","1 dvd","Copia","Blanco y negro","Stereo","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-10","Usos reservados para consulta in situ","","","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-11","Usos reservados para consulta in situ","","Italiano","","","","","","Blanco y negro","Monoaural","NTSC","",""
"MXIM-AV-1-8-12","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd ","Copia","Blanco y negro","Monoaural","NTSC","","reproductor VHS y monitor"
"MXIM-AV-1-8-13","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","Copia","Blanco y negro","Monoaural","NTSC","","reproductor VHS y monitor"
"MXIM-AV-1-8-14","Usos reservados para consulta in situ","","Francés","","","DVD","","","Color","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-15","Usos reservados para consulta in situ","","Francés","","","DVD","","","Color","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-16","Usos reservados para consulta in situ","","Francés","","Español","DVD","1 dvd ","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-17","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs ","Copia","Blanco y negro virado a azul","","","","Reproductor VHS y monitor"
"MXIM-AV-1-8-18","Usos reservados para consulta in situ","","Inglés-Francés","","Español","DVD","2 dvd ","Copias","Blanco y negro, color","Monoaural","NTSC","",""
"MXIM-AV-1-8-19","Usos reservados para consulta in situ","","","","Español","DVD","1 dvd","Copia","Blanco y negro","","NTSC","Región 2","Reproductor DVD y monitor"
"MXIM-AV-1-8-20","Usos reservados para consulta in situ","","Francés","","","DVD","","","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-21","Usos reservados para consulta in situ","","Inglés","","Español","DVD","1 dvd","","Blanco y negro, color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-22","Usos reservados para consulta in situ","","Español (ibérico)","","","VHS / DVD","1 dvd / 1 vhs","Copias","Blanco y negro","","","",""
"MXIM-AV-1-8-23","Usos reservados para consulta in situ","","Francés","","","DVD","","","Color","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-24","Usos reservados para consulta in situ","Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, masterización del DVD Colectivo perfil urbano A.C tel. 12513293 imagenenaccion@axtel.net. Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862","Español","","","DVD","1 dvd","Copia de producción","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-25","Usos reservados para consulta in situ","","Francés","","Español","VHS /DVD","2 vhs / 1 dvd","1 vhs copia de producción / 1 vhs y 1 dvd copias","Blanco y negro","Estéreo","NTSC","",""
"MXIM-AV-1-8-26","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-27","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","Monoaural","NTSC","","reproductor VHS y monitor"
"MXIM-AV-1-8-28","Usos reservados para consulta in situ","","Griego","","Español","DVD","1 dvd","Copia","Color","","NTSC","Región 2",""
"MXIM-AV-1-8-29","Usos reservados para consulta in situ","","","","","VHS / DVD","1 vhs / 1 dvd","Copia","Blanco y negro","Sin sonido","NTSC","","Reproductor VHS / DVD y monitor"
"MXIM-AV-1-8-30","Usos reservados para consulta in situ","","Español, alemán","","Español","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-8-31","Usos reservados para consulta in situ","","Inglés","","","DVD","1 vhs / 1 dvd","Copia","","","","",""
"MXIM-AV-1-8-32","Usos reservados para consulta in situ","","Inglés","","","DVD","1 vhs / 1 dvd","Copia","Blanco y negro","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-8-33","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Blanco y negro","","","",""
"MXIM-AV-1-8-34","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-1","Usos reservados para consulta in situ","","Muda","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-2","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-9-3","Usos reservados para consulta in situ","","Italiano","Español (España)","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-4","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Blanco y negro","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-5","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","Color, Blanco y negro, blanco, negro virado a rojo, amarillo, verde y azul","Monoaural","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-6","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","Copia","Blanco y negro virado a rojo, negativo","","","","Reproductor VHS y monitor"
"MXIM-AV-1-9-7","Usos reservados para consulta in situ","","Francés","","Español","DVD","1 dvd","Copia de producción","Blanco y negro","","","Multiregión","Reproductor DVD y monitor"
"MXIM-AV-1-9-8","Usos reservados para consulta in situ","","Español (España)","","","DVD","1 dvd","Copia","Blanco y negro","","","",""
"MXIM-AV-1-9-9","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","Copia","Blanco y negro virado a sepia","","","","Reproductor VHS y monitor"
"MXIM-AV-1-9-10","Usos reservados para consulta in situ","","Francés","","Español","DVD","1 dvd","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-11","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","Copia","Blanco y negro virado a naranja","","","",""
"MXIM-AV-1-9-12","Usos reservados para consulta in situ","","Francés","","","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-13","Usos reservados para consulta in situ","","Francés, inglés, español","","francés","DVD","1 dvd","Copia","Color, blanco y negro, blanco y negro virado a azul, amarillo, naranja","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-14","Usos reservados para consulta in situ","","Holandés, inglés","","francés","DVD","1 dvd","Copia","Color, blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-15","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs, 1 dvd","Copia","Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-9-16","Usos reservados para consulta in situ","","Francés","","","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-17","Usos reservados para consulta in situ","","Español","","","VHS","","","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-9-18","Usos reservados para consulta in situ","","Francés","","","DVD","","","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-19","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-20","Usos reservados para consulta in situ","","Inglés","","Dialectos de Yanomamo en Brasil, Inglés","","1 vhs","Copia","Color","","NTSC","",""
"MXIM-AV-1-9-21","Usos reservados para consulta in situ","","Español, inglés","","Español","VHS","1 vhs","Copia","Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-9-22","Usos reservados para consulta in situ","","Francés","","","DVD","","","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-23","Usos reservados para consulta in situ","","","","","VHS, DVD","","Copia","Blanco y negro","Sin sonido","NTSC","","Reproductor VHS / DVD y monitor"
"MXIM-AV-1-9-24","Usos reservados para consulta in situ","","","","","VHS, DVD","","Copia","Blanco y negro","Sin sonido","NTSC","","Reproductor VHS / DVD y monitor"
"MXIM-AV-1-9-25","Usos reservados para consulta in situ","","Alemán","","Español","DVD","1 dvd","Copia","Color, blanco y negro","","NTSC","Región 2","Reproductor DVD y monitor de TV"
"MXIM-AV-1-9-26","Usos reservados para consulta in situ","","Títulos en armenio","","Portugués","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-27","Usos reservados para consulta in situ","","Títulos en armenio","","Portugués","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-28","Usos reservados para consulta in situ","","Nativo de la tribu","","Inglés","DVD","1 dvd","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-9-29","Usos reservados para consulta in situ","","Inglés","","","DVD","1 dvd","Copia","Color","","","","Reproductor DVD  y monitor"
"MXIM-AV-1-9-30","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-1","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","Copia","Color, blanco y negro","","","","Reproductor VHS y monitor"
"MXIM-AV-1-10-2","Usos reservados para consulta in situ","","Japonés","","Español","DVD","1 dvd","Copia","Color","Mono","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-3","Usos reservados para consulta in situ","","Francés","","Inglés, Español","DVD","1 dvd ","Copia","Color","Estéreo","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-4","Usos reservados para consulta in situ","","Inglés, lenguas de Papua Nueva Guinea","","Inglés","VHS","2 vhs, 1 dvd","Copias","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-5","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs, 1 dvd","Copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-6","Usos reservados para consulta in situ","","","","","DVD","1 dvd","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-7","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs, 1 dvd","vhs copia de producción dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-9","Usos reservados para consulta in situ","","Español, Inglés, lengua kikapú","","Español","VHS","1 vhs, 1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-10","Usos reservados para consulta in situ","","Otomí, Español","","","VHS","1 vhs, 1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-11","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","Copia","Color, blanco y negro","","","","Reproductor VHS y monitor"
"MXIM-AV-1-10-12","Usos reservados para consulta in situ","","Español","","","","1 vhs","Copia","","","","",""
"MXIM-AV-1-10-13","Usos reservados para consulta in situ","","Náhuatl, Español","","Español","VHS","1 vhs / 1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-14","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-15","Usos reservados para consulta in situ","","Francés","","Inglés","DVD","1 dvd","Copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-16","Usos reservados para consulta in situ","","Italiano","","Inglés","VHS","1 vhs","Copia","Blanco y negro","Monoaural","NTSC","",""
"MXIM-AV-1-10-17","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd ","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-18","Usos reservados para consulta in situ","","Inglés, Hopi","","Español, Italiano, inglés","DVD","1 dvd","Copia","Color","Dolby Stereo","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-19","Usos reservados para consulta in situ","","Español, Lengua indígena","","Español","VHS","1 vhs / 1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-20","Usos reservados para consulta in situ","","Español","","","VHS","","","Color","","","","Reproductor VHS y monitor"
"MXIM-AV-1-10-21","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-22","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","Copia de producción","Color, Blanco y negro","","PAL","","Reproductor VHS y monitor"
"MXIM-AV-1-10-23","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","vhs copia de producción dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-24","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-25","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","Copia","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-26","Usos reservados para consulta in situ","Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, masterización del DVD Colectivo perfil urbano A.C tel. 12513293 imagenenaccion@axtel.net. Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862230, ediciones@pentagrama.com.mx","Español","","","DVD","2 dvd","Copias de producción","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-27","Usos reservados para consulta in situ","","Huichol","","Español","VHS","1 vhs / 1 dvd","vhs copia de producción dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-28","Usos reservados para consulta in situ","","","","","","2 vhs / 1 dvd","1 vhs copia de producción, 1 vhs y 1 dvd copias","","","","",""
"MXIM-AV-1-10-29","Usos reservados para consulta in situ","","Italiano","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-30","Usos reservados para consulta in situ","","Francés, Mandarín","","Alemán","DVD","1 dvd","Copia","Color, Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-31","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-32","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-33","Usos reservados para consulta in situ","","Ingles","","","","1 dvd","Copia","Color","","NTSC","",""
"MXIM-AV-1-10-34","Usos reservados para consulta in situ","","","","","","1 dvd","Copia","","","","",""
"MXIM-AV-1-10-35","Usos reservados para consulta in situ","","Inglés, Alemán, Francés, Italiano, Castellano","","Inglés, Alemán, Francés, Italiano, Castellano, Holandés, Turco, Magyor, Ruso","DVD","1 dvd ","Copia","Color","Dolby Stereo","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-36","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd / 1 vhs","Copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-37","Usos reservados para consulta in situ","","Francés","","","DVD","","","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-38","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd / 1 vhs","Copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-39","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","Copia","Color","","","","Reproductor VHS y monitor"
"MXIM-AV-1-10-40","Usos reservados para consulta in situ","","Francés","","Inglés","DVD","","","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-41","Usos reservados para consulta in situ","","Español","","","VHS","","","Color","","","","Reproductor VHS y monitor"
"MXIM-AV-1-10-42","Usos reservados para consulta in situ","","Francés, Inuit","","","","1 dvd","Copia","","","NTSC","",""
"MXIM-AV-1-10-43","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd / 1 vhs","Copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-10-44","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd / 1 vhs","Copia","Color","","NTSC","",""
"MXIM-AV-1-10-45","Usos reservados para consulta in situ","","","","","VHS / DVD","copia DVD","Copia","Blanco y negro","Sin sonido","NTSC","","Reproductor VHS / DVD y monitor"
"MXIM-AV-1-10-46","Usos reservados para consulta in situ","","Español, alemán, inglés","","Español","DVD","1 dvd","Copia","Color","","NTSC","Región 2","Reproductor DVD y Monitor"
"MXIM-AV-1-10-47","Usos reservados para consulta in situ","","Titulos en armenio","","Portugués","DVD","","","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-48","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","1 dvd","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-49","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-50","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-51","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-52","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-53","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-54","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-55","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-56","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-57","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-58","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-59","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-60","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-61","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
